Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
138,72,141,CN(C)C(=O)[C@H](NC(=O)c1ccccc1)C(C)(C)C,4.07,1.0,0.2,10.1002/anie.202202552,AD3,1.1744471744471745,1.606837606837607
139,72,142,CN(C)C(=O)[C@@H](NC(=O)c1ccccc1)C(C)(C)C,4.78,1.0,0.2,10.1002/anie.202202552,AD3,1.1744471744471745,1.606837606837607
288,151,296,O=C1Nc2ccccc2[C@@H]1Cc3ccccc3,5.76,1.0,0.2,10.1039/D0CC06311H,AD3,1.1463541666666666,1.2947552447552448
289,151,295,O=C1Nc2ccccc2[C@H]1Cc3ccccc3,6.603,1.0,0.2,10.1039/D0CC06311H,AD3,1.1463541666666666,1.2947552447552448
464,243,475,CC[C@@H](NC(=O)c1ccccc1)C(=O)N(C)C,4.63,1.0,0.2,10.1002/anie.202202552,AD3,1.4233261339092873,2.132947976878613
465,243,476,CC[C@H](NC(=O)c1ccccc1)C(=O)N(C)C,6.59,1.0,0.2,10.1002/anie.202202552,AD3,1.4233261339092873,2.132947976878613
476,249,487,CCOC(OCC)[C@@H](NCc1ccccc1)c2ccccc2,5.5,0.8,0.05,10.1039/D1CC06601C,AD3,1.2,1.5866666666666664
477,249,488,CCOC(OCC)[C@H](NCc1ccccc1)c2ccccc2,6.6,0.8,0.05,10.1039/D1CC06601C,AD3,1.2,1.5866666666666664
500,262,512,C[C@@H](O)c1ccccc1C,5.9,0.5,0.01,10.1021/acscatal.0c04206,AD3,1.135593220338983,8.999999999999956
501,262,513,C[C@H](O)c1ccccc1C,6.7,0.5,0.01,10.1021/acscatal.0c04206,AD3,1.135593220338983,8.999999999999956
538,284,553,Cc1ccc(cc1)[C@@]2(C)CCC(=O)C=C2,6.2,1.0,0.03,10.1021/jacs.9b07957,AD3,1.1129032258064515,1.212121212121212
539,284,554,Cc1ccc(cc1)[C@]2(C)CCC(=O)C=C2,6.9,1.0,0.03,10.1021/jacs.9b07957,AD3,1.1129032258064515,1.212121212121212
540,285,556,C[C@H]1NCc2cc(ccc2c3ccccc13)C(F)(F)F,6.9,0.8,0.2,10.1039/C8SC04482A,AD3,1.4927536231884058,2.038167938931297
541,285,555,C[C@@H]1NCc2cc(ccc2c3ccccc13)C(F)(F)F,10.3,0.8,0.2,10.1039/C8SC04482A,AD3,1.4927536231884058,2.038167938931297
592,314,611,C[C@H]1NCc2ccc(C)cc2c3ccccc13,7.1,0.8,0.2,10.1039/C8SC04482A,AD3,1.6338028169014085,2.2949640287769784
593,314,610,C[C@@H]1NCc2ccc(C)cc2c3ccccc13,11.6,0.8,0.2,10.1039/C8SC04482A,AD3,1.6338028169014085,2.2949640287769784
620,330,641,CC[C@H]1NCc2ccccc2c3ccccc13,7.2,0.8,0.2,10.1039/C8SC04482A,AD3,1.805555555555556,2.6223776223776216
621,330,640,CC[C@@H]1NCc2ccccc2c3ccccc13,13.0,0.8,0.2,10.1039/C8SC04482A,AD3,1.805555555555556,2.6223776223776216
638,341,660,C[C@@H](NC(=O)c1ccccc1)C(=O)N(C)C,4.94,1.0,0.2,10.1002/anie.202202552,AD3,1.4757085020242915,2.1519607843137254
639,341,661,C[C@H](NC(=O)c1ccccc1)C(=O)N(C)C,7.29,1.0,0.2,10.1002/anie.202202552,AD3,1.4757085020242915,2.1519607843137254
670,362,697,CC[C@@H](O)c1ccc(C)cc1,6.4,0.5,0.01,10.1021/acscatal.0c04206,AD3,1.15625,2.666666666666665
671,362,698,CC[C@H](O)c1ccc(C)cc1,7.4,0.5,0.01,10.1021/acscatal.0c04206,AD3,1.15625,2.666666666666665
672,363,700,C[C@H]1NCc2cc(F)ccc2c3ccccc13,7.4,0.8,0.2,10.1039/C8SC04482A,AD3,1.9054054054054053,2.774834437086092
673,363,699,C[C@@H]1NCc2cc(F)ccc2c3ccccc13,14.1,0.8,0.2,10.1039/C8SC04482A,AD3,1.9054054054054053,2.774834437086092
726,390,753,CN(C)C(=O)[C@H](N)Cc1ccccc1,4.74,1.0,0.2,10.1002/anie.202202552,AD3,1.6033755274261603,2.554347826086956
727,390,754,CN(C)C(=O)[C@@H](N)Cc1ccccc1,7.6,1.0,0.2,10.1002/anie.202202552,AD3,1.6033755274261603,2.554347826086956
728,391,756,C[C@H]1NCc2cc(F)c(F)cc2c3ccccc13,7.6,0.8,0.2,10.1039/C8SC04482A,AD3,2.131578947368421,3.1635220125786163
729,391,755,C[C@@H]1NCc2cc(F)c(F)cc2c3ccccc13,16.2,0.8,0.2,10.1039/C8SC04482A,AD3,2.131578947368421,3.1635220125786163
740,399,769,COc1ccc(C[C@@H](N)C(=O)N(C)C)cc1,4.94,1.0,0.25,10.1002/anie.202202552,AD3,1.5526315789473684,2.3382352941176463
741,399,770,COc1ccc(C[C@H](N)C(=O)N(C)C)cc1,7.67,1.0,0.25,10.1002/anie.202202552,AD3,1.5526315789473684,2.3382352941176463
750,404,780,C[C@H]1NCc2c(C)cc(F)cc2c3ccccc13,7.7,0.8,0.2,10.1039/C8SC04482A,AD3,1.6623376623376624,2.2515337423312887
751,404,779,C[C@@H]1NCc2c(C)cc(F)cc2c3ccccc13,12.8,0.8,0.2,10.1039/C8SC04482A,AD3,1.6623376623376624,2.2515337423312887
776,418,806,C[C@@]1(CCC(=O)C=C1)c2ccccc2,6.9,1.0,0.03,10.1021/jacs.9b07957,AD3,1.1304347826086956,1.225
777,418,807,C[C@]1(CCC(=O)C=C1)c2ccccc2,7.8,1.0,0.03,10.1021/jacs.9b07957,AD3,1.1304347826086956,1.225
806,437,841,C[C@H]1NCc2ccccc2c3ccccc13,7.9,0.8,0.2,10.1039/C8SC04482A,AD3,1.6962025316455696,2.286549707602339
807,437,840,C[C@@H]1NCc2ccccc2c3ccccc13,13.4,0.8,0.2,10.1039/C8SC04482A,AD3,1.6962025316455696,2.286549707602339
