Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
30,16,32,Cc1ccc(cc1)[C@@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,3.46,1.0,0.1,10.1002/anie.201501762,ADH,1.2485549132947975,2.535714285714286
31,16,31,Cc1ccc(cc1)[C@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,4.32,1.0,0.1,10.1002/anie.201501762,ADH,1.2485549132947975,2.535714285714286
44,23,46,C[C@@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,3.63,1.0,0.1,10.1002/anie.201501762,ADH,1.763085399449036,4.794520547945206
45,23,45,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,6.4,1.0,0.1,10.1002/anie.201501762,ADH,1.763085399449036,4.794520547945206
46,24,48,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccccc3,3.67,1.0,0.1,10.1002/anie.201501762,ADH,1.2588555858310628,2.233766233766234
47,24,47,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@](C)(C1)c3ccccc3,4.62,1.0,0.1,10.1002/anie.201501762,ADH,1.2588555858310628,2.233766233766234
54,28,56,CC(=O)c1ccc(cc1)[C@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)NC(C)(C)c2ccccn2,3.9,1.0,0.3,10.1039/D1CC01690C,ADH,1.076923076923077,1.3000000000000005
55,28,55,CC(=O)c1ccc(cc1)[C@@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)NC(C)(C)c2ccccn2,4.2,1.0,0.3,10.1039/D1CC01690C,ADH,1.076923076923077,1.3000000000000005
66,34,68,CO[C@@H](NC(=O)c1sccc1)c2ccccc2CCCC(F)(F)F,4.02,1.0,0.1,10.1002/anie.201405401,ADH,1.109452736318408,1.3928571428571432
67,34,67,CO[C@H](NC(=O)c1sccc1)c2ccccc2CCCC(F)(F)F,4.46,1.0,0.1,10.1002/anie.201405401,ADH,1.109452736318408,1.3928571428571432
76,39,78,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccc(F)cc3,4.13,1.0,0.1,10.1002/anie.201501762,ADH,1.176755447941889,1.59349593495935
77,39,77,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@](C)(C1)c3ccc(F)cc3,4.86,1.0,0.1,10.1002/anie.201501762,ADH,1.176755447941889,1.59349593495935
118,62,122,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(OC(F)(F)F)cc2,4.6,1.0,0.2,10.1039/D1CC01690C,ADH,1.0434782608695652,1.1176470588235294
119,62,121,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(OC(F)(F)F)cc2,4.8,1.0,0.2,10.1039/D1CC01690C,ADH,1.0434782608695652,1.1176470588235294
124,65,128,C[C@@]1(CC2(CCCCC2)CN1)c3ccc(cc3)c4ccccc4,4.64,1.0,0.3,10.1002/anie.201501762,ADH,1.1875,1.5000000000000002
125,65,127,C[C@]1(CC2(CCCCC2)CN1)c3ccc(cc3)c4ccccc4,5.51,1.0,0.3,10.1002/anie.201501762,ADH,1.1875,1.5000000000000002
130,68,134,C[C@@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(cc4)C#C,4.68,1.0,0.1,10.1002/anie.201501762,ADH,1.7222222222222223,2.8988764044943824
131,68,133,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(cc4)C#C,8.06,1.0,0.1,10.1002/anie.201501762,ADH,1.7222222222222223,2.8988764044943824
164,86,169,CC(C)O[C@@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,5.03,1.0,0.1,10.1002/anie.201405401,ADH,1.202783300198807,1.4788732394366195
165,86,168,CC(C)O[C@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,6.05,1.0,0.1,10.1002/anie.201405401,ADH,1.202783300198807,1.4788732394366195
184,97,189,CC(C)[Si](C#Cc1cc(C)ccc1[S@@](=O)c2ccc(cn2)C(F)(F)F)(C(C)C)C(C)C,4.7,0.8,0.15,10.1021/acs.orglett.1c02918,ADH,1.1063829787234043,1.4651162790697672
185,97,190,CC(C)[Si](C#Cc1cc(C)ccc1[S@](=O)c2ccc(cn2)C(F)(F)F)(C(C)C)C(C)C,5.2,0.8,0.15,10.1021/acs.orglett.1c02918,ADH,1.1063829787234043,1.4651162790697672
194,102,199,CCC(C)(C)C(=O)O[C@@H](C(=O)NC(C)(C)C)c1cccc(c1)[N+]([O-])=O,4.5,1.0,0.2,10.1021/jacs.5b09117,ADH,1.1777777777777778,1.4999999999999998
195,102,200,CCC(C)(C)C(=O)O[C@H](C(=O)NC(C)(C)C)c1cccc(c1)[N+]([O-])=O,5.3,1.0,0.2,10.1021/jacs.5b09117,ADH,1.1777777777777778,1.4999999999999998
198,104,203,CC(C)[Si](C#Cc1cc(ccc1[S@@](=O)c2ccccn2)C(F)(F)F)(C(C)C)C(C)C,4.7,0.8,0.15,10.1021/acs.orglett.1c02918,ADH,1.127659574468085,1.5581395348837208
199,104,204,CC(C)[Si](C#Cc1cc(ccc1[S@](=O)c2ccccn2)C(F)(F)F)(C(C)C)C(C)C,5.3,0.8,0.15,10.1021/acs.orglett.1c02918,ADH,1.127659574468085,1.5581395348837208
200,105,206,Cc1ccc(cc1)\C=C2/[C@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)N2C(C)(C)c3ccccn3,5.3,0.8,0.05,10.1002/anie.202004504,ADH,1.1886792452830188,1.597014925373134
201,105,205,Cc1ccc(cc1)\C=C2/[C@@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)N2C(C)(C)c3ccccn3,6.3,0.8,0.05,10.1002/anie.202004504,ADH,1.1886792452830188,1.597014925373134
204,107,209,CCC/C=C/C[C@]1(C(=O)N(C(=O)OC(C)(C)C)c2ccccc12)c3ccccc3,5.0,1.0,0.1,10.1002/adsc.201501155,ADH,1.06,1.1428571428571428
205,107,210,CCC/C=C/C[C@@]1(C(=O)N(C(=O)OC(C)(C)C)c2ccccc12)c3ccccc3,5.3,1.0,0.1,10.1002/adsc.201501155,ADH,1.06,1.1428571428571428
212,111,218,C[C@H](C#Cc1ccc(cc1)B2OC(C)(C)C(C)(C)O2)c3ccccc3C(=O)NC(C)(C)C,5.35,0.8,0.1,10.1038/s41467/019/13705/1,ADH,2.7869158878504674,6.542028985507245
