Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
110,58,114,CC(C)(C)[Si](C)(C)OCC[C@@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,4.48,1.0,0.1,10.1021/jacs.8b12095,AD,1.0959821428571428,1.272151898734177
111,58,113,CC(C)(C)[Si](C)(C)OCC[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,4.91,1.0,0.1,10.1021/jacs.8b12095,AD,1.0959821428571428,1.272151898734177
368,194,379,Fc1cccc(c1)C(=O)[C@@]2(OCCC[C@H]2Br)c3cccc(F)c3,6.19,1.0,0.1,10.1021/ja201794v,AD,1.1857835218093695,1.349544072948328
369,194,378,Fc1cccc(c1)C(=O)[C@]2(OCCC[C@H]2Br)c3cccc(F)c3,7.34,1.0,0.1,10.1021/ja201794v,AD,1.1857835218093695,1.349544072948328
450,235,461,CCCC[C@]1(C/C(COC1=O)=C/c2ccccc2)c3ccccc3,6.5,1.0,0.15,10.1016/j.scib.2021.04.037,AD,1.1353846153846154,1.2444444444444445
451,235,460,CCCC[C@@]1(C/C(COC1=O)=C/c2ccccc2)c3ccccc3,7.38,1.0,0.15,10.1016/j.scib.2021.04.037,AD,1.1353846153846154,1.2444444444444445
564,298,580,CC(Br)[C@@](C)(c1ccccc1)C(=O)c2ccccc2,5.41,1.0,0.1,10.1039/C1SC00295C,AD,1.2920517560073936,1.6294820717131473
565,298,581,CC(Br)[C@](C)(c1ccccc1)C(=O)c2ccccc2,6.99,1.0,0.1,10.1039/C1SC00295C,AD,1.2920517560073936,1.6294820717131473
586,311,605,F[C@@H]1CCCO[C@]1(C(=O)c2cccc(F)c2)c3cccc(F)c3,7.09,1.0,0.05,10.1002/chem.201202444,AD,1.1297602256699577,1.2195704057279235
587,311,604,F[C@H]1CCCO[C@]1(C(=O)c2cccc(F)c2)c3cccc(F)c3,8.01,1.0,0.05,10.1002/chem.201202444,AD,1.1297602256699577,1.2195704057279235
600,318,619,F[C@@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,7.12,1.0,0.1,10.1002/chem.201202444,AD,1.3103932584269662,1.5236966824644549
