Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
86,44,88,CC(C)(NC(=O)C[C@H]1CCOc2ccc(Cl)cc12)c3ccccn3,4.2,1.0,0.3,10.1039/D1QO00302J,ASH,1.1904761904761905,1.6153846153846152
87,44,87,CC(C)(NC(=O)C[C@@H]1CCOc2ccc(Cl)cc12)c3ccccn3,5.0,1.0,0.3,10.1039/D1QO00302J,ASH,1.1904761904761905,1.6153846153846152
100,52,103,CC(C)(NC(=O)C[C@H]1CCOc2ccc(cc12)C(F)(F)F)c3ccccn3,4.3,1.0,0.2,10.1039/D1QO00302J,ASH,1.2325581395348837,1.7142857142857144
101,52,102,CC(C)(NC(=O)C[C@@H]1CCOc2ccc(cc12)C(F)(F)F)c3ccccn3,5.3,1.0,0.2,10.1039/D1QO00302J,ASH,1.2325581395348837,1.7142857142857144
114,60,117,COc1cccc(c1)[C@@H](C)CC(=O)NC(C)(C)c2ccccn2,4.1,1.0,0.3,10.1039/D1CC01690C,ASH,1.0975609756097562,1.3333333333333337
115,60,118,COc1cccc(c1)[C@H](C)CC(=O)NC(C)(C)c2ccccn2,4.5,1.0,0.3,10.1039/D1CC01690C,ASH,1.0975609756097562,1.3333333333333337
220,115,226,CC(C)(NC(=O)C[C@H]1CCNc2ccccc12)c3ccccn3,5.4,1.0,0.2,10.1039/D1QO00302J,ASH,1.259259259259259,1.5599999999999996
221,115,225,CC(C)(NC(=O)C[C@@H]1CCNc2ccccc12)c3ccccn3,6.8,1.0,0.2,10.1039/D1QO00302J,ASH,1.259259259259259,1.5599999999999996
274,143,281,Cc1ccc2OCC[C@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,5.7,1.0,0.2,10.1039/D1QO00302J,ASH,1.631578947368421,2.2857142857142856
275,143,280,Cc1ccc2OCC[C@@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,9.3,1.0,0.2,10.1039/D1QO00302J,ASH,1.631578947368421,2.2857142857142856
320,168,329,C[C@@H]1CC(C)(C)CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,5.93,1.0,0.1,10.1002/anie.201501762,ASH,1.5295109612141653,2.0363036303630366
321,168,328,C[C@H]1CC(C)(C)CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,9.07,1.0,0.1,10.1002/anie.201501762,ASH,1.5295109612141653,2.0363036303630366
402,211,413,CCCCOC(=O)C[C@@H]1Sc2ccccc2c3c1ccc4ccccc34,6.3,1.0,0.06,10.1002/anie.202115221,ASH,1.142857142857143,1.2647058823529411
403,211,412,CCCCOC(=O)C[C@H]1Sc2ccccc2c3c1ccc4ccccc34,7.2,1.0,0.06,10.1002/anie.202115221,ASH,1.142857142857143,1.2647058823529411
442,231,452,CC(C)(C)[Si](C)(C)OCCC[C@H]1CC(=O)N1C(C)(C)c2ccccn2,4.9,1.2,0.2,10.1002/cjoc.201900533,ASH,1.326530612244898,1.644295302013423
443,231,453,CC(C)(C)[Si](C)(C)OCCC[C@@H]1CC(=O)N1C(C)(C)c2ccccn2,6.5,1.2,0.2,10.1002/cjoc.201900533,ASH,1.326530612244898,1.644295302013423
606,323,626,CCCC[C@@](C[N+]([O-])=O)(O/N=C/c1ccc(OC)cc1)C(=O)OCC,6.7,1.0,0.1,10.1021/ol102580n,ASH,1.0731343283582089,1.1289473684210527
607,323,627,CCCC[C@](C[N+]([O-])=O)(O/N=C/c1ccc(OC)cc1)C(=O)OCC,7.19,1.0,0.1,10.1021/ol102580n,ASH,1.0731343283582089,1.1289473684210527
754,406,783,CC1(C)OC(OC1(C)C)c2cccc(c2)[C@]3(CC(=NO3)c4ccccc4)CC(F)(F)F,6.53,0.8,0.1,10.1002/anie.201804315,ASH,1.1868300153139355,1.4199655765920824
755,406,784,CC1(C)OC(OC1(C)C)c2cccc(c2)[C@@]3(CC(=NO3)c4ccccc4)CC(F)(F)F,7.75,0.8,0.1,10.1002/anie.201804315,ASH,1.1868300153139355,1.4199655765920824
816,444,853,CC1(C)CN2C(=O)N(c3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4[C@@]2(C)C1,7.96,0.5,0.05,10.1002/anie.201501762,ASH,1.4221105527638191,2.555555555555556
817,444,852,CC1(C)CN2C(=O)N(c3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4[C@]2(C)C1,11.32,0.5,0.05,10.1002/anie.201501762,ASH,1.4221105527638191,2.555555555555556
830,453,868,FC(F)(F)C[C@@]1(CC(=NO1)c2cccc(c2)C(F)(F)F)c3ccccc3,6.81,0.8,0.1,10.1002/anie.201804315,ASH,1.1776798825256976,1.3799058084772369
831,453,869,FC(F)(F)C[C@]1(CC(=NO1)c2cccc(c2)C(F)(F)F)c3ccccc3,8.02,0.8,0.1,10.1002/anie.201804315,ASH,1.1776798825256976,1.3799058084772369
914,498,955,CCCC[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,6.5,1.0,0.2,10.1039/D1CC01690C,ASH,1.276923076923077,1.5
915,498,956,CCCC[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,8.3,1.0,0.2,10.1039/D1CC01690C,ASH,1.276923076923077,1.5
920,501,962,C[C@@H](C#N)c1ccc(C)cc1,8.3,1.0,0.05,10.1002/anie.201906111,ASH,1.0481927710843373,1.0740740740740735
921,501,961,C[C@H](C#N)c1ccc(C)cc1,8.7,1.0,0.05,10.1002/anie.201906111,ASH,1.0481927710843373,1.0740740740740735
1060,578,1109,C[C@@H](CCCCOc1ccccc1)CC(O)=O,8.7,0.8,0.1,10.1021/acs.orglett.0c01550,ASH,1.0689655172413794,1.1182266009852218
1061,578,1108,C[C@H](CCCCOc1ccccc1)CC(O)=O,9.3,0.8,0.1,10.1021/acs.orglett.0c01550,ASH,1.0689655172413794,1.1182266009852218
1078,590,1129,CCCCCCC/C=C/[C@H](CCCC)C#N,8.39,0.5,0.05,10.1021/jacs.1c01260,ASH,1.0441001191895112,1.1428571428571426
1079,590,1130,CCCCCCC/C=C/[C@@H](CCCC)C#N,8.76,0.5,0.05,10.1021/jacs.1c01260,ASH,1.0441001191895112,1.1428571428571426
1092,597,1143,COc1ccc(cc1)\C=N\O[C@@](C[N+]([O-])=O)(C(=O)OC(C)(C)C)c2ccccc2,8.04,1.0,0.1,10.1021/ol102580n,ASH,1.0945273631840795,1.1478599221789887
1093,597,1144,COc1ccc(cc1)\C=N\O[C@](C[N+]([O-])=O)(C(=O)OC(C)(C)C)c2ccccc2,8.8,1.0,0.1,10.1021/ol102580n,ASH,1.0945273631840795,1.1478599221789887
1122,615,1176,CCOC(=O)[C@](C[N+]([O-])=O)(O/N=C/c1ccc(OC)cc1)C(C)C,7.72,1.0,0.1,10.1021/ol102580n,ASH,1.1528497409326426,1.2448132780082988
1123,615,1177,CCOC(=O)[C@@](C[N+]([O-])=O)(O/N=C/c1ccc(OC)cc1)C(C)C,8.9,1.0,0.1,10.1021/ol102580n,ASH,1.1528497409326426,1.2448132780082988
1190,652,1247,Cc1cc(C)cc(c1)[C@@H](CO)CCO,8.4,1.0,0.1,10.1021/acscatal.9b02667,ASH,1.0833333333333333,1.1272727272727272
1191,652,1248,Cc1cc(C)cc(c1)[C@H](CO)CCO,9.1,1.0,0.1,10.1021/acscatal.9b02667,ASH,1.0833333333333333,1.1272727272727272
1248,687,1311,CC(C)(N1[C@@H](CCC2CCCCC2)CC1=O)c3ccccn3,7.1,1.2,0.2,10.1002/cjoc.201900533,ASH,1.3098591549295775,1.4697508896797156
1249,687,1312,CC(C)(N1[C@H](CCC2CCCCC2)CC1=O)c3ccccn3,9.3,1.2,0.2,10.1002/cjoc.201900533,ASH,1.3098591549295775,1.4697508896797156
1274,703,1341,C(Cc1ccccc1)[C@H]2CCc3ccccc3N2,9.4,0.6,0.05,10.1039/C4CY00418C,ASH,1.1170212765957446,1.2408759124087592
1275,703,1340,C(Cc1ccccc1)[C@@H]2CCc3ccccc3N2,10.5,0.6,0.05,10.1039/C4CY00418C,ASH,1.1170212765957446,1.2408759124087592
1310,723,1378,CC[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,7.5,1.0,0.2,10.1039/D1CC01690C,ASH,1.2666666666666666,1.434782608695652
1311,723,1379,CC[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,9.5,1.0,0.2,10.1039/D1CC01690C,ASH,1.2666666666666666,1.434782608695652
1312,724,1381,Cc1ccc(cc1)[C@@H]2CC(=O)N2C(C)(C)c3ccccn3,9.5,1.0,0.15,10.1002/cjoc.201900533,ASH,1.5368421052631578,1.7727272727272727
1313,724,1380,Cc1ccc(cc1)[C@H]2CC(=O)N2C(C)(C)c3ccccn3,14.6,1.0,0.15,10.1002/cjoc.201900533,ASH,1.5368421052631578,1.7727272727272727
1380,763,1454,N#C[C@H](CC1CCCCC1)\C=C\c2ccccc2,9.72,0.5,0.15,10.1021/jacs.1c01260,ASH,1.051440329218107,1.1275510204081631
1381,763,1453,N#C[C@@H](CC1CCCCC1)\C=C\c2ccccc2,10.22,0.5,0.15,10.1021/jacs.1c01260,ASH,1.051440329218107,1.1275510204081631
1468,808,1543,C[C@H](C#Cc1ccc(cc1)C#N)c2ccccc2,10.02,1.0,0.1,10.1038/s41557/019/0346/2,ASH,1.3672654690618762,1.5168539325842696
1469,808,1542,C[C@@H](C#Cc1ccc(cc1)C#N)c2ccccc2,13.7,1.0,0.1,10.1038/s41557/019/0346/2,ASH,1.3672654690618762,1.5168539325842696
1512,831,1588,CCCC[C@@H](C#N)C(/C)=C/c1ccccc1,10.18,0.5,0.05,10.1021/jacs.1c01260,ASH,1.118860510805501,1.2762557077625574
1513,831,1587,CCCC[C@H](C#N)C(/C)=C/c1ccccc1,11.39,0.5,0.05,10.1021/jacs.1c01260,ASH,1.118860510805501,1.2762557077625574
1540,846,1617,CCCC[C@H](/C=C/c1cccc(C)c1)C#N,10.25,0.5,0.05,10.1021/jacs.1c01260,ASH,1.1717073170731709,1.395505617977528
1541,846,1616,CCCC[C@@H](/C=C/c1cccc(C)c1)C#N,12.01,0.5,0.05,10.1021/jacs.1c01260,ASH,1.1717073170731709,1.395505617977528
1620,890,1700,CCC[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,9.2,0.7,0.2,10.1002/anie.201804197,ASH,1.1413043478260871,1.2570621468926553
1621,890,1701,CCC[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,10.5,0.7,0.2,10.1002/anie.201804197,ASH,1.1413043478260871,1.2570621468926553
1634,897,1715,COC(=O)C(=C)[C@H](c1cccc2ccccc12)C(=[N+]=[N-])[P](=O)(OC(C)C)OC(C)C,10.506,0.5,0.2,10.1002/adsc.201600353,ASH,1.116028935846183,1.2590310242243945
1635,897,1714,COC(=O)C(=C)[C@@H](c1cccc2ccccc12)C(=[N+]=[N-])[P](=O)(OC(C)C)OC(C)C,11.725,0.5,0.2,10.1002/adsc.201600353,ASH,1.116028935846183,1.2590310242243945
1662,913,1744,C[C@H](C#N)c1ccccc1C,8.0,1.0,0.05,10.1002/anie.201906111,ASH,1.325,1.5098039215686274
1663,913,1745,C[C@@H](C#N)c1ccccc1C,10.6,1.0,0.05,10.1002/anie.201906111,ASH,1.325,1.5098039215686274
