Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
486,254,498,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc(cc1)C(C)(C)C)c2ccccc2,6.64,1.0,0.05,10.1021/ol901572x,AS,1.1460843373493976,1.2593582887700538
487,254,497,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc(cc1)C(C)(C)C)c2ccccc2,7.61,1.0,0.05,10.1021/ol901572x,AS,1.1460843373493976,1.2593582887700538
682,368,709,Cc1cccc(c1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,6.79,1.0,0.01,10.1021/jacs.7b08207,AS,1.0957290132547866,1.167095115681234
683,368,710,Cc1cccc(c1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,7.44,1.0,0.01,10.1021/jacs.7b08207,AS,1.0957290132547866,1.167095115681234
874,477,914,N#C[C@@H]1CCCc2ccccc12,6.94,0.5,0.05,10.1002/cjoc.202000309,AS,1.1786743515850142,2.087719298245613
875,477,915,N#C[C@H]1CCCc2ccccc12,8.18,0.5,0.05,10.1002/cjoc.202000309,AS,1.1786743515850142,2.087719298245613
970,529,1014,CC[C@@H](C#N)c1ccccc1,7.04,0.5,0.05,10.1002/cjoc.202000309,AS,1.2002840909090908,2.137096774193548
971,529,1015,CC[C@H](C#N)c1ccccc1,8.45,0.5,0.05,10.1002/cjoc.202000309,AS,1.2002840909090908,2.137096774193548
974,531,1018,C[C@@H](C#N)c1ccccc1C,6.84,0.5,0.05,10.1002/cjoc.202000309,AS,1.2383040935672516,2.567307692307693
975,531,1019,C[C@H](C#N)c1ccccc1C,8.47,0.5,0.05,10.1002/cjoc.202000309,AS,1.2383040935672516,2.567307692307693
1000,544,1045,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccc(cc3)C(F)(F)F)c4ccccc4)cc1,8.52,1.0,0.3,10.1002/anie.202005313,AS,1.6901408450704227,2.04626334519573
1001,544,1044,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3ccc(cc3)C(F)(F)F)c4ccccc4)cc1,14.4,1.0,0.3,10.1002/anie.202005313,AS,1.6901408450704227,2.04626334519573
1206,662,1266,C[C@H](C#N)c1ccc(cc1)c2ccccc2,9.17,0.5,0.05,10.1002/cjoc.202000309,AS,1.1613958560523447,1.4391691394658754
1207,662,1265,C[C@@H](C#N)c1ccc(cc1)c2ccccc2,10.65,0.5,0.05,10.1002/cjoc.202000309,AS,1.1613958560523447,1.4391691394658754
1268,700,1335,CC[C@@H](C#N)C#Cc1ccc(C)cc1,9.35,0.5,0.15,10.1021/jacs.9b02338,AS,1.0631016042780748,1.1661971830985915
1269,700,1334,CC[C@H](C#N)C#Cc1ccc(C)cc1,9.94,0.5,0.15,10.1021/jacs.9b02338,AS,1.0631016042780748,1.1661971830985915
1272,702,1339,C[C@H](C#N)c1ccc(Br)cc1,9.39,0.5,0.05,10.1002/cjoc.202000309,AS,1.039403620873269,1.1030640668523677
1273,702,1338,C[C@@H](C#N)c1ccc(Br)cc1,9.76,0.5,0.05,10.1002/cjoc.202000309,AS,1.039403620873269,1.1030640668523677
1368,757,1442,CCCC[C@]1(C\C=C(/CCN(Cc2ccc(OC)cc2)C(=O)OC1=O)c3ccccc3)c4ccccc4,9.69,1.0,0.3,10.1002/anie.202005313,AS,1.2301341589267287,1.3284241531664214
1369,757,1441,CCCC[C@@]1(C\C=C(/CCN(Cc2ccc(OC)cc2)C(=O)OC1=O)c3ccccc3)c4ccccc4,11.92,1.0,0.3,10.1002/anie.202005313,AS,1.2301341589267287,1.3284241531664214
1384,765,1458,C[C@@]1(CO)COc2ccccc2O1,9.76,1.0,0.05,10.1039/C8QO00805A,AS,1.1927254098360656,1.274198250728863
1385,765,1457,C[C@]1(CO)COc2ccccc2O1,11.641,1.0,0.05,10.1039/C8QO00805A,AS,1.1927254098360656,1.274198250728863
1414,781,1489,Cc1ccccc1\C=C2/COC(=O)[C@@](C)(C2)c3ccccc3,9.87,1.0,0.15,10.1016/j.scib.2021.04.037,AS,1.1053698074974672,1.1492109038737448
1415,781,1488,Cc1ccccc1\C=C2/COC(=O)[C@](C)(C2)c3ccccc3,10.91,1.0,0.15,10.1016/j.scib.2021.04.037,AS,1.1053698074974672,1.1492109038737448
1416,782,1491,COc1ccc(cc1)\C=C\2COC(=O)[C@@](C)(C2)c3ccccc3,9.87,1.0,0.15,10.1016/j.scib.2021.04.037,AS,1.1053698074974672,1.1492109038737448
1417,782,1490,COc1ccc(cc1)\C=C\2COC(=O)[C@](C)(C2)c3ccccc3,10.91,1.0,0.15,10.1016/j.scib.2021.04.037,AS,1.1053698074974672,1.1492109038737448
1448,798,1523,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc(C)cc1)c2ccccc2,9.98,1.0,0.05,10.1021/ol901572x,AS,1.0871743486973946,1.1228813559322033
1449,798,1522,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc(C)cc1)c2ccccc2,10.85,1.0,0.05,10.1021/ol901572x,AS,1.0871743486973946,1.1228813559322033
1476,812,1551,CCCCCOc1ccc(cc1)C#C[C@@H](CC)C#N,10.09,0.5,0.15,10.1021/jacs.9b02338,AS,1.203171456888008,1.477855477855478
1477,812,1550,CCCCCOc1ccc(cc1)C#C[C@H](CC)C#N,12.14,0.5,0.15,10.1021/jacs.9b02338,AS,1.203171456888008,1.477855477855478
1534,843,1611,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccc(C)cc3)c4ccccc4)cc1,10.23,1.0,0.3,10.1002/anie.202005313,AS,1.0224828934506354,1.0313778990450204
1535,843,1610,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3ccc(C)cc3)c4ccccc4)cc1,10.46,1.0,0.3,10.1002/anie.202005313,AS,1.0224828934506354,1.0313778990450204
1536,844,1613,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc(C)cc1)c2ccccc2,10.23,1.0,0.05,10.1021/ol901572x,AS,1.104594330400782,1.1459754433833562
1537,844,1612,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc(C)cc1)c2ccccc2,11.3,1.0,0.05,10.1021/ol901572x,AS,1.104594330400782,1.1459754433833562
1538,845,1615,C[C@H](C#N)c1ccc(Oc2ccccc2)cc1,10.25,0.5,0.05,10.1002/cjoc.202000309,AS,1.105365853658537,1.2426966292134831
1539,845,1614,C[C@@H](C#N)c1ccc(Oc2ccccc2)cc1,11.33,0.5,0.05,10.1002/cjoc.202000309,AS,1.105365853658537,1.2426966292134831
