Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
144,75,147,CC(C)(C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1)C(F)(F)F,4.35,1.0,0.3,10.1002/anie.202110084,AZ,1.1195402298850576,1.358620689655173
145,75,148,CC(C)(C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1)C(F)(F)F,4.87,1.0,0.3,10.1002/anie.202110084,AZ,1.1195402298850576,1.358620689655173
230,120,235,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cccc(c1)C(F)(F)F,4.18,1.0,0.3,10.1002/anie.202110084,AZ,1.3133971291866031,2.0234375000000004
231,120,236,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1cccc(c1)C(F)(F)F,5.49,1.0,0.3,10.1002/anie.202110084,AZ,1.3133971291866031,2.0234375000000004
296,155,303,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1ccccc1Cl,5.0,1.0,0.3,10.1021/jacs.1c06535,AZ,1.16,1.380952380952381
297,155,304,CC(C)(C)C(=O)O[C@@H](CCCC#N)\C=C\c1ccccc1Cl,5.8,1.0,0.3,10.1021/jacs.1c06535,AZ,1.16,1.380952380952381
344,181,353,CC(C)(C)CC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,5.14,1.0,0.3,10.1002/anie.202110084,AZ,1.1731517509727627,1.3973214285714288
345,181,354,CC(C)(C)CC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,6.03,1.0,0.3,10.1002/anie.202110084,AZ,1.1731517509727627,1.3973214285714288
382,201,392,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,5.12,1.0,0.2,10.1002/anie.202110084,AZ,1.212890625,1.4909909909909909
383,201,393,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,6.21,1.0,0.2,10.1002/anie.202110084,AZ,1.212890625,1.4909909909909909
386,203,396,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1cccc(F)c1,4.81,1.0,0.3,10.1021/jacs.1c06535,AZ,1.2972972972972974,1.7486910994764402
387,203,397,CC(C)(C)C(=O)O[C@@H](CCCC#N)\C=C\c1cccc(F)c1,6.24,1.0,0.3,10.1021/jacs.1c06535,AZ,1.2972972972972974,1.7486910994764402
434,227,444,CCC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,5.05,1.0,0.3,10.1002/anie.202110084,AZ,1.2732673267326733,1.6418604651162791
435,227,445,CCC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,6.43,1.0,0.3,10.1002/anie.202110084,AZ,1.2732673267326733,1.6418604651162791
488,255,499,CC(C)[C@H](C#C)C(=C)C(=O)OCc1ccccc1,5.49,1.0,0.01,10.1021/jacs.7b08207,AZ,1.209471766848816,1.4440154440154438
489,255,500,CC(C)[C@@H](C#C)C(=C)C(=O)OCc1ccccc1,6.64,1.0,0.01,10.1021/jacs.7b08207,AZ,1.209471766848816,1.4440154440154438
514,271,528,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1cscc1,5.36,1.0,0.3,10.1021/jacs.1c06535,AZ,1.2611940298507462,1.5691056910569103
515,271,529,CC(C)(C)C(=O)O[C@@H](CCCC#N)\C=C\c1cscc1,6.76,1.0,0.3,10.1021/jacs.1c06535,AZ,1.2611940298507462,1.5691056910569103
516,272,530,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cscc1,5.47,1.0,0.3,10.1002/anie.202110084,AZ,1.2376599634369287,1.5058365758754864
517,272,531,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1cscc1,6.77,1.0,0.3,10.1002/anie.202110084,AZ,1.2376599634369287,1.5058365758754864
552,292,568,CC1(CCCCC1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,5.38,1.0,0.3,10.1002/anie.202110084,AZ,1.2881040892193307,1.6249999999999998
553,292,569,CC1(CCCCC1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,6.93,1.0,0.3,10.1002/anie.202110084,AZ,1.2881040892193307,1.6249999999999998
558,295,574,CC(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,5.81,1.0,0.3,10.1002/anie.202110084,AZ,1.197934595524957,1.3951890034364265
559,295,575,CC(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,6.96,1.0,0.3,10.1002/anie.202110084,AZ,1.197934595524957,1.3951890034364265
654,350,677,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cccc(Cl)c1,5.27,1.0,0.3,10.1002/anie.202110084,AZ,1.3927893738140418,1.873417721518988
655,350,678,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1cccc(Cl)c1,7.34,1.0,0.3,10.1002/anie.202110084,AZ,1.3927893738140418,1.873417721518988
798,433,832,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.21,1.0,0.2,10.1021/jacs.1c06535,AZ,1.2721417069243155,1.5105740181268883
799,433,833,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,7.9,1.0,0.2,10.1021/jacs.1c06535,AZ,1.2721417069243155,1.5105740181268883
800,434,834,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cocc1,6.22,1.0,0.2,10.1002/anie.202110084,AZ,1.2700964630225082,1.5060240963855422
801,434,835,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1cocc1,7.9,1.0,0.2,10.1002/anie.202110084,AZ,1.2700964630225082,1.5060240963855422
812,440,846,COc1cccc(/C=C/[C@@H](CCCC#N)OC(=O)C(C)(C)C)c1,6.23,1.0,0.3,10.1021/jacs.1c06535,AZ,1.2728731942215088,1.51051051051051
813,440,847,COc1cccc(/C=C/[C@H](CCCC#N)OC(=O)C(C)(C)C)c1,7.93,1.0,0.3,10.1021/jacs.1c06535,AZ,1.2728731942215088,1.51051051051051
818,445,854,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1Br,6.88,1.0,0.2,10.1002/anie.202110084,AZ,1.1569767441860466,1.271356783919598
819,445,855,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1Br,7.96,1.0,0.2,10.1002/anie.202110084,AZ,1.1569767441860466,1.271356783919598
832,454,870,C=CCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.56,1.0,0.3,10.1002/anie.202110084,AZ,1.2240853658536586,1.401639344262295
833,454,871,C=CCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.03,1.0,0.3,10.1002/anie.202110084,AZ,1.2240853658536586,1.401639344262295
842,459,880,CCCCCCCCC/C=C/CCCCCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.17,1.0,0.1,10.1002/anie.202110084,AZ,1.3111831442463533,1.587155963302752
843,459,881,CCCCCCCCC/C=C/CCCCCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.09,1.0,0.1,10.1002/anie.202110084,AZ,1.3111831442463533,1.587155963302752
862,469,900,CCCCCCCC/C=C/CCCCCCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.19,1.0,0.1,10.1021/jacs.1c06535,AZ,1.3101777059773827,1.583586626139817
863,469,901,CCCCCCCC/C=C/CCCCCCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.11,1.0,0.1,10.1021/jacs.1c06535,AZ,1.3101777059773827,1.583586626139817
868,472,906,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C2CCCC2,6.46,1.0,0.3,10.1002/anie.202110084,AZ,1.2647058823529411,1.4803370786516852
869,472,907,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C2CCCC2,8.17,1.0,0.3,10.1002/anie.202110084,AZ,1.2647058823529411,1.4803370786516852
870,473,908,C=CCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.65,1.0,0.3,10.1021/jacs.1c06535,AZ,1.2285714285714284,1.405333333333333
871,473,909,C=CCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.17,1.0,0.3,10.1021/jacs.1c06535,AZ,1.2285714285714284,1.405333333333333
894,488,935,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C2CCC2,6.75,1.0,0.3,10.1002/anie.202110084,AZ,1.2192592592592593,1.3844155844155843
895,488,936,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C2CCC2,8.23,1.0,0.3,10.1002/anie.202110084,AZ,1.2192592592592593,1.3844155844155843
934,509,976,CC1(CC1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,6.38,1.0,0.3,10.1002/anie.202110084,AZ,1.3072100313479624,1.5632183908045976
935,509,977,CC1(CC1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,8.34,1.0,0.3,10.1002/anie.202110084,AZ,1.3072100313479624,1.5632183908045976
966,527,1010,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C2CCCCC2,6.46,1.0,0.3,10.1002/anie.202110084,AZ,1.306501547987616,1.5561797752808986
967,527,1011,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C2CCCCC2,8.44,1.0,0.3,10.1002/anie.202110084,AZ,1.306501547987616,1.5561797752808986
1038,564,1084,CCCCC[C@H](C#N)c1ccccc1,8.64,0.5,0.05,10.1002/cjoc.202000309,AZ,1.0821759259259258,1.2499999999999996
1039,564,1083,CCCCC[C@@H](C#N)c1ccccc1,9.35,0.5,0.05,10.1002/cjoc.202000309,AZ,1.0821759259259258,1.2499999999999996
