Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
802,435,837,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(C)cc4,7.9,1.0,0.5,10.1039/C6QO00018E,IAH,1.0886075949367089,1.14
803,435,836,CCOC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(C)cc4,8.6,1.0,0.5,10.1039/C6QO00018E,IAH,1.0886075949367089,1.14
1188,651,1246,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(OC)cc4,9.1,1.0,0.5,10.1039/C6QO00018E,IAH,1.10989010989011,1.1612903225806452
1189,651,1245,CCOC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(OC)cc4,10.1,1.0,0.5,10.1039/C6QO00018E,IAH,1.10989010989011,1.1612903225806452
1226,672,1286,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(Br)cc4,9.2,1.0,0.5,10.1039/C6QO00018E,IAH,1.108695652173913,1.1587301587301588
1227,672,1285,CCOC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(Br)cc4,10.2,1.0,0.5,10.1039/C6QO00018E,IAH,1.108695652173913,1.1587301587301588
3278,1779,3419,O=C1N[C@@H](C2CCCC2)c3ccccc3N1,15.9,1.0,0.1,10.1039/D1QO01598B,IAH,1.1132075471698113,1.1384615384615384
3279,1779,3418,O=C1N[C@H](C2CCCC2)c3ccccc3N1,17.7,1.0,0.1,10.1039/D1QO01598B,IAH,1.1132075471698113,1.1384615384615384
6864,3730,7162,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc(C)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,9.07,1.0,0.3,10.1021/ol200652j,IAH,1.1620727673649391,1.238249594813614
6865,3730,7163,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc(C)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,10.54,1.0,0.3,10.1021/ol200652j,IAH,1.1620727673649391,1.238249594813614
7160,3912,7492,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc(F)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,9.13,1.0,0.3,10.1021/ol200652j,IAH,1.1905805038335158,1.279293739967897
7161,3912,7493,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc(F)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,10.87,1.0,0.3,10.1021/ol200652j,IAH,1.1905805038335158,1.279293739967897
8200,4566,8667,CCC(COC(=O)[C@@H](NC(=O)c1ccc(cc1)C(C)(C)C)c2ccc(F)cc2)(c3ccccc3)c4ccccc4,11.86,1.0,0.3,10.1055/s/0030/1259711,IAH,1.12141652613828,1.1607142857142858
8201,4566,8666,CCC(COC(=O)[C@H](NC(=O)c1ccc(cc1)C(C)(C)C)c2ccc(F)cc2)(c3ccccc3)c4ccccc4,13.3,1.0,0.3,10.1055/s/0030/1259711,IAH,1.12141652613828,1.1607142857142858
10122,5727,10789,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc3ccccc3c2)(C(=O)OC)c4ccccc4[N+]([O-])=O)C(=O)OCC,14.1,1.0,0.15,10.1021/ol200652j,IAH,1.0893617021276596,1.1125
10123,5727,10788,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc3ccccc3c2)(C(=O)OC)c4ccccc4[N+]([O-])=O)C(=O)OCC,15.36,1.0,0.15,10.1021/ol200652j,IAH,1.0893617021276596,1.1125
10546,5983,11257,Cc1ccccc1[S](=O)(=O)N2[C@H](C=C)c3ccccc3N(Cc4ccccc4)C2=O,14.62,1.0,0.15,10.1002/ange.201709681,IAH,1.2920656634746923,1.3643344709897611
