Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
346,182,356,CC1(C)OB(OC1(C)C)[C@H](Cc2ccc(Cl)cc2)N3CCOC3=O,6.06,0.5,0.1,10.1039/C9SC04534A,IAU,1.174917491749175,5.076923076923082
347,182,355,CC1(C)OB(OC1(C)C)[C@@H](Cc2ccc(Cl)cc2)N3CCOC3=O,7.12,0.5,0.1,10.1039/C9SC04534A,IAU,1.174917491749175,5.076923076923082
364,191,374,COc1cccc(C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)c1,6.12,0.5,0.05,10.1039/C9SC04534A,IAU,1.2173202614379086,5.1562499999999964
365,191,373,COc1cccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)c1,7.45,0.5,0.05,10.1039/C9SC04534A,IAU,1.2173202614379086,5.1562499999999964
2450,1336,2562,CC[C@H]1NC(=O)c2[nH]c3ccccc3c2c4ccccc14,13.1,0.5,0.1,10.1021/acs.orglett.0c02282,IAU,1.0916030534351149,1.1643835616438356
2451,1336,2561,CC[C@@H]1NC(=O)c2[nH]c3ccccc3c2c4ccccc14,14.3,0.5,0.1,10.1021/acs.orglett.0c02282,IAU,1.0916030534351149,1.1643835616438356
7022,3828,7340,Fc1cc(F)c2c(c1)N(Cc3ccccc3)C(=O)[C@@]24OC(=O)c5cc6ccccc6n45,10.7,0.3,0.1,10.1002/anie.201912160,IAU,1.2429906542056075,3.51612903225807
7023,3828,7339,Fc1cc(F)c2c(c1)N(Cc3ccccc3)C(=O)[C@]24OC(=O)c5cc6ccccc6n45,13.3,0.3,0.1,10.1002/anie.201912160,IAU,1.2429906542056075,3.51612903225807
8828,4946,9361,Fc1cc2N(Cc3ccccc3)C(=O)[C@@]4(OC(=O)c5cc6ccccc6n45)c2cc1F,12.5,0.3,0.1,10.1002/anie.201912160,IAU,1.208,1.9176470588235288
8829,4946,9360,Fc1cc2N(Cc3ccccc3)C(=O)[C@]4(OC(=O)c5cc6ccccc6n45)c2cc1F,15.1,0.3,0.1,10.1002/anie.201912160,IAU,1.208,1.9176470588235288
11198,6369,11968,CC(C)(C)C1=NC(=O)C[C@H](S1)c2ccccc2,13.5,0.5,0.05,10.1021/acs.orglett.9b03685,IAU,1.148148148148148,1.2597402597402596
11199,6369,11969,CC(C)(C)C1=NC(=O)C[C@@H](S1)c2ccccc2,15.5,0.5,0.05,10.1021/acs.orglett.9b03685,IAU,1.148148148148148,1.2597402597402596
11442,6531,12252,COc1ccc2N(Cc3ccccc3)C(=O)[C@]4(OC(=O)c5cc6ccccc6n45)c2c1,13.0,0.3,0.2,10.1002/anie.201912160,IAU,1.2230769230769232,1.87
11443,6531,12253,COc1ccc2N(Cc3ccccc3)C(=O)[C@@]4(OC(=O)c5cc6ccccc6n45)c2c1,15.9,0.3,0.2,10.1002/anie.201912160,IAU,1.2230769230769232,1.87
12552,7177,13454,Clc1ccc2cc3n(c2c1)[C@@]4(OC3=O)C(=O)N(Cc5ccccc5)c6ccccc46,17.5,0.3,0.1,10.1002/anie.201912160,IAU,1.137142857142857,1.306382978723404
12553,7177,13453,Clc1ccc2cc3n(c2c1)[C@]4(OC3=O)C(=O)N(Cc5ccccc5)c6ccccc46,19.9,0.3,0.1,10.1002/anie.201912160,IAU,1.137142857142857,1.306382978723404
13238,7608,14227,Brc1cccc2c1N(Cc3ccccc3)C(=O)[C@]24OC(=O)c5cc6ccccc6n45,12.2,0.3,0.1,10.1002/anie.201912160,IAU,1.5409836065573772,3.6052631578947376
13239,7608,14228,Brc1cccc2c1N(Cc3ccccc3)C(=O)[C@@]24OC(=O)c5cc6ccccc6n45,18.8,0.3,0.1,10.1002/anie.201912160,IAU,1.5409836065573772,3.6052631578947376
14318,8266,15426,Cc1ccc2cc3n(c2c1)[C@@]4(OC3=O)C(=O)N(Cc5ccccc5)c6ccccc46,20.9,0.3,0.05,10.1002/anie.201912160,IAU,1.1339712918660287,1.249258160237389
14319,8266,15425,Cc1ccc2cc3n(c2c1)[C@]4(OC3=O)C(=O)N(Cc5ccccc5)c6ccccc46,23.7,0.3,0.05,10.1002/anie.201912160,IAU,1.1339712918660287,1.249258160237389
18184,10751,19844,COc1ccc2n3c(cc2c1)C(=O)O[C@@]34C(=O)N(Cc5ccccc5)c6ccccc46,38.0,0.3,0.1,10.1002/anie.201912160,IAU,1.0842105263157895,1.1129411764705883
18185,10751,19843,COc1ccc2n3c(cc2c1)C(=O)O[C@]34C(=O)N(Cc5ccccc5)c6ccccc46,41.2,0.3,0.1,10.1002/anie.201912160,IAU,1.0842105263157895,1.1129411764705883
21116,12685,23244,Cc1ccc(cc1)[C@H]2CC(=O)N=C(S2)c3ccccc3,7.6,0.5,0.1,10.1021/acs.orglett.9b03685,IAU,1.131578947368421,1.5555555555555556
21117,12685,23243,Cc1ccc(cc1)[C@@H]2CC(=O)N=C(S2)c3ccccc3,8.6,0.5,0.1,10.1021/acs.orglett.9b03685,IAU,1.131578947368421,1.5555555555555556
