Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
208,109,214,C[C@H](C(=O)NCc1ccccc1)c2ccccc2,5.314,1.0,0.2,10.1039/D0CC06311H,IA,1.2602559277380505,1.5729080364540182
209,109,213,C[C@@H](C(=O)NCc1ccccc1)c2ccccc2,6.697,1.0,0.2,10.1039/D0CC06311H,IA,1.2602559277380505,1.5729080364540182
374,197,384,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3c(cccc23)C(F)(F)F)c4cccc5cccnc45)C1=O,5.1,1.0,0.4,10.1002/anie.202108853,IA,1.215686274509804,1.5000000000000002
375,197,385,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3c(cccc23)C(F)(F)F)c4cccc5cccnc45)C1=O,6.2,1.0,0.4,10.1002/anie.202108853,IA,1.215686274509804,1.5000000000000002
708,381,736,C[C@H](C#C[Si](C)(C)C)c1ccccc1C(=O)NC(C)(C)C,7.52,0.6,0.01,10.1038/s41467/019/13705/1,IA,1.0611702127659577,1.1712158808933006
709,381,735,C[C@@H](C#C[Si](C)(C)C)c1ccccc1C(=O)NC(C)(C)C,7.98,0.6,0.01,10.1038/s41467/019/13705/1,IA,1.0611702127659577,1.1712158808933006
736,396,765,C\C(=C/[C@H]1CC(CN1C(=S)Nc2ccc(cc2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,7.65,1.0,0.2,10.1002/anie.201900955,IA,1.0941176470588234,1.1515789473684208
737,396,764,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2ccc(cc2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,8.37,1.0,0.2,10.1002/anie.201900955,IA,1.0941176470588234,1.1515789473684208
822,449,860,CC(C)c1ccc2C(=O)N(c3cccc4cccnc34)[C@@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,6.8,1.0,0.4,10.1002/anie.202108853,IA,1.1764705882352942,1.3076923076923077
823,449,861,CC(C)c1ccc2C(=O)N(c3cccc4cccnc34)[C@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,8.0,1.0,0.4,10.1002/anie.202108853,IA,1.1764705882352942,1.3076923076923077
890,485,931,C\C(=C/[C@H]1CC(CN1C(=S)Nc2ccc(cc2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,8.21,1.0,0.2,10.1002/anie.201900955,IA,1.1425091352009744,1.220338983050847
891,485,930,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2ccc(cc2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,9.38,1.0,0.2,10.1002/anie.201900955,IA,1.1425091352009744,1.220338983050847
1058,577,1106,COc1ccc(cc1)C(=O)N[C@H](CC(F)(F)F)c2c[nH]c3c(OC)cccc23,6.0,1.0,0.2,10.1039/D1SC06613G,IA,1.45,1.8709677419354835
1059,577,1107,COc1ccc(cc1)C(=O)N[C@@H](CC(F)(F)F)c2c[nH]c3c(OC)cccc23,8.7,1.0,0.2,10.1039/D1SC06613G,IA,1.45,1.8709677419354835
1186,650,1244,Cc1ccc(cc1)[S](=O)(=O)N2CC[C@H](CC(=O)NC(C)(C)c3ccccn3)c4cc(ccc24)C(F)(F)F,9.1,1.0,0.2,10.1039/D1QO00302J,IA,1.208791208791209,1.306451612903226
1187,650,1243,Cc1ccc(cc1)[S](=O)(=O)N2CC[C@@H](CC(=O)NC(C)(C)c3ccccn3)c4cc(ccc24)C(F)(F)F,11.0,1.0,0.2,10.1039/D1QO00302J,IA,1.208791208791209,1.306451612903226
1314,725,1382,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3ccc(Br)cc23)c4cccc5cccnc45)C1=O,7.5,1.0,0.4,10.1002/anie.202108853,IA,1.2666666666666666,1.434782608695652
1315,725,1383,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3ccc(Br)cc23)c4cccc5cccnc45)C1=O,9.5,1.0,0.4,10.1002/anie.202108853,IA,1.2666666666666666,1.434782608695652
1316,726,1385,CC(C)(C)c1ccc2OCC[C@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,9.5,1.0,0.1,10.1021/acs.orglett.0c03775,IA,1.1263157894736842,1.1818181818181817
1317,726,1384,CC(C)(C)c1ccc2OCC[C@@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,10.7,1.0,0.1,10.1021/acs.orglett.0c03775,IA,1.1263157894736842,1.1818181818181817
1340,739,1409,COc1ccc(C[C@H](C)C[S](=O)(=O)c2ccc(C)cc2)cc1,8.82,0.5,0.05,10.1039/C8QO01291A,IA,1.0839002267573696,1.2450331125827816
1341,739,1410,COc1ccc(C[C@@H](C)C[S](=O)(=O)c2ccc(C)cc2)cc1,9.56,0.5,0.05,10.1039/C8QO01291A,IA,1.0839002267573696,1.2450331125827816
