Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
126,66,130,C(C[C@H](C#Cc1ccccc1)c2ccccc2)Cc3ccccc3,4.65,1.0,0.01,10.1038/s41557/019/0346/2,IB,1.464516129032258,2.234285714285713
127,66,129,C(C[C@@H](C#Cc1ccccc1)c2ccccc2)Cc3ccccc3,6.81,1.0,0.01,10.1038/s41557/019/0346/2,IB,1.464516129032258,2.234285714285713
174,91,178,CC(C)OC(=O)c1ccc(c(c1)C#C[Si](C(C)C)(C(C)C)C(C)C)[S@@](=O)c2ccccn2,4.8,1.0,0.3,10.1021/acs.orglett.1c02918,IB,1.0625,1.157894736842105
175,91,179,CC(C)OC(=O)c1ccc(c(c1)C#C[Si](C(C)C)(C(C)C)C(C)C)[S@](=O)c2ccccn2,5.1,1.0,0.3,10.1021/acs.orglett.1c02918,IB,1.0625,1.157894736842105
480,251,492,C\C(=C/[C@H]1CC(CN1C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,6.62,1.0,0.05,10.1002/anie.201900955,IB,1.4259818731117824,1.758064516129032
481,251,491,C\C(=C/[C@@H]1CC(CN1C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,9.44,1.0,0.05,10.1002/anie.201900955,IB,1.4259818731117824,1.758064516129032
588,312,606,CC(C)OC(=O)c1ccc(cc1)[S@](=O)c2ccccn2,6.4,1.0,0.3,10.1021/acs.orglett.1c02918,IB,1.1093749999999998,1.1999999999999995
589,312,607,CC(C)OC(=O)c1ccc(cc1)[S@@](=O)c2ccccn2,7.1,1.0,0.3,10.1021/acs.orglett.1c02918,IB,1.1093749999999998,1.1999999999999995
982,535,1026,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3cc(I)ccc23)c4cccc5cccnc45)C1=O,8.1,1.0,0.4,10.1002/anie.202108853,IB,1.0493827160493827,1.076923076923077
983,535,1027,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3cc(I)ccc23)c4cccc5cccnc45)C1=O,8.5,1.0,0.4,10.1002/anie.202108853,IB,1.0493827160493827,1.076923076923077
