Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
950,518,993,Cc1cccc(c1)C2=C(Br)[C@H](O)CCC2,6.8,1.0,0.05,10.1021/acs.orglett.1c01744,IC3,1.2352941176470589,1.4102564102564104
951,518,994,Cc1cccc(c1)C2=C(Br)[C@@H](O)CCC2,8.4,1.0,0.05,10.1021/acs.orglett.1c01744,IC3,1.2352941176470589,1.4102564102564104
1974,1077,2064,CC(C)(C)OC(=O)N[C@H](CCC(=O)OCc1ccccc1)c2c[nH]c3ccccc23,9.3,1.0,0.25,10.1039/D1SC06613G,IC3,1.2365591397849462,1.3437499999999998
1975,1077,2065,CC(C)(C)OC(=O)N[C@@H](CCC(=O)OCc1ccccc1)c2c[nH]c3ccccc23,11.5,1.0,0.25,10.1039/D1SC06613G,IC3,1.2365591397849462,1.3437499999999998
2036,1113,2132,COc1cccc2[nH]cc([C@H](CCC(=O)c3ccccc3)NC(=O)OC(C)(C)C)c12,11.7,1.0,0.25,10.1039/D1SC06613G,IC3,1.5384615384615383,1.715909090909091
2037,1113,2131,COc1cccc2[nH]cc([C@@H](CCC(=O)c3ccccc3)NC(=O)OC(C)(C)C)c12,18.0,1.0,0.25,10.1039/D1SC06613G,IC3,1.5384615384615383,1.715909090909091
2164,1181,2263,COC(=O)CC[C@@H](NC(=O)OC(C)(C)C)c1c[nH]c2ccccc12,10.2,1.0,0.25,10.1039/D1SC06613G,IC3,1.1862745098039216,1.26027397260274
2165,1181,2264,COC(=O)CC[C@H](NC(=O)OC(C)(C)C)c1c[nH]c2ccccc12,12.1,1.0,0.25,10.1039/D1SC06613G,IC3,1.1862745098039216,1.26027397260274
2566,1396,2679,CC(C)(C)OC(=O)N[C@H](CCC(=O)C1CC1)c2c[nH]c3ccccc23,10.6,1.0,0.25,10.1039/D1SC06613G,IC3,1.2735849056603774,1.3766233766233766
2567,1396,2680,CC(C)(C)OC(=O)N[C@@H](CCC(=O)C1CC1)c2c[nH]c3ccccc23,13.5,1.0,0.25,10.1039/D1SC06613G,IC3,1.2735849056603774,1.3766233766233766
2710,1471,2827,COc1ccccc1C[C@@]23CCCN2C(=O)CCCC3=O,13.92,1.0,0.2,10.1002/anie.202107909,IC3,1.0632183908045978,1.0798548094373863
2711,1471,2826,COc1ccccc1C[C@]23CCCN2C(=O)CCCC3=O,14.8,1.0,0.2,10.1002/anie.202107909,IC3,1.0632183908045978,1.0798548094373863
3282,1781,3422,Cl[C@H]1CCCO[C@]1(C(=O)c2ccc3ccccc3c2)c4ccc5ccccc5c4,14.9,1.0,0.05,10.1021/ja201794v,IC3,1.0671140939597314,1.0833333333333333
3283,1781,3423,Cl[C@@H]1CCCO[C@]1(C(=O)c2ccc3ccccc3c2)c4ccc5ccccc5c4,15.9,1.0,0.05,10.1021/ja201794v,IC3,1.0671140939597314,1.0833333333333333
4102,2215,4266,FC(F)(F)c1ccc(C[C@]23CCCN2C(=O)CCC3=O)cc1,14.65,1.0,0.2,10.1002/anie.202107909,IC3,1.3638225255972696,1.453617021276596
4103,2215,4267,FC(F)(F)c1ccc(C[C@@]23CCCN2C(=O)CCC3=O)cc1,19.98,1.0,0.2,10.1002/anie.202107909,IC3,1.3638225255972696,1.453617021276596
4342,2345,4516,O=C1CCCC(=O)[C@]2(CCCN12)Cc3ccccc3,20.03,1.0,0.15,10.1002/anie.202107909,IC3,1.0624063904143783,1.0729713952130764
4343,2345,4517,O=C1CCCC(=O)[C@@]2(CCCN12)Cc3ccccc3,21.28,1.0,0.15,10.1002/anie.202107909,IC3,1.0624063904143783,1.0729713952130764
4354,2352,4529,O=C1CCCC(=O)[C@]2(CCCN12)Cc3sccc3,19.85,1.0,0.2,10.1002/anie.202107909,IC3,1.0735516372795968,1.086135693215339
4355,2352,4530,O=C1CCCC(=O)[C@@]2(CCCN12)Cc3sccc3,21.31,1.0,0.2,10.1002/anie.202107909,IC3,1.0735516372795968,1.086135693215339
4582,2473,4764,Clc1ccccc1C[C@]23CCCN2C(=O)CCCC3=O,18.76,1.0,0.2,10.1002/anie.202107909,IC3,1.2174840085287846,1.257250945775536
4583,2473,4765,Clc1ccccc1C[C@@]23CCCN2C(=O)CCCC3=O,22.84,1.0,0.2,10.1002/anie.202107909,IC3,1.2174840085287846,1.257250945775536
4948,2670,5144,COc1ccc(C[C@]23CCCN2C(=O)CCCC3=O)cc1,22.84,1.0,0.2,10.1002/anie.202107909,IC3,1.136602451838879,1.156469408224674
4949,2670,5145,COc1ccc(C[C@@]23CCCN2C(=O)CCCC3=O)cc1,25.96,1.0,0.2,10.1002/anie.202107909,IC3,1.136602451838879,1.156469408224674
5790,3115,6010,O=C1CCC(=O)[C@]2(CCCN12)Cc3ccccc3,27.42,1.0,0.2,10.1002/anie.202107909,IC3,1.3905908096280089,1.4367862969004894
5791,3115,6011,O=C1CCC(=O)[C@@]2(CCCN12)Cc3ccccc3,38.13,1.0,0.2,10.1002/anie.202107909,IC3,1.3905908096280089,1.4367862969004894
5892,3168,6114,Cc1ccc(C[C@]23CCCN2C(=O)CCC3=O)cc1,27.76,1.0,0.2,10.1002/anie.202107909,IC3,1.4729827089337175,1.5281576830249397
5893,3168,6115,Cc1ccc(C[C@@]23CCCN2C(=O)CCC3=O)cc1,40.89,1.0,0.2,10.1002/anie.202107909,IC3,1.4729827089337175,1.5281576830249397
6096,3277,6325,COc1ccc(C[C@]23CCCN2C(=O)CCC3=O)cc1,40.23,1.0,0.2,10.1002/anie.202107909,IC3,1.2674620929654488,1.288240021430485
