Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
252,132,259,Cc1cc(C)cc(c1)[C@@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccc(Br)cc23,5.6,1.0,0.05,10.1002/adsc.201501155,ICH,1.0892857142857142,1.1851851851851851
253,132,258,Cc1cc(C)cc(c1)[C@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccc(Br)cc23,6.1,1.0,0.05,10.1002/adsc.201501155,ICH,1.0892857142857142,1.1851851851851851
254,133,261,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3ccc(Br)cc13,5.6,1.0,0.1,10.1002/adsc.201501155,ICH,1.1607142857142858,1.3333333333333337
255,133,260,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3ccc(Br)cc13,6.5,1.0,0.1,10.1002/adsc.201501155,ICH,1.1607142857142858,1.3333333333333337
256,134,263,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3cc(F)ccc13,5.6,1.0,0.1,10.1002/adsc.201501155,ICH,1.1785714285714286,1.3703703703703705
257,134,262,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3cc(F)ccc13,6.6,1.0,0.1,10.1002/adsc.201501155,ICH,1.1785714285714286,1.3703703703703705
282,147,289,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3cc(Br)ccc13,5.7,1.0,0.1,10.1002/adsc.201501155,ICH,1.157894736842105,1.3214285714285712
283,147,288,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3cc(Br)ccc13,6.6,1.0,0.1,10.1002/adsc.201501155,ICH,1.157894736842105,1.3214285714285712
312,163,320,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3ccc(Cl)cc13,5.9,1.0,0.1,10.1002/adsc.201501155,ICH,1.135593220338983,1.2666666666666666
313,163,319,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3ccc(Cl)cc13,6.7,1.0,0.1,10.1002/adsc.201501155,ICH,1.135593220338983,1.2666666666666666
426,223,437,Cc1ccc(cc1)[C@@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccccc23,6.4,1.0,0.1,10.1002/adsc.201501155,ICH,1.484375,1.8857142857142848
427,223,436,Cc1ccc(cc1)[C@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccccc23,9.5,1.0,0.1,10.1002/adsc.201501155,ICH,1.484375,1.8857142857142848
