Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
260,136,266,C1CC(C1)[C@@H](C#Cc2ccccc2)c3ccccc3,5.15,1.0,0.002,10.1038/s41557/019/0346/2,IC,1.09126213592233,1.208888888888889
261,136,267,C1CC(C1)[C@H](C#Cc2ccccc2)c3ccccc3,5.62,1.0,0.002,10.1038/s41557/019/0346/2,IC,1.09126213592233,1.208888888888889
266,139,273,F[C@@H]1CCO[C@]1(C(=O)c2ccc(F)cc2)c3ccc(F)cc3,5.67,1.0,0.1,10.1002/chem.201202444,IC,1.1516754850088184,1.3104693140794226
267,139,272,F[C@H]1CCO[C@]1(C(=O)c2ccc(F)cc2)c3ccc(F)cc3,6.53,1.0,0.1,10.1002/chem.201202444,IC,1.1516754850088184,1.3104693140794226
272,142,279,CC(C)(C)NC(=O)[C@@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c4cc(Br)cc(Br)c4,5.7,1.0,0.3,10.1021/jacs.5b09117,IC,1.1754385964912282,1.3571428571428572
273,142,278,CC(C)(C)NC(=O)[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c4cc(Br)cc(Br)c4,6.7,1.0,0.3,10.1021/jacs.5b09117,IC,1.1754385964912282,1.3571428571428572
400,210,410,CC(C)C[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,4.5,1.0,0.3,10.1021/jacs.5b09117,IC,1.4,2.125
401,210,411,CC(C)C[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,6.3,1.0,0.3,10.1021/jacs.5b09117,IC,1.4,2.125
420,220,430,CCCC[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)CC(C)(C)C,5.0,1.0,0.3,10.1021/jacs.5b09117,IC,1.28,1.6666666666666667
421,220,431,CCCC[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)CC(C)(C)C,6.4,1.0,0.3,10.1021/jacs.5b09117,IC,1.28,1.6666666666666667
520,275,535,CC(C)(C)NC(=O)[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(C)(C)C,4.7,1.0,0.3,10.1021/jacs.5b09117,IC,1.4468085106382975,2.1666666666666665
521,275,536,CC(C)(C)NC(=O)[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(C)(C)C,6.8,1.0,0.3,10.1021/jacs.5b09117,IC,1.4468085106382975,2.1666666666666665
556,294,573,Cc1cc(C)cc(c1)C(=O)[C@@]2(OCCC[C@H]2Br)c3cc(C)cc(C)c3,6.96,1.0,0.05,10.1021/ja201794v,IC,1.2413793103448276,1.4137931034482758
557,294,572,Cc1cc(C)cc(c1)C(=O)[C@]2(OCCC[C@H]2Br)c3cc(C)cc(C)c3,8.64,1.0,0.05,10.1021/ja201794v,IC,1.2413793103448276,1.4137931034482758
634,339,656,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(Cl)c5,4.87,1.0,0.1,10.1002/anie.201900955,IC,1.48870636550308,2.208121827411167
635,339,657,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(Cl)c5,7.25,1.0,0.1,10.1002/anie.201900955,IC,1.48870636550308,2.208121827411167
720,387,747,CCCCCC[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,5.3,1.0,0.3,10.1021/jacs.5b09117,IC,1.4339622641509433,1.958333333333333
721,387,748,CCCCCC[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,7.6,1.0,0.3,10.1021/jacs.5b09117,IC,1.4339622641509433,1.958333333333333
722,388,749,CCCC[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,5.5,1.0,0.3,10.1021/jacs.5b09117,IC,1.3818181818181818,1.807692307692308
723,388,750,CCCC[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,7.6,1.0,0.3,10.1021/jacs.5b09117,IC,1.3818181818181818,1.807692307692308
774,417,804,O=C1C[C@@]2(C(=O)N(Cc3ccccc3)c4ccccc24)C(=C(O1)c5ccccc5)C(=O)c6ccccc6,6.5,1.0,0.1,10.1039/C8RA02009D,IC,1.2,1.3611111111111112
775,417,805,O=C1C[C@]2(C(=O)N(Cc3ccccc3)c4ccccc24)C(=C(O1)c5ccccc5)C(=O)c6ccccc6,7.8,1.0,0.1,10.1039/C8RA02009D,IC,1.2,1.3611111111111112
786,424,817,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(Cl)c5,4.97,1.0,0.1,10.1002/anie.201900955,IC,1.5835010060362174,2.40096618357488
787,424,818,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(Cl)c5,7.87,1.0,0.1,10.1002/anie.201900955,IC,1.5835010060362174,2.40096618357488
808,438,842,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccc(Cl)cc5,5.38,1.0,0.1,10.1002/anie.201900955,IC,1.4702602230483273,2.0201612903225805
