Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
276,144,283,CCCCC[C@@H]1CC(=O)N1C(C)(C)c2ccccn2,5.7,1.2,0.2,10.1002/cjoc.201900533,ID,1.157894736842105,1.2741116751269037
277,144,282,CCCCC[C@H]1CC(=O)N1C(C)(C)c2ccccn2,6.6,1.2,0.2,10.1002/cjoc.201900533,ID,1.157894736842105,1.2741116751269037
308,161,316,CC(C)(N1[C@H](CC(c2ccc(F)cc2)c3ccc(F)cc3)CC1=O)c4ccccn4,5.9,1.2,0.2,10.1002/cjoc.201900533,ID,1.5932203389830508,2.004784688995215
309,161,315,CC(C)(N1[C@@H](CC(c2ccc(F)cc2)c3ccc(F)cc3)CC1=O)c4ccccn4,9.4,1.2,0.2,10.1002/cjoc.201900533,ID,1.5932203389830508,2.004784688995215
566,299,582,C[S](=O)(=O)c1ccc(C[C@@]2(CC3(CCCCC3)CN2C(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c5ccccc5)cc1,5.8,1.0,0.2,10.6023/A18100413,ID,1.206896551724138,1.4137931034482758
567,299,583,C[S](=O)(=O)c1ccc(C[C@]2(CC3(CCCCC3)CN2C(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c5ccccc5)cc1,7.0,1.0,0.2,10.6023/A18100413,ID,1.206896551724138,1.4137931034482758
664,358,690,CC(C)(C)NC(=O)[C@H](OC(=O)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c2cccc(c2)[N+]([O-])=O,6.6,1.0,0.1,10.1021/jacs.5b09117,ID,1.121212121212121,1.2162162162162162
665,358,691,CC(C)(C)NC(=O)[C@@H](OC(=O)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c2cccc(c2)[N+]([O-])=O,7.4,1.0,0.1,10.1021/jacs.5b09117,ID,1.121212121212121,1.2162162162162162
1216,667,1275,CC(C)(C)NC(=O)[C@H](OC(=O)C1CCCCC1)c2cccc(c2)[N+]([O-])=O,7.3,1.0,0.2,10.1021/jacs.5b09117,ID,1.2602739726027397,1.4318181818181814
1217,667,1276,CC(C)(C)NC(=O)[C@@H](OC(=O)C1CCCCC1)c2cccc(c2)[N+]([O-])=O,9.2,1.0,0.2,10.1021/jacs.5b09117,ID,1.2602739726027397,1.4318181818181814
1290,711,1356,O=C(CC1=C[C@H](c2ccccc2)C3=C(O1)C(=O)N(Cc4ccccc4)C3)c5ccccc5,7.8,1.0,0.494949,10.1021/acs.joc.5b00961,ID,1.2051282051282053,1.326530612244898
1291,711,1357,O=C(CC1=C[C@@H](c2ccccc2)C3=C(O1)C(=O)N(Cc4ccccc4)C3)c5ccccc5,9.4,1.0,0.494949,10.1021/acs.joc.5b00961,ID,1.2051282051282053,1.326530612244898
