Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
140,73,144,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(F)c(Cl)c3,4.8,1.0,0.2,10.1002/anie.201907115,IE,1.1,1.2526315789473688
141,73,143,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc(F)c(Cl)c3,5.28,1.0,0.2,10.1002/anie.201907115,IE,1.1,1.2526315789473688
152,80,157,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(cc3)C(F)(F)F,4.94,1.0,0.1,10.1002/anie.201907115,IE,1.3137651821862348,1.7598039215686272
153,80,156,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc(cc3)C(F)(F)F,6.49,1.0,0.1,10.1002/anie.201907115,IE,1.3137651821862348,1.7598039215686272
162,85,167,CCc1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,5.01,1.0,0.2,10.1002/anie.201907115,IE,1.1656686626746506,1.3933649289099526
163,85,166,CCc1ccccc1SC[C@@]2(CCCC2=O)c3ccccc3,5.84,1.0,0.2,10.1002/anie.201907115,IE,1.1656686626746506,1.3933649289099526
168,88,173,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,5.05,1.0,0.3,10.1002/anie.201907115,IE,1.2792079207920792,1.6558139534883722
169,88,172,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccccc3,6.46,1.0,0.3,10.1002/anie.201907115,IE,1.2792079207920792,1.6558139534883722
170,89,175,Cc1cccc(c1)[C@@]2(CCCC2=O)CSc3ccccc3C,5.07,1.0,0.2,10.1002/anie.201907115,IE,1.0650887573964498,1.152073732718894
171,89,174,Cc1cccc(c1)[C@]2(CCCC2=O)CSc3ccccc3C,5.4,1.0,0.2,10.1002/anie.201907115,IE,1.0650887573964498,1.152073732718894
178,93,183,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(F)cc3,5.13,1.0,0.2,10.1002/anie.201907115,IE,1.331384015594542,1.7623318385650224
179,93,182,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc(F)cc3,6.83,1.0,0.2,10.1002/anie.201907115,IE,1.331384015594542,1.7623318385650224
188,99,194,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(Cl)cc3,5.25,1.0,0.2,10.1002/anie.201907115,IE,1.5714285714285714,2.2765957446808507
189,99,193,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc(Cl)cc3,8.25,1.0,0.2,10.1002/anie.201907115,IE,1.5714285714285714,2.2765957446808507
280,146,287,Cc1ccc(cc1)[C@@]2(CCCC2=O)CSc3ccccc3C,5.7,1.0,0.2,10.1002/anie.201907115,IE,1.3368421052631578,1.6857142857142855
281,146,286,Cc1ccc(cc1)[C@]2(CCCC2=O)CSc3ccccc3C,7.62,1.0,0.2,10.1002/anie.201907115,IE,1.3368421052631578,1.6857142857142855
340,179,350,CC(C)c1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,6.01,1.0,0.05,10.1002/anie.201907115,IE,1.0565723793677204,1.1093247588424435
341,179,349,CC(C)c1ccccc1SC[C@@]2(CCCC2=O)c3ccccc3,6.35,1.0,0.05,10.1002/anie.201907115,IE,1.0565723793677204,1.1093247588424435
342,180,352,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc4ccccc4c3,6.02,1.0,0.3,10.1002/anie.201907115,IE,1.3421926910299005,1.6602564102564104
343,180,351,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc4ccccc4c3,8.08,1.0,0.3,10.1002/anie.201907115,IE,1.3421926910299005,1.6602564102564104
370,195,381,Cc1ccccc1SC[C@]2(CCCC2=O)CCc3ccccc3,6.19,1.0,0.1,10.1002/anie.201907115,IE,1.1631663974151858,1.3069908814589666
371,195,380,Cc1ccccc1SC[C@@]2(CCCC2=O)CCc3ccccc3,7.2,1.0,0.1,10.1002/anie.201907115,IE,1.1631663974151858,1.3069908814589666
410,215,421,COc1ccc(cc1)[C@@]2(CCCC2=O)CSc3ccccc3C,6.37,1.0,0.3,10.1002/anie.201907115,IE,1.2967032967032963,1.5446685878962534
