Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
882,481,922,COc1ccc(OC)c(c1)c2ccc3CCO[C@@H](C)c3c2,6.2,0.5,0.01,10.1002/anie.201916677,IF3,1.3225806451612905,5.999999999999994
883,481,923,COc1ccc(OC)c(c1)c2ccc3CCO[C@H](C)c3c2,8.2,0.5,0.01,10.1002/anie.201916677,IF3,1.3225806451612905,5.999999999999994
898,490,939,O=C[C@H](CC1(CCCC1=O)c2ccccc2)C3CCCCC3,7.57,1.0,0.05,10.1002/anie.202001100,IF3,1.0898282694848085,1.145610278372591
899,490,940,O=C[C@@H](CC1(CCCC1=O)c2ccccc2)C3CCCCC3,8.25,1.0,0.05,10.1002/anie.202001100,IF3,1.0898282694848085,1.145610278372591
998,543,1043,CCC[C@@]12CCCN1C(=O)CCCC2=O,8.51,1.0,0.2,10.1002/anie.202107909,IF3,1.0705052878965922,1.106951871657754
999,543,1042,CCC[C@]12CCCN1C(=O)CCCC2=O,9.11,1.0,0.2,10.1002/anie.202107909,IF3,1.0705052878965922,1.106951871657754
1124,616,1179,CC(C)(C)OC(=O)N[C@@H](CCC(=O)c1ccccc1)c2c[nH]c3cccc(Cl)c23,8.9,1.0,0.15,10.1039/D1SC06613G,IF3,1.1910112359550562,1.2833333333333332
1125,616,1178,CC(C)(C)OC(=O)N[C@H](CCC(=O)c1ccccc1)c2c[nH]c3cccc(Cl)c23,10.6,1.0,0.15,10.1039/D1SC06613G,IF3,1.1910112359550562,1.2833333333333332
1242,684,1306,CC(C)C[C@@]12CCCN1C(=O)CCC2=O,9.29,1.0,0.2,10.1002/anie.202107909,IF3,1.2002152852529604,1.291079812206573
1243,684,1305,CC(C)C[C@]12CCCN1C(=O)CCC2=O,11.15,1.0,0.2,10.1002/anie.202107909,IF3,1.2002152852529604,1.291079812206573
1334,735,1403,CC(C)=CC[C@@]12CCCN1C(=O)CCC2=O,9.54,1.0,0.2,10.1002/anie.202107909,IF3,1.2033542976939204,1.2921686746987957
1335,735,1402,CC(C)=CC[C@]12CCCN1C(=O)CCC2=O,11.48,1.0,0.2,10.1002/anie.202107909,IF3,1.2033542976939204,1.2921686746987957
1350,744,1420,CC(=C)C[C@@]12CCCN1C(=O)CCC2=O,9.6,1.0,0.2,10.1002/anie.202107909,IF3,1.1645833333333333,1.2358208955223882
1351,744,1419,CC(=C)C[C@]12CCCN1C(=O)CCC2=O,11.18,1.0,0.2,10.1002/anie.202107909,IF3,1.1645833333333333,1.2358208955223882
1472,810,1547,CCC[C@@]12CCCN1C(=O)CCC2=O,10.04,1.0,0.2,10.1002/anie.202107909,IF3,1.2928286852589643,1.4117647058823533
1473,810,1546,CCC[C@]12CCCN1C(=O)CCC2=O,12.98,1.0,0.2,10.1002/anie.202107909,IF3,1.2928286852589643,1.4117647058823533
1484,816,1558,COc1ccc(cc1)C(=O)N[C@@H](O)CC(F)(F)F,6.8,1.0,0.1,10.1039/D1SC06613G,IF3,1.4852941176470589,1.846153846153846
1485,816,1559,COc1ccc(cc1)C(=O)N[C@H](O)CC(F)(F)F,10.1,1.0,0.1,10.1039/D1SC06613G,IF3,1.4852941176470589,1.846153846153846
1526,838,1602,CC(C)(C)OC(=O)N[C@@H](CCC(=O)c1ccccc1)c2c[nH]c3ccc(Br)cc23,10.2,1.0,0.1,10.1039/D1SC06613G,IF3,1.107843137254902,1.1506849315068497
1527,838,1601,CC(C)(C)OC(=O)N[C@H](CCC(=O)c1ccccc1)c2c[nH]c3ccc(Br)cc23,11.3,1.0,0.1,10.1039/D1SC06613G,IF3,1.107843137254902,1.1506849315068497
1550,853,1629,COc1ccc(cc1)C(=O)N[C@@H](CC(F)(F)F)c2c(O)cc(OC)cc2OC,10.3,1.0,0.15,10.1039/D1SC06613G,IF3,2.2427184466019416,2.72972972972973
1551,853,1628,COc1ccc(cc1)C(=O)N[C@H](CC(F)(F)F)c2c(O)cc(OC)cc2OC,23.1,1.0,0.15,10.1039/D1SC06613G,IF3,2.2427184466019416,2.72972972972973
1626,893,1706,CC(C)(C)OC(=O)N[C@H](CCC(=C)c1ccccc1)c2c[nH]c3ccccc23,8.3,1.0,0.15,10.1039/D1SC06613G,IF3,1.2650602409638554,1.4074074074074072
1627,893,1707,CC(C)(C)OC(=O)N[C@@H](CCC(=C)c1ccccc1)c2c[nH]c3ccccc23,10.5,1.0,0.15,10.1039/D1SC06613G,IF3,1.2650602409638554,1.4074074074074072
1628,894,1708,CC(C)(C)OC(=O)N[C@H](CCC(=NO)c1ccccc1)c2c[nH]c3ccccc23,8.3,1.0,0.15,10.1039/D1SC06613G,IF3,1.2650602409638554,1.4074074074074072
1629,894,1709,CC(C)(C)OC(=O)N[C@@H](CCC(=NO)c1ccccc1)c2c[nH]c3ccccc23,10.5,1.0,0.15,10.1039/D1SC06613G,IF3,1.2650602409638554,1.4074074074074072
1642,901,1723,O=C1CCC(=O)[C@@]2(CCCN12)CC3CCCC3,10.53,1.0,0.2,10.1002/anie.202107909,IF3,1.1823361823361824,1.2516382699868938
1643,901,1722,O=C1CCC(=O)[C@]2(CCCN12)CC3CCCC3,12.45,1.0,0.2,10.1002/anie.202107909,IF3,1.1823361823361824,1.2516382699868938
1660,912,1743,CC(C)(C)OC(=O)N[C@@H](CCC(=O)c1ccccc1)c2c[nH]c3cc(Cl)ccc23,10.6,1.0,0.15,10.1039/D1SC06613G,IF3,1.0943396226415094,1.12987012987013
1661,912,1742,CC(C)(C)OC(=O)N[C@H](CCC(=O)c1ccccc1)c2c[nH]c3cc(Cl)ccc23,11.6,1.0,0.15,10.1039/D1SC06613G,IF3,1.0943396226415094,1.12987012987013
1686,928,1771,FC(F)(F)c1ccccc1C[C@]23CCCN2C(=O)CCCC3=O,8.47,1.0,0.2,10.1002/anie.202107909,IF3,1.2632821723730814,1.4003590664272887
1687,928,1772,FC(F)(F)c1ccccc1C[C@@]23CCCN2C(=O)CCCC3=O,10.7,1.0,0.2,10.1002/anie.202107909,IF3,1.2632821723730814,1.4003590664272887
1714,943,1801,O=C1CCCC(=O)[C@@]2(CCCN12)CCc3ccccc3,10.78,1.0,0.2,10.1002/anie.202107909,IF3,1.2857142857142858,1.3908629441624365
1715,943,1800,O=C1CCCC(=O)[C@]2(CCCN12)CCc3ccccc3,13.86,1.0,0.2,10.1002/anie.202107909,IF3,1.2857142857142858,1.3908629441624365
1730,951,1816,CCOC(=O)C(C[C@@H](NC(=O)OC(C)(C)C)c1c[nH]c2ccccc12)C(=O)OCC,9.4,1.0,0.15,10.1039/D1SC06613G,IF3,1.148936170212766,1.2153846153846155
1731,951,1817,CCOC(=O)C(C[C@H](NC(=O)OC(C)(C)C)c1c[nH]c2ccccc12)C(=O)OCC,10.8,1.0,0.15,10.1039/D1SC06613G,IF3,1.148936170212766,1.2153846153846155
1794,983,1880,COc1ccc(cc1)C(=O)N[C@H](CC(F)(F)F)c2c[nH]c3cccc(C)c23,9.0,1.0,0.1,10.1039/D1SC06613G,IF3,1.2222222222222223,1.3278688524590163
1795,983,1881,COc1ccc(cc1)C(=O)N[C@@H](CC(F)(F)F)c2c[nH]c3cccc(C)c23,11.0,1.0,0.1,10.1039/D1SC06613G,IF3,1.2222222222222223,1.3278688524590163
