Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
136,71,140,CCOC(OCC)C#C[C@H](C)c1ccc(C)cc1,4.74,1.0,0.02,10.1038/s41557/019/0346/2,IG,1.2046413502109703,1.527173913043478
137,71,139,CCOC(OCC)C#C[C@@H](C)c1ccc(C)cc1,5.71,1.0,0.02,10.1038/s41557/019/0346/2,IG,1.2046413502109703,1.527173913043478
304,159,311,CCOC(OCC)C#C[C@H](C)c1ccc(C)cc1,4.82,1.0,0.02,10.1038/s41557/019/0346/2,IG,1.2157676348547717,1.5416666666666663
305,159,312,CCOC(OCC)C#C[C@@H](C)c1ccc(C)cc1,5.86,1.0,0.02,10.1038/s41557/019/0346/2,IG,1.2157676348547717,1.5416666666666663
714,384,742,CCCCCC[C@H](C)c1cc(c(C)n1c2ccc(cn2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C(=O)OCC,7.55,0.6,0.1,10.1021/jacs.1c08562,IG,1.095364238410596,1.265030674846626
715,384,741,CCCCCC[C@@H](C)c1cc(c(C)n1c2ccc(cn2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C(=O)OCC,8.27,0.6,0.1,10.1021/jacs.1c08562,IG,1.095364238410596,1.265030674846626
980,534,1024,CC[C@@H](C#Cc1ccc(C=C)cc1)c2ccccc2,7.88,0.5,0.01,10.1038/s41557/019/0346/2,IG,1.0786802030456852,1.2980769230769231
981,534,1025,CC[C@H](C#Cc1ccc(C=C)cc1)c2ccccc2,8.5,0.5,0.01,10.1038/s41557/019/0346/2,IG,1.0786802030456852,1.2980769230769231
2106,1151,2205,C#C[C@@H](CCCC#N)c1ccccc1,11.88,0.5,0.15,10.1038/s41557/019/0346/2,IG,1.0538720538720538,1.1052631578947367
2107,1151,2204,C#C[C@H](CCCC#N)c1ccccc1,12.52,0.5,0.15,10.1038/s41557/019/0346/2,IG,1.0538720538720538,1.1052631578947367
2658,1445,2775,CCOC(OCC)C#C[C@H](C)c1ccc(C)c(OC)c1,13.79,0.4,0.01,10.1038/s41557/019/0346/2,IG,1.110949963741842,1.2339449541284404
2659,1445,2774,CCOC(OCC)C#C[C@@H](C)c1ccc(C)c(OC)c1,15.32,0.4,0.01,10.1038/s41557/019/0346/2,IG,1.110949963741842,1.2339449541284404
3002,1633,3134,CCOC(OCC)C#C[C@H](C)c1ccc(C)c(OC)c1,13.59,0.4,0.01,10.1038/s41557/019/0346/2,IG,1.099337748344371,1.2129337539432177
3003,1633,3135,CCOC(OCC)C#C[C@@H](C)c1ccc(C)c(OC)c1,14.94,0.4,0.01,10.1038/s41557/019/0346/2,IG,1.099337748344371,1.2129337539432177
3210,1745,3351,CC[C@H](C#Cc1ccc(cc1)C(F)(F)F)c2ccccc2,15.7,0.3,0.0,10.1038/s41557/019/0346/2,IG,1.1070063694267516,1.278453038674033
3211,1745,3350,CC[C@@H](C#Cc1ccc(cc1)C(F)(F)F)c2ccccc2,17.38,0.3,0.0,10.1038/s41557/019/0346/2,IG,1.1070063694267516,1.278453038674033
3708,2006,3861,CC[C@H](C#CC1CC1)c2ccccc2,17.83,0.3,0.0,10.1038/s41557/019/0346/2,IG,1.2428491306786316,1.5304205798285018
3709,2006,3860,CC[C@@H](C#CC1CC1)c2ccccc2,22.16,0.3,0.0,10.1038/s41557/019/0346/2,IG,1.2428491306786316,1.5304205798285018
