Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
142,74,146,C[C@H](C#Cc1ccccc1)c2ccc3ccccc3c2,4.82,1.0,0.03,10.1038/s41557/019/0346/2,OD3,1.053941908713693,1.1354166666666663
143,74,145,C[C@@H](C#Cc1ccccc1)c2ccc3ccccc3c2,5.08,1.0,0.03,10.1038/s41557/019/0346/2,OD3,1.053941908713693,1.1354166666666663
146,76,150,CC[C@H](C#Cc1ccccc1)c2cccc(OC)c2,4.89,1.0,0.01,10.1038/s41557/019/0346/2,OD3,1.1349693251533743,1.3316582914572863
147,76,149,CC[C@@H](C#Cc1ccccc1)c2cccc(OC)c2,5.55,1.0,0.01,10.1038/s41557/019/0346/2,OD3,1.1349693251533743,1.3316582914572863
210,110,215,CC(C)N(C(C)C)C(=O)[C@H](N)c1ccccc1,4.03,1.0,0.1,10.1002/anie.202202552,OD3,1.3200992555831266,2.141592920353982
211,110,216,CC(C)N(C(C)C)C(=O)[C@@H](N)c1ccccc1,5.32,1.0,0.1,10.1002/anie.202202552,OD3,1.3200992555831266,2.141592920353982
236,123,242,C[C@H](O)c1ccc(Br)cc1,5.5,1.0,0.1,10.1021/acscatal.0c04206,OD3,1.0909090909090908,1.1923076923076923
237,123,241,C[C@@H](O)c1ccc(Br)cc1,6.0,1.0,0.1,10.1021/acscatal.0c04206,OD3,1.0909090909090908,1.1923076923076923
242,126,247,COc1cccc(c1)[C@]2(CC(F)(F)F)CC3(CCCC3)CO2,4.58,1.0,0.02,10.1002/anie.201702925,OD3,1.2074235807860263,1.5654761904761905
243,126,248,COc1cccc(c1)[C@@]2(CC(F)(F)F)CC3(CCCC3)CO2,5.53,1.0,0.02,10.1002/anie.201702925,OD3,1.2074235807860263,1.5654761904761905
284,148,291,C[C@H](O)c1cccc(Br)c1,5.7,1.0,0.1,10.1021/acscatal.0c04206,OD3,1.0701754385964912,1.1428571428571426
285,148,290,C[C@@H](O)c1cccc(Br)c1,6.1,1.0,0.1,10.1021/acscatal.0c04206,OD3,1.0701754385964912,1.1428571428571426
314,164,321,C[C@@H](O)c1cccc(C)c1,5.3,1.0,0.1,10.1021/acscatal.0c04206,OD3,1.1132075471698115,1.2500000000000002
315,164,322,C[C@H](O)c1cccc(C)c1,5.9,1.0,0.1,10.1021/acscatal.0c04206,OD3,1.1132075471698115,1.2500000000000002
332,174,341,C[C@H](C#Cc1ccccc1)c2cscn2,6.0,1.0,0.05,10.1038/s41557/019/0346/2,OD3,1.17,1.3290322580645155
333,174,340,C[C@@H](C#Cc1ccccc1)c2cscn2,7.02,1.0,0.05,10.1038/s41557/019/0346/2,OD3,1.17,1.3290322580645155
338,178,347,O[C@@H]1CCCC(=C1Br)CC=C,5.5,1.0,0.05,10.1021/acs.orglett.1c01744,OD3,1.0909090909090908,1.1923076923076923
