Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
36,19,38,CCCOC(=O)C[C@@H](B1OC(C)(C)C(C)(C)O1)c2ccccc2,3.5,1.0,0.1,10.1002/adsc.201900161,ODH,1.2,2.166666666666667
37,19,37,CCCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c2ccccc2,4.2,1.0,0.1,10.1002/adsc.201900161,ODH,1.2,2.166666666666667
102,53,105,CO[C@@H](NC(=O)C(C)(C)C)c1ccccc1CCCC(F)(F)F,4.32,1.0,0.1,10.1002/anie.201405401,ODH,1.1412037037037035,1.4295774647887318
103,53,104,CO[C@H](NC(=O)C(C)(C)C)c1ccccc1CCCC(F)(F)F,4.93,1.0,0.1,10.1002/anie.201405401,ODH,1.1412037037037035,1.4295774647887318
106,55,109,O[C@H](c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,4.4,1.0,0.15,10.1039/D1QO00368B,ODH,1.727272727272727,3.133333333333332
107,55,108,O[C@@H](c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,7.6,1.0,0.15,10.1039/D1QO00368B,ODH,1.727272727272727,3.133333333333332
112,59,116,CC(C)c1cc(C(C)C)c(NC[C@H]2CCc3cccc(C)c3N2)c(c1)C(C)C,4.5,1.0,0.05,10.1002/anie.201909919,ODH,1.088888888888889,1.2500000000000002
113,59,115,CC(C)c1cc(C(C)C)c(NC[C@@H]2CCc3cccc(C)c3N2)c(c1)C(C)C,4.9,1.0,0.05,10.1002/anie.201909919,ODH,1.088888888888889,1.2500000000000002
116,61,120,CC1(C)COC(OC1)c2ccc(cc2)[C@@]3(C)CC(C)(C)CN3C(=S)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F,4.52,1.0,0.1,10.1002/anie.201501762,ODH,1.3495575221238938,1.975308641975309
117,61,119,CC1(C)COC(OC1)c2ccc(cc2)[C@]3(C)CC(C)(C)CN3C(=S)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F,6.1,1.0,0.1,10.1002/anie.201501762,ODH,1.3495575221238938,1.975308641975309
120,63,123,CCC(CC)(O[Si](C)(C)C(C)(C)C)C#Cc1cc(C)ccc1[S@@](=O)c2ccccn2,4.2,1.0,0.3,10.1021/acs.orglett.1c02918,ODH,1.0952380952380951,1.3076923076923073
121,63,124,CCC(CC)(O[Si](C)(C)C(C)(C)C)C#Cc1cc(C)ccc1[S@](=O)c2ccccn2,4.6,1.0,0.3,10.1021/acs.orglett.1c02918,ODH,1.0952380952380951,1.3076923076923073
122,64,126,C[C@@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4,4.61,1.0,0.1,10.1002/anie.201501762,ODH,2.1409978308026028,4.076023391812864
123,64,125,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4,9.87,1.0,0.1,10.1002/anie.201501762,ODH,2.1409978308026028,4.076023391812864
154,81,159,C[C@@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(cc4)c5ccccc5,4.95,1.0,0.1,10.1002/anie.201501762,ODH,1.3414141414141414,1.8243902439024384
155,81,158,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(cc4)c5ccccc5,6.64,1.0,0.1,10.1002/anie.201501762,ODH,1.3414141414141414,1.8243902439024384
172,90,177,C[C@@]1(CC2(CCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4,5.08,1.0,0.1,10.1002/anie.201501762,ODH,2.65748031496063,4.862385321100917
173,90,176,C[C@]1(CC2(CCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4,13.5,1.0,0.1,10.1002/anie.201501762,ODH,2.65748031496063,4.862385321100917
176,92,181,Oc1ccc(cc1)[S@@](=O)c2ccccn2,5.1,1.0,0.3,10.1021/acs.orglett.1c02918,ODH,1.5882352941176472,2.363636363636364
177,92,180,Oc1ccc(cc1)[S@](=O)c2ccccn2,8.1,1.0,0.3,10.1021/acs.orglett.1c02918,ODH,1.5882352941176472,2.363636363636364
182,96,188,C[C@@H]1CCc2cc(F)ccc2N1,5.2,1.0,0.1,10.1039/C4CY00418C,ODH,1.1346153846153846,1.3043478260869563
183,96,187,C[C@H]1CCc2cc(F)ccc2N1,5.9,1.0,0.1,10.1039/C4CY00418C,ODH,1.1346153846153846,1.3043478260869563
192,101,198,C=CCN[C@@H](\C=C\c1ccccc1)c2ccccc2,5.296,1.0,0.05,10.1039/C4CC03920C,ODH,1.0538141993957704,1.1189482470784642
193,101,197,C=CCN[C@H](\C=C\c1ccccc1)c2ccccc2,5.581,1.0,0.05,10.1039/C4CC03920C,ODH,1.0538141993957704,1.1189482470784642
196,103,202,CO[C@@H](NC(=O)c1ccccc1)c2cc(C)ccc2CCCC(F)(F)F,5.3,1.0,0.05,10.1002/anie.201405401,ODH,1.279245283018868,1.616666666666667
197,103,201,CO[C@H](NC(=O)c1ccccc1)c2cc(C)ccc2CCCC(F)(F)F,6.78,1.0,0.05,10.1002/anie.201405401,ODH,1.279245283018868,1.616666666666667
202,106,208,CC(C)(C)c1ccc(cc1)[S@@](=O)c2ccccn2,5.3,1.0,0.3,10.1021/acs.orglett.1c02918,ODH,1.1132075471698115,1.2500000000000002
203,106,207,CC(C)(C)c1ccc(cc1)[S@](=O)c2ccccn2,5.9,1.0,0.3,10.1021/acs.orglett.1c02918,ODH,1.1132075471698115,1.2500000000000002
206,108,212,CCCCC[C@H](CC=O)C(=O)OCC,5.3,1.0,0.02,10.1021/acs.orglett.9b04624,ODH,1.1320754716981132,1.2916666666666667
207,108,211,CCCCC[C@@H](CC=O)C(=O)OCC,6.0,1.0,0.02,10.1021/acs.orglett.9b04624,ODH,1.1320754716981132,1.2916666666666667
216,113,222,CC(C)c1cccc(C(C)C)c1NC[C@H]2CCc3cccc(Br)c3N2,5.4,1.0,0.01,10.1002/anie.201909919,ODH,1.111111111111111,1.2399999999999998
217,113,221,CC(C)c1cccc(C(C)C)c1NC[C@@H]2CCc3cccc(Br)c3N2,6.0,1.0,0.01,10.1002/anie.201909919,ODH,1.111111111111111,1.2399999999999998
226,118,231,C[C@H](C#N)c1ccc(cc1)C(C)(C)C,4.9,1.0,0.02,10.1002/anie.201906111,ODH,1.1020408163265305,1.25
