Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
180,95,186,CCOC(=O)[C@@](CNC(C)=O)(Sc1ccc(C)cc1)c2ccccc2,5.14,1.0,0.3,10.1021/ol901572x,OD,1.134241245136187,1.3080357142857144
181,95,185,CCOC(=O)[C@](CNC(C)=O)(Sc1ccc(C)cc1)c2ccccc2,5.83,1.0,0.3,10.1021/ol901572x,OD,1.134241245136187,1.3080357142857144
366,192,376,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,6.15,1.0,0.01,10.1021/jacs.7b08207,OD,1.11869918699187,1.2246153846153844
367,192,375,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,6.88,1.0,0.01,10.1021/jacs.7b08207,OD,1.11869918699187,1.2246153846153844
608,324,629,OCC(=C)[C@H](C#C)c1ccccc1,7.19,1.0,0.1,10.1021/jacs.7b08207,OD,1.1794158553546592,1.3006993006993004
609,324,628,OCC(=C)[C@@H](C#C)c1ccccc1,8.48,1.0,0.1,10.1021/jacs.7b08207,OD,1.1794158553546592,1.3006993006993004
724,389,752,Fc1ccc(cc1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,7.6,1.0,0.02,10.1021/jacs.7b08207,OD,1.0723684210526316,1.1170212765957448
725,389,751,Fc1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,8.15,1.0,0.02,10.1021/jacs.7b08207,OD,1.0723684210526316,1.1170212765957448
782,421,813,Clc1ccc(cc1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,7.82,1.0,0.02,10.1021/jacs.7b08207,OD,1.065217391304348,1.1036585365853655
783,421,812,Clc1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,8.33,1.0,0.02,10.1021/jacs.7b08207,OD,1.065217391304348,1.1036585365853655
892,487,934,FC(F)(F)c1ccc(cc1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,8.22,1.0,0.01,10.1021/jacs.7b08207,OD,1.097323600973236,1.1503759398496238
893,487,933,FC(F)(F)c1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,9.02,1.0,0.01,10.1021/jacs.7b08207,OD,1.097323600973236,1.1503759398496238
928,506,971,Brc1ccc(cc1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,8.33,1.0,0.02,10.1021/jacs.7b08207,OD,1.062424969987995,1.0957642725598526
929,506,970,Brc1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,8.85,1.0,0.02,10.1021/jacs.7b08207,OD,1.062424969987995,1.0957642725598526
1260,694,1324,C[C@@]1(CC(=C)COC1=O)c2ccccc2,8.33,1.0,0.2,10.1016/j.scib.2021.04.037,OD,1.1200480192076832,1.1841620626151013
1261,694,1325,C[C@]1(CC(=C)COC1=O)c2ccccc2,9.33,1.0,0.2,10.1016/j.scib.2021.04.037,OD,1.1200480192076832,1.1841620626151013
1382,764,1456,C=C([C@@H](Cc1ccccc1)C#C)C(=O)OCc2ccccc2,9.73,1.0,0.01,10.1021/jacs.7b08207,OD,1.0853031860226106,1.1215226939970715
1383,764,1455,C=C([C@H](Cc1ccccc1)C#C)C(=O)OCc2ccccc2,10.56,1.0,0.01,10.1021/jacs.7b08207,OD,1.0853031860226106,1.1215226939970715
1576,866,1655,Clc1ccc(cc1Cl)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,10.37,1.0,0.01,10.1021/jacs.7b08207,OD,1.1080038572806172,1.1499330655957165
1577,866,1654,Clc1ccc(cc1Cl)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,11.49,1.0,0.01,10.1021/jacs.7b08207,OD,1.1080038572806172,1.1499330655957165
