Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
286,149,293,CC(C)[C@@H](C(O)=O)c1ccc(cc1)C(C)C,5.7,0.8,0.03,10.1002/anie.202016705,OJ3,1.4912280701754386,2.349397590361445
287,149,292,CC(C)[C@H](C(O)=O)c1ccc(cc1)C(C)C,8.5,0.8,0.03,10.1002/anie.202016705,OJ3,1.4912280701754386,2.349397590361445
414,217,425,CN(C)C(=O)[C@@H](N)c1cc(C)cc(C)c1,6.38,1.0,0.05,10.1002/anie.202202552,OJ3,1.1050156739811912,1.192528735632184
415,217,424,CN(C)C(=O)[C@H](N)c1cc(C)cc(C)c1,7.05,1.0,0.05,10.1002/anie.202202552,OJ3,1.1050156739811912,1.192528735632184
864,470,903,C[C@@H](C(O)=O)c1ccc(cc1)C(F)(F)F,8.12,0.8,0.03,10.1021/acs.orglett.2c00852,OJ3,1.1908866995073892,1.3448275862068968
865,470,902,C[C@H](C(O)=O)c1ccc(cc1)C(F)(F)F,9.67,0.8,0.03,10.1021/acs.orglett.2c00852,OJ3,1.1908866995073892,1.3448275862068968
924,503,965,Cc1cccc(c1)C2=C[C@H](O)CCC2,7.4,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3,1.1216216216216215,1.23841059602649
925,503,966,Cc1cccc(c1)C2=C[C@@H](O)CCC2,8.3,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3,1.1216216216216215,1.23841059602649
1008,548,1053,CN(C)C(=O)[C@@H](N)c1cccc(C)c1,8.56,1.0,0.05,10.1002/anie.202202552,OJ3,1.0794392523364489,1.1201413427561835
1009,548,1052,CN(C)C(=O)[C@H](N)c1cccc(C)c1,9.24,1.0,0.05,10.1002/anie.202202552,OJ3,1.0794392523364489,1.1201413427561835
1066,581,1114,O[C@@H]1CCCC(=C1Br)C2CC2,7.4,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3,1.1756756756756754,1.344370860927152
1067,581,1115,O[C@H]1CCCC(=C1Br)C2CC2,8.7,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3,1.1756756756756754,1.344370860927152
1068,582,1117,C[C@H](Cc1ccccc1Br)C(O)=O,8.7,0.8,0.03,10.1038/s41467/020/17057/z,OJ3,1.057471264367816,1.0985221674876844
1069,582,1116,C[C@@H](Cc1ccccc1Br)C(O)=O,9.2,0.8,0.03,10.1038/s41467/020/17057/z,OJ3,1.057471264367816,1.0985221674876844
1104,603,1155,C[C@H]1CCc2ccc(OCCCCBr)cc2N1,7.1,0.5,0.35,10.1039/C8CC03586E,OJ3,1.23943661971831,2.307692307692309
1105,603,1156,C[C@@H]1CCc2ccc(OCCCCBr)cc2N1,8.8,0.5,0.35,10.1039/C8CC03586E,OJ3,1.23943661971831,2.307692307692309
