Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
84,43,86,O=C1N[C@@H](C2CCCCC2)c3ccccc3N1,4.2,1.0,0.2,10.1039/D1QO01598B,OJH,1.1666666666666667,1.5384615384615383
85,43,85,O=C1N[C@H](C2CCCCC2)c3ccccc3N1,4.9,1.0,0.2,10.1039/D1QO01598B,OJH,1.1666666666666667,1.5384615384615383
186,98,191,Cc1ccc(cc1)[S@](=O)c2ccc(cn2)C(F)(F)F,4.6,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.1304347826086958,1.3529411764705883
187,98,192,Cc1ccc(cc1)[S@@](=O)c2ccc(cn2)C(F)(F)F,5.2,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.1304347826086958,1.3529411764705883
232,121,238,FC(F)(F)c1ccc(cc1)[S@@](=O)c2ccccn2,5.5,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.1636363636363638,1.3461538461538465
233,121,237,FC(F)(F)c1ccc(cc1)[S@](=O)c2ccccn2,6.4,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.1636363636363638,1.3461538461538465
294,154,301,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(F)(F)F,4.6,1.0,0.1,10.1039/D1CC01690C,OJH,1.2608695652173914,1.7058823529411766
295,154,302,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(F)(F)F,5.8,1.0,0.1,10.1039/D1CC01690C,OJH,1.2608695652173914,1.7058823529411766
310,162,317,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(C)cc2,4.4,1.0,0.3,10.1039/D1CC01690C,OJH,1.3409090909090908,2.0
311,162,318,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(C)cc2,5.9,1.0,0.3,10.1039/D1CC01690C,OJH,1.3409090909090908,2.0
336,177,345,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(Br)cc2,4.6,1.0,0.3,10.1039/D1CC01690C,OJH,1.3043478260869563,1.8235294117647065
337,177,346,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(Br)cc2,6.0,1.0,0.3,10.1039/D1CC01690C,OJH,1.3043478260869563,1.8235294117647065
358,188,368,Cc1ccc(cc1)[S@@](=O)c2ccccn2,6.1,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.098360655737705,1.1875000000000002
359,188,367,Cc1ccc(cc1)[S@](=O)c2ccccn2,6.7,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.098360655737705,1.1875000000000002
376,198,387,Cc1ccc(cc1)[S@@](=O)c2ccccn2,6.2,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.0806451612903225,1.1515151515151516
377,198,386,Cc1ccc(cc1)[S@](=O)c2ccccn2,6.7,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.0806451612903225,1.1515151515151516
422,221,433,Cc1ccc(cc1)[S@@](=O)c2ccccn2,6.4,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.1093749999999998,1.1999999999999995
423,221,432,Cc1ccc(cc1)[S@](=O)c2ccccn2,7.1,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.1093749999999998,1.1999999999999995
478,250,489,C[C@H]1CCc2cccc(F)c2N1,6.2,0.8,0.05,10.1039/C8CC03586E,OJH,1.064516129032258,1.1553398058252424
479,250,490,C[C@@H]1CCc2cccc(F)c2N1,6.6,0.8,0.05,10.1039/C8CC03586E,OJH,1.064516129032258,1.1553398058252424
498,261,511,Cc1ccc(cc1)[S@@](=O)c2ccccn2,6.7,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.1044776119402986,1.1842105263157894
499,261,510,Cc1ccc(cc1)[S@](=O)c2ccccn2,7.4,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.1044776119402986,1.1842105263157894
510,267,523,C[C@H](O)c1cccnc1,6.7,1.0,0.1,10.1021/acscatal.0c04206,OJH,1.2835820895522387,1.4999999999999998
511,267,522,C[C@@H](O)c1cccnc1,8.6,1.0,0.1,10.1021/acscatal.0c04206,OJH,1.2835820895522387,1.4999999999999998
518,274,534,CCCCC[C@H]1CCc2ccccc2N1,6.8,1.0,0.1,10.1039/C4CY00418C,OJH,1.0882352941176472,1.153846153846154
519,274,533,CCCCC[C@@H]1CCc2ccccc2N1,7.4,1.0,0.1,10.1039/C4CY00418C,OJH,1.0882352941176472,1.153846153846154
626,333,647,C[C@H](O)c1ccc(C)cc1,7.2,1.0,0.1,10.1021/acscatal.0c04206,OJH,1.1111111111111112,1.1860465116279066
627,333,646,C[C@@H](O)c1ccc(C)cc1,8.0,1.0,0.1,10.1021/acscatal.0c04206,OJH,1.1111111111111112,1.1860465116279066
644,344,666,Clc1ccc(cc1)[S@](=O)c2ccccn2,6.8,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.0735294117647058,1.1282051282051284
645,344,667,Clc1ccc(cc1)[S@@](=O)c2ccccn2,7.3,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.0735294117647058,1.1282051282051284
680,367,707,FC(F)(F)C[C@]1(CC2(CCCC2)CO1)c3cccc(c3)C#Cc4ccccc4,5.88,1.0,0.1,10.1002/anie.201702925,OJH,1.2653061224489797,1.5234899328859064
681,367,708,FC(F)(F)C[C@@]1(CC2(CCCC2)CO1)c3cccc(c3)C#Cc4ccccc4,7.44,1.0,0.1,10.1002/anie.201702925,OJH,1.2653061224489797,1.5234899328859064
686,370,713,CCCC[C@H]1Nc2ccccc2NC1=O,6.6,1.0,0.2,10.1039/D1QO01598B,OJH,1.1363636363636365,1.2432432432432432
687,370,714,CCCC[C@@H]1Nc2ccccc2NC1=O,7.5,1.0,0.2,10.1039/D1QO01598B,OJH,1.1363636363636365,1.2432432432432432
716,385,743,O=C1Nc2ccccc2N[C@@H]1C3CCCCC3,6.3,1.0,0.2,10.1039/D1QO01598B,OJH,1.2063492063492065,1.3823529411764703
717,385,744,O=C1Nc2ccccc2N[C@H]1C3CCCCC3,7.6,1.0,0.2,10.1039/D1QO01598B,OJH,1.2063492063492065,1.3823529411764703
718,386,746,CCCC[C@H]1CCc2ccccc2N1,7.6,1.0,0.1,10.1039/C4CY00418C,OJH,1.144736842105263,1.2340425531914894
719,386,745,CCCC[C@@H]1CCc2ccccc2N1,8.7,1.0,0.1,10.1039/C4CY00418C,OJH,1.144736842105263,1.2340425531914894
772,416,803,O=[S@](c1ccccc1)c2ccccn2,7.8,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.051282051282051,1.081632653061224
773,416,802,O=[S@@](c1ccccc1)c2ccccn2,8.2,1.0,0.3,10.1021/acs.orglett.1c02918,OJH,1.051282051282051,1.081632653061224
876,478,917,COc1ccc2N[C@H](C)CCc2c1,8.2,1.0,0.1,10.1039/C4CY00418C,OJH,1.0975609756097562,1.1509433962264153
877,478,916,COc1ccc2N[C@@H](C)CCc2c1,9.0,1.0,0.1,10.1039/C4CY00418C,OJH,1.0975609756097562,1.1509433962264153
880,480,921,Fc1ccc(cc1)[S@@](=O)c2ccccn2,8.2,1.0,0.2,10.1021/acs.orglett.1c02918,OJH,1.1829268292682926,1.2830188679245285
881,480,920,Fc1ccc(cc1)[S@](=O)c2ccccn2,9.7,1.0,0.2,10.1021/acs.orglett.1c02918,OJH,1.1829268292682926,1.2830188679245285
