Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
82,42,84,CC(C)CC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,4.18,1.0,0.1,10.1039/C1SC00295C,OJ,2.0789473684210527,4.5234375
83,42,83,CC(C)CC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,8.69,1.0,0.1,10.1039/C1SC00295C,OJ,2.0789473684210527,4.5234375
96,50,99,CCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,4.27,1.0,0.2,10.1039/C1SC00295C,OJ,1.4426229508196724,2.3795620437956213
97,50,98,CCCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,6.16,1.0,0.2,10.1039/C1SC00295C,OJ,1.4426229508196724,2.3795620437956213
132,69,136,CCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,4.68,1.0,0.1,10.1039/C1SC00295C,OJ,1.2863247863247864,1.752808988764045
133,69,135,CCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,6.02,1.0,0.1,10.1039/C1SC00295C,OJ,1.2863247863247864,1.752808988764045
158,83,163,COCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,5.0,1.0,0.3,10.1039/C1SC00295C,OJ,1.512,2.219047619047619
159,83,162,COCCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,7.56,1.0,0.3,10.1039/C1SC00295C,OJ,1.512,2.219047619047619
270,141,277,COCOCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,5.69,1.0,0.3,10.1039/C1SC00295C,OJ,2.2231985940246046,3.494623655913978
271,141,276,COCOCCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,12.65,1.0,0.3,10.1039/C1SC00295C,OJ,2.2231985940246046,3.494623655913978
482,252,494,Cc1cccc(c1)C(=O)[C@](C)(CBr)c2cccc(C)c2,6.62,1.0,0.01,10.1039/C1SC00295C,OJ,1.095166163141994,1.1693548387096773
483,252,493,Cc1cccc(c1)C(=O)[C@@](C)(CBr)c2cccc(C)c2,7.25,1.0,0.01,10.1039/C1SC00295C,OJ,1.095166163141994,1.1693548387096773
650,347,673,CC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,7.31,1.0,0.01,10.1039/C1SC00295C,OJ,1.2517099863201095,1.417233560090703
651,347,672,CC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,9.15,1.0,0.01,10.1039/C1SC00295C,OJ,1.2517099863201095,1.417233560090703
794,431,828,OC1(CCCCC1)C[C@@H]2CCc3ccccc3N2,5.1,1.0,0.15,10.1002/adsc.200900870,OJ,1.5490196078431375,2.272727272727273
795,431,829,OC1(CCCCC1)C[C@H]2CCc3ccccc3N2,7.9,1.0,0.15,10.1002/adsc.200900870,OJ,1.5490196078431375,2.272727272727273
814,443,851,Cc1ccc(cc1)C(=O)[C@](C)(CBr)c2ccc(C)cc2,7.95,1.0,0.01,10.1039/C1SC00295C,OJ,1.1899371069182392,1.2990099009900988
815,443,850,Cc1ccc(cc1)C(=O)[C@@](C)(CBr)c2ccc(C)cc2,9.46,1.0,0.01,10.1039/C1SC00295C,OJ,1.1899371069182392,1.2990099009900988
1262,696,1328,C[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,9.34,1.0,0.01,10.1039/C1SC00295C,OJ,1.201284796573876,1.2919254658385095
1263,696,1327,C[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,11.22,1.0,0.01,10.1039/C1SC00295C,OJ,1.201284796573876,1.2919254658385095
1270,701,1337,CCCCCC[C@@H](C)c1[nH]c2cccc(F)c2c1,9.38,1.0,0.1,10.1021/jacs.1c08562,OJ,1.0383795309168442,1.0555555555555554
1271,701,1336,CCCCCC[C@H](C)c1[nH]c2cccc(F)c2c1,9.74,1.0,0.1,10.1021/jacs.1c08562,OJ,1.0383795309168442,1.0555555555555554
1450,799,1525,CCCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,9.99,1.0,0.005,10.1039/C1SC00295C,OJ,1.1661661661661662,1.2341325811001411
1451,799,1524,CCCCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,11.65,1.0,0.005,10.1039/C1SC00295C,OJ,1.1661661661661662,1.2341325811001411
3382,1832,3523,C[C@H](c1cn(Cc2ccccc2)nn1)[C](=[C]=[CH]Cc3ccccc3)C(=O)OCc4ccccc4,14.74,1.0,0.3,10.1021/jacs.7b08207,OJ,1.1085481682496607,1.135135135135135
