Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
710,382,738,CC(C)(C)NC(=O)c1ccccc1\C=C\C[C@H](C#Cc2ccccc2)c3ccccc3,7.53,0.8,0.2,10.1038/s41467/019/13705/1,OZ3,1.5179282868525896,1.9987195902688848
711,382,737,CC(C)(C)NC(=O)c1ccccc1\C=C\C[C@@H](C#Cc2ccccc2)c3ccccc3,11.43,0.8,0.2,10.1038/s41467/019/13705/1,OZ3,1.5179282868525896,1.9987195902688848
5400,2910,5611,C[S](=O)(=O)c1ccc(C[C@]2(CC3(CCCC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,30.8,0.7,0.15,10.6023/A18100413,OZ3,1.5519480519480515,1.6377277599142548
5401,2910,5610,C[S](=O)(=O)c1ccc(C[C@@]2(CC3(CCCC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,47.8,0.7,0.15,10.6023/A18100413,OZ3,1.5519480519480515,1.6377277599142548
6088,3273,6318,Cc1cccc(c1)[C@]2(Cc3ccc(cc3)[S](C)(=O)=O)CC(C)(C)CN2C(=O)Nc4cccc(Br)c4,50.5,0.7,0.15,10.6023/A18100413,OZ3,1.120792079207921,1.131587057010786
6089,3273,6317,Cc1cccc(c1)[C@@]2(Cc3ccc(cc3)[S](C)(=O)=O)CC(C)(C)CN2C(=O)Nc4cccc(Br)c4,56.6,0.7,0.15,10.6023/A18100413,OZ3,1.120792079207921,1.131587057010786
6154,3308,6386,C[S](=O)(=O)c1ccc(C[C@]2(CC3(CC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,55.4,0.7,0.15,10.6023/A18100413,OZ3,1.332129963898917,1.358974358974359
6155,3308,6385,C[S](=O)(=O)c1ccc(C[C@@]2(CC3(CC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,73.8,0.7,0.15,10.6023/A18100413,OZ3,1.332129963898917,1.358974358974359
6472,3487,6723,CCOC(=O)[C@H](CC(=O)C1CCCCC1)C(=C)C(C)=O,7.7,1.0,0.2,10.1002/anie.201508108,OZ3,1.3116883116883116,1.4999999999999996
6473,3487,6724,CCOC(=O)[C@@H](CC(=O)C1CCCCC1)C(=C)C(C)=O,10.1,1.0,0.2,10.1002/anie.201508108,OZ3,1.3116883116883116,1.4999999999999996
6656,3594,6922,CC(=O)C[C@@H](C(C)=O)C(=C)C(C)=O,8.1,1.0,0.2,10.1002/anie.201508108,OZ3,1.271604938271605,1.4230769230769234
6657,3594,6923,CC(=O)C[C@H](C(C)=O)C(=C)C(C)=O,10.3,1.0,0.2,10.1002/anie.201508108,OZ3,1.271604938271605,1.4230769230769234
7492,4126,7872,CC(=C)[C@@H]1CN(C(=C1)c2ccc(cc2)C(C)(C)C)[S](=O)(=O)c3ccc(C)cc3,8.91,0.8,0.1,10.1021/jacs.6b00386,OZ3,1.2536475869809205,1.4276253547776727
7493,4126,7873,CC(=C)[C@H]1CN(C(=C1)c2ccc(cc2)C(C)(C)C)[S](=O)(=O)c3ccc(C)cc3,11.17,0.8,0.1,10.1021/jacs.6b00386,OZ3,1.2536475869809205,1.4276253547776727
7500,4132,7883,CC(=C)[C@H](CN[S](=O)(=O)c1ccc(C)cc1)c2c(O)cc(c3ccccc3)c4ccccc24,11.19,0.8,0.2,10.1021/acs.orglett.7b01136,OZ3,1.5397676496872208,1.7984137475214808
7501,4132,7882,CC(=C)[C@@H](CN[S](=O)(=O)c1ccc(C)cc1)c2c(O)cc(c3ccccc3)c4ccccc24,17.23,0.8,0.2,10.1021/acs.orglett.7b01136,OZ3,1.5397676496872208,1.7984137475214808
7556,4165,7943,CC(=O)C(=C)[C@@H](CC(=O)c1ccccc1)C(=O)c2ccccc2,7.3,1.0,0.2,10.1002/anie.201508108,OZ3,1.5342465753424657,1.886363636363636
7557,4165,7944,CC(=O)C(=C)[C@H](CC(=O)c1ccccc1)C(=O)c2ccccc2,11.2,1.0,0.2,10.1002/anie.201508108,OZ3,1.5342465753424657,1.886363636363636
