Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
2,1,C=CCCCCCCC[C@@H](C[C@@]1(CCCC1=O)c2ccccc2)C=O,0.97,2.0,0.076923,10.1002/anie.202001100,AD3
57,29,C[C@@H]1N(Cc2ccccc2c3ccccc13)C(=O)OC(C)(C)C,3.5,0.3,0.02,10.1039/C8SC04482A,AD3
58,29,C[C@H]1N(Cc2ccccc2c3ccccc13)C(=O)OC(C)(C)C,3.9,0.3,0.02,10.1039/C8SC04482A,AD3
89,45,C[C@@H]1NC(=O)c2ccccc2c3ncccc13,5.1,0.5,0.2,10.1021/acs.orglett.0c02282,AD3
90,45,C[C@H]1NC(=O)c2ccccc2c3ncccc13,4.2,0.5,0.2,10.1021/acs.orglett.0c02282,AD3
91,46,C[C@@H]1NC(=O)c2ccccc2c3ccccc13,6.5,0.5,0.2,10.1021/acs.orglett.0c02282,AD3
92,46,C[C@H]1NC(=O)c2ccccc2c3ccccc13,4.2,0.5,0.2,10.1021/acs.orglett.0c02282,AD3
97,49,CC[C@@H]([C@@H](N)C(=O)N(C)C)c1ccccc1,5.09,1.0,0.15,10.1002/anie.202202552,AD3
112,57,C[C@@H]([C@@H](N)C(=O)N(C)C)c1ccccc1,5.12,1.0,0.15,10.1002/anie.202202552,AD3
141,72,CN(C)C(=O)[C@H](NC(=O)c1ccccc1)C(C)(C)C,4.07,1.0,0.2,10.1002/anie.202202552,AD3
142,72,CN(C)C(=O)[C@@H](NC(=O)c1ccccc1)C(C)(C)C,4.78,1.0,0.2,10.1002/anie.202202552,AD3
153,78,C[C@@H]([C@@H](N)C(=O)N(C)C)c1ccccc1C,5.79,1.0,0.1,10.1002/anie.202202552,AD3
219,112,CC1(C)OB(OC1(C)C)[C@@H](Cc2ccccc2)N3CCOC3=O,7.32,0.5,0.1,10.1039/C9SC04534A,AD3
220,112,CC1(C)OB(OC1(C)C)[C@H](Cc2ccccc2)N3CCOC3=O,5.35,0.5,0.1,10.1039/C9SC04534A,AD3
