Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
31,16,Cc1ccc(cc1)[C@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,4.32,1.0,0.1,10.1002/anie.201501762,ADH
32,16,Cc1ccc(cc1)[C@@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,3.46,1.0,0.1,10.1002/anie.201501762,ADH
45,23,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,6.4,1.0,0.1,10.1002/anie.201501762,ADH
46,23,C[C@@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,3.63,1.0,0.1,10.1002/anie.201501762,ADH
47,24,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@](C)(C1)c3ccccc3,4.62,1.0,0.1,10.1002/anie.201501762,ADH
48,24,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccccc3,3.67,1.0,0.1,10.1002/anie.201501762,ADH
55,28,CC(=O)c1ccc(cc1)[C@@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)NC(C)(C)c2ccccn2,4.2,1.0,0.3,10.1039/D1CC01690C,ADH
56,28,CC(=O)c1ccc(cc1)[C@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)NC(C)(C)c2ccccn2,3.9,1.0,0.3,10.1039/D1CC01690C,ADH
67,34,CO[C@H](NC(=O)c1sccc1)c2ccccc2CCCC(F)(F)F,4.46,1.0,0.1,10.1002/anie.201405401,ADH
68,34,CO[C@@H](NC(=O)c1sccc1)c2ccccc2CCCC(F)(F)F,4.02,1.0,0.1,10.1002/anie.201405401,ADH
77,39,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@](C)(C1)c3ccc(F)cc3,4.86,1.0,0.1,10.1002/anie.201501762,ADH
78,39,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccc(F)cc3,4.13,1.0,0.1,10.1002/anie.201501762,ADH
121,62,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(OC(F)(F)F)cc2,4.8,1.0,0.2,10.1039/D1CC01690C,ADH
122,62,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(OC(F)(F)F)cc2,4.6,1.0,0.2,10.1039/D1CC01690C,ADH
