Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
113,58,CC(C)(C)[Si](C)(C)OCC[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,4.91,1.0,0.1,10.1021/jacs.8b12095,AD
114,58,CC(C)(C)[Si](C)(C)OCC[C@@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,4.48,1.0,0.1,10.1021/jacs.8b12095,AD
294,150,CC1(C)CO[C@]([C@@H](F)C1)(C(=O)c2ccccc2)c3ccccc3,6.75,1.0,0.1,10.1002/chem.201202444,AD
378,194,Fc1cccc(c1)C(=O)[C@]2(OCCC[C@H]2Br)c3cccc(F)c3,7.34,1.0,0.1,10.1021/ja201794v,AD
379,194,Fc1cccc(c1)C(=O)[C@@]2(OCCC[C@H]2Br)c3cccc(F)c3,6.19,1.0,0.1,10.1021/ja201794v,AD
460,235,CCCC[C@@]1(C/C(COC1=O)=C/c2ccccc2)c3ccccc3,7.38,1.0,0.15,10.1016/j.scib.2021.04.037,AD
461,235,CCCC[C@]1(C/C(COC1=O)=C/c2ccccc2)c3ccccc3,6.5,1.0,0.15,10.1016/j.scib.2021.04.037,AD
527,270,CC1(C)CO[C@@]([C@H](F)C1)(C(=O)c2ccccc2)c3ccccc3,5.71,1.0,0.1,10.1002/chem.201202444,AD
580,298,CC(Br)[C@@](C)(c1ccccc1)C(=O)c2ccccc2,5.41,1.0,0.1,10.1039/C1SC00295C,AD
581,298,CC(Br)[C@](C)(c1ccccc1)C(=O)c2ccccc2,6.99,1.0,0.1,10.1039/C1SC00295C,AD
591,304,Cl[C@@H]1CCCO[C@@]1(C(=O)c2ccccc2)c3ccccc3,9.36,1.0,0.1,10.1021/ja201794v,AD
604,311,F[C@H]1CCCO[C@]1(C(=O)c2cccc(F)c2)c3cccc(F)c3,8.01,1.0,0.05,10.1002/chem.201202444,AD
605,311,F[C@@H]1CCCO[C@]1(C(=O)c2cccc(F)c2)c3cccc(F)c3,7.09,1.0,0.05,10.1002/chem.201202444,AD
618,318,F[C@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,9.33,1.0,0.1,10.1002/chem.201202444,AD
619,318,F[C@@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,7.12,1.0,0.1,10.1002/chem.201202444,AD
676,349,Fc1cccc(c1)C(=O)[C@@]2(OCCC[C@@H]2Br)c3cccc(F)c3,6.17,1.0,0.1,10.1021/ja201794v,AD
684,354,Br[C@@H]1CCCO[C@@]1(C(=O)c2ccccc2)c3ccccc3,9.63,1.0,0.1,10.1021/ja201794v,AD
695,361,F[C@H]1CCO[C@]1(C(=O)c2ccccc2)c3ccccc3,12.32,1.0,0.1,10.1002/chem.201202444,AD
696,361,F[C@@H]1CCO[C@]1(C(=O)c2ccccc2)c3ccccc3,7.4,1.0,0.1,10.1002/chem.201202444,AD
739,383,BrC[C@](CC1CCCCC1)(C(=O)c2ccccc2)c3ccccc3,6.91,1.0,0.01,10.1039/C1SC00295C,AD
740,383,BrC[C@@](CC1CCCCC1)(C(=O)c2ccccc2)c3ccccc3,7.53,1.0,0.01,10.1039/C1SC00295C,AD
761,394,C[C@@](CBr)(C(=O)c1ccc(Cl)cc1)c2ccc(Cl)cc2,6.29,1.0,0.1,10.1039/C1SC00295C,AD
762,394,C[C@](CBr)(C(=O)c1ccc(Cl)cc1)c2ccc(Cl)cc2,7.61,1.0,0.1,10.1039/C1SC00295C,AD
792,411,FC(F)(F)c1ccc(cc1)C(=O)[C@]2(OCCC[C@H]2Br)c3ccc(cc3)C(F)(F)F,9.14,1.0,0.1,10.1021/ja201794v,AD
793,411,FC(F)(F)c1ccc(cc1)C(=O)[C@@]2(OCCC[C@H]2Br)c3ccc(cc3)C(F)(F)F,7.78,1.0,0.1,10.1021/ja201794v,AD
823,428,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1cc(C)cc(C)c1)c2ccccc2,8.3,1.0,0.05,10.1021/ol901572x,AD
824,428,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1cc(C)cc(C)c1)c2ccccc2,7.88,1.0,0.05,10.1021/ol901572x,AD
856,446,F[C@@H]1CCCO[C@@]1(C(=O)c2cccc(F)c2)c3cccc(F)c3,7.09,1.0,0.05,10.1002/chem.201202444,AD
878,458,C[C@]1(CC(=C(COC1=O)c2ccccc2)c3ccccc3)c4ccccc4,11.48,1.0,0.1,10.1021/jacs.8b12095,AD
879,458,C[C@@]1(CC(=C(COC1=O)c2ccccc2)c3ccccc3)c4ccccc4,8.08,1.0,0.1,10.1021/jacs.8b12095,AD
928,484,CCOC(=O)C(F)(F)[C@]1(Cc2c(Br)cccc2C1=O)C(=O)OC34CC5CC(CC(C5)C3)C4,7.752,1.0,0.11,10.1021/acs.orglett.7b03826,AD
929,484,CCOC(=O)C(F)(F)[C@@]1(Cc2c(Br)cccc2C1=O)C(=O)OC34CC5CC(CC(C5)C3)C4,8.202,1.0,0.11,10.1021/acs.orglett.7b03826,AD
