Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
87,44,CC(C)(NC(=O)C[C@@H]1CCOc2ccc(Cl)cc12)c3ccccn3,5.0,1.0,0.3,10.1039/D1QO00302J,ASH
88,44,CC(C)(NC(=O)C[C@H]1CCOc2ccc(Cl)cc12)c3ccccn3,4.2,1.0,0.3,10.1039/D1QO00302J,ASH
102,52,CC(C)(NC(=O)C[C@@H]1CCOc2ccc(cc12)C(F)(F)F)c3ccccn3,5.3,1.0,0.2,10.1039/D1QO00302J,ASH
103,52,CC(C)(NC(=O)C[C@H]1CCOc2ccc(cc12)C(F)(F)F)c3ccccn3,4.3,1.0,0.2,10.1039/D1QO00302J,ASH
117,60,COc1cccc(c1)[C@@H](C)CC(=O)NC(C)(C)c2ccccn2,4.1,1.0,0.3,10.1039/D1CC01690C,ASH
118,60,COc1cccc(c1)[C@H](C)CC(=O)NC(C)(C)c2ccccn2,4.5,1.0,0.3,10.1039/D1CC01690C,ASH
225,115,CC(C)(NC(=O)C[C@@H]1CCNc2ccccc12)c3ccccn3,6.8,1.0,0.2,10.1039/D1QO00302J,ASH
226,115,CC(C)(NC(=O)C[C@H]1CCNc2ccccc12)c3ccccn3,5.4,1.0,0.2,10.1039/D1QO00302J,ASH
280,143,Cc1ccc2OCC[C@@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,9.3,1.0,0.2,10.1039/D1QO00302J,ASH
281,143,Cc1ccc2OCC[C@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,5.7,1.0,0.2,10.1039/D1QO00302J,ASH
328,168,C[C@H]1CC(C)(C)CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,9.07,1.0,0.1,10.1002/anie.201501762,ASH
329,168,C[C@@H]1CC(C)(C)CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,5.93,1.0,0.1,10.1002/anie.201501762,ASH
344,176,COC(=O)[C@H](NC(=O)[C@@H]1N=C(C[C@H]1c2ccccc2)c3ccccc3)C(C)(C)C,7.9,1.0,0.14,10.1002/anie.201906700,ASH
412,211,CCCCOC(=O)C[C@H]1Sc2ccccc2c3c1ccc4ccccc34,7.2,1.0,0.06,10.1002/anie.202115221,ASH
413,211,CCCCOC(=O)C[C@@H]1Sc2ccccc2c3c1ccc4ccccc34,6.3,1.0,0.06,10.1002/anie.202115221,ASH
452,231,CC(C)(C)[Si](C)(C)OCCC[C@H]1CC(=O)N1C(C)(C)c2ccccn2,4.9,1.2,0.2,10.1002/cjoc.201900533,ASH
453,231,CC(C)(C)[Si](C)(C)OCCC[C@@H]1CC(=O)N1C(C)(C)c2ccccn2,6.5,1.2,0.2,10.1002/cjoc.201900533,ASH
626,323,CCCC[C@@](C[N+]([O-])=O)(O/N=C/c1ccc(OC)cc1)C(=O)OCC,6.7,1.0,0.1,10.1021/ol102580n,ASH
627,323,CCCC[C@](C[N+]([O-])=O)(O/N=C/c1ccc(OC)cc1)C(=O)OCC,7.19,1.0,0.1,10.1021/ol102580n,ASH
783,406,CC1(C)OC(OC1(C)C)c2cccc(c2)[C@]3(CC(=NO3)c4ccccc4)CC(F)(F)F,6.53,0.8,0.1,10.1002/anie.201804315,ASH
784,406,CC1(C)OC(OC1(C)C)c2cccc(c2)[C@@]3(CC(=NO3)c4ccccc4)CC(F)(F)F,7.75,0.8,0.1,10.1002/anie.201804315,ASH
852,444,CC1(C)CN2C(=O)N(c3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4[C@]2(C)C1,11.32,0.5,0.05,10.1002/anie.201501762,ASH
853,444,CC1(C)CN2C(=O)N(c3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4[C@@]2(C)C1,7.96,0.5,0.05,10.1002/anie.201501762,ASH
868,453,FC(F)(F)C[C@@]1(CC(=NO1)c2cccc(c2)C(F)(F)F)c3ccccc3,6.81,0.8,0.1,10.1002/anie.201804315,ASH
869,453,FC(F)(F)C[C@]1(CC(=NO1)c2cccc(c2)C(F)(F)F)c3ccccc3,8.02,0.8,0.1,10.1002/anie.201804315,ASH
