Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
331,169,C[C@H](C#N)c1cccc2ccccc12,5.94,0.5,0.05,10.1002/cjoc.202000309,AS
497,254,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc(cc1)C(C)(C)C)c2ccccc2,7.61,1.0,0.05,10.1021/ol901572x,AS
498,254,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc(cc1)C(C)(C)C)c2ccccc2,6.64,1.0,0.05,10.1021/ol901572x,AS
709,368,Cc1cccc(c1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,6.79,1.0,0.01,10.1021/jacs.7b08207,AS
710,368,Cc1cccc(c1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,7.44,1.0,0.01,10.1021/jacs.7b08207,AS
914,477,N#C[C@@H]1CCCc2ccccc12,6.94,0.5,0.05,10.1002/cjoc.202000309,AS
915,477,N#C[C@H]1CCCc2ccccc12,8.18,0.5,0.05,10.1002/cjoc.202000309,AS
1014,529,CC[C@@H](C#N)c1ccccc1,7.04,0.5,0.05,10.1002/cjoc.202000309,AS
1015,529,CC[C@H](C#N)c1ccccc1,8.45,0.5,0.05,10.1002/cjoc.202000309,AS
1018,531,C[C@@H](C#N)c1ccccc1C,6.84,0.5,0.05,10.1002/cjoc.202000309,AS
1019,531,C[C@H](C#N)c1ccccc1C,8.47,0.5,0.05,10.1002/cjoc.202000309,AS
1044,544,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3ccc(cc3)C(F)(F)F)c4ccccc4)cc1,14.4,1.0,0.3,10.1002/anie.202005313,AS
1045,544,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccc(cc3)C(F)(F)F)c4ccccc4)cc1,8.52,1.0,0.3,10.1002/anie.202005313,AS
1265,662,C[C@@H](C#N)c1ccc(cc1)c2ccccc2,10.65,0.5,0.05,10.1002/cjoc.202000309,AS
1266,662,C[C@H](C#N)c1ccc(cc1)c2ccccc2,9.17,0.5,0.05,10.1002/cjoc.202000309,AS
1334,700,CC[C@H](C#N)C#Cc1ccc(C)cc1,9.94,0.5,0.15,10.1021/jacs.9b02338,AS
1335,700,CC[C@@H](C#N)C#Cc1ccc(C)cc1,9.35,0.5,0.15,10.1021/jacs.9b02338,AS
1338,702,C[C@@H](C#N)c1ccc(Br)cc1,9.76,0.5,0.05,10.1002/cjoc.202000309,AS
1339,702,C[C@H](C#N)c1ccc(Br)cc1,9.39,0.5,0.05,10.1002/cjoc.202000309,AS
1441,757,CCCC[C@@]1(C\C=C(/CCN(Cc2ccc(OC)cc2)C(=O)OC1=O)c3ccccc3)c4ccccc4,11.92,1.0,0.3,10.1002/anie.202005313,AS
1442,757,CCCC[C@]1(C\C=C(/CCN(Cc2ccc(OC)cc2)C(=O)OC1=O)c3ccccc3)c4ccccc4,9.69,1.0,0.3,10.1002/anie.202005313,AS
1457,765,C[C@]1(CO)COc2ccccc2O1,11.641,1.0,0.05,10.1039/C8QO00805A,AS
1458,765,C[C@@]1(CO)COc2ccccc2O1,9.76,1.0,0.05,10.1039/C8QO00805A,AS
1488,781,Cc1ccccc1\C=C2/COC(=O)[C@](C)(C2)c3ccccc3,10.91,1.0,0.15,10.1016/j.scib.2021.04.037,AS
1489,781,Cc1ccccc1\C=C2/COC(=O)[C@@](C)(C2)c3ccccc3,9.87,1.0,0.15,10.1016/j.scib.2021.04.037,AS
1490,782,COc1ccc(cc1)\C=C\2COC(=O)[C@](C)(C2)c3ccccc3,10.91,1.0,0.15,10.1016/j.scib.2021.04.037,AS
1491,782,COc1ccc(cc1)\C=C\2COC(=O)[C@@](C)(C2)c3ccccc3,9.87,1.0,0.15,10.1016/j.scib.2021.04.037,AS
1522,798,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc(C)cc1)c2ccccc2,10.85,1.0,0.05,10.1021/ol901572x,AS
1523,798,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc(C)cc1)c2ccccc2,9.98,1.0,0.05,10.1021/ol901572x,AS
1550,812,CCCCCOc1ccc(cc1)C#C[C@H](CC)C#N,12.14,0.5,0.15,10.1021/jacs.9b02338,AS
1551,812,CCCCCOc1ccc(cc1)C#C[C@@H](CC)C#N,10.09,0.5,0.15,10.1021/jacs.9b02338,AS
1610,843,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3ccc(C)cc3)c4ccccc4)cc1,10.46,1.0,0.3,10.1002/anie.202005313,AS
1611,843,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccc(C)cc3)c4ccccc4)cc1,10.23,1.0,0.3,10.1002/anie.202005313,AS
1612,844,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc(C)cc1)c2ccccc2,11.3,1.0,0.05,10.1021/ol901572x,AS
1613,844,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc(C)cc1)c2ccccc2,10.23,1.0,0.05,10.1021/ol901572x,AS
1614,845,C[C@@H](C#N)c1ccc(Oc2ccccc2)cc1,11.33,0.5,0.05,10.1002/cjoc.202000309,AS
1615,845,C[C@H](C#N)c1ccc(Oc2ccccc2)cc1,10.25,0.5,0.05,10.1002/cjoc.202000309,AS
1791,938,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3ccc(Cl)cc3)c4ccccc4)cc1,14.67,1.0,0.3,10.1002/anie.202005313,AS
1792,938,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccc(Cl)cc3)c4ccccc4)cc1,10.74,1.0,0.3,10.1002/anie.202005313,AS
1868,977,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3cccc(Cl)c3)c4ccccc4)cc1,13.24,1.0,0.3,10.1002/anie.202005313,AS
