Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
147,75,CC(C)(C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1)C(F)(F)F,4.35,1.0,0.3,10.1002/anie.202110084,AZ
148,75,CC(C)(C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1)C(F)(F)F,4.87,1.0,0.3,10.1002/anie.202110084,AZ
235,120,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cccc(c1)C(F)(F)F,4.18,1.0,0.3,10.1002/anie.202110084,AZ
236,120,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1cccc(c1)C(F)(F)F,5.49,1.0,0.3,10.1002/anie.202110084,AZ
303,155,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1ccccc1Cl,5.0,1.0,0.3,10.1021/jacs.1c06535,AZ
304,155,CC(C)(C)C(=O)O[C@@H](CCCC#N)\C=C\c1ccccc1Cl,5.8,1.0,0.3,10.1021/jacs.1c06535,AZ
353,181,CC(C)(C)CC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,5.14,1.0,0.3,10.1002/anie.202110084,AZ
354,181,CC(C)(C)CC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,6.03,1.0,0.3,10.1002/anie.202110084,AZ
392,201,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,5.12,1.0,0.2,10.1002/anie.202110084,AZ
393,201,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,6.21,1.0,0.2,10.1002/anie.202110084,AZ
396,203,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1cccc(F)c1,4.81,1.0,0.3,10.1021/jacs.1c06535,AZ
397,203,CC(C)(C)C(=O)O[C@@H](CCCC#N)\C=C\c1cccc(F)c1,6.24,1.0,0.3,10.1021/jacs.1c06535,AZ
444,227,CCC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,5.05,1.0,0.3,10.1002/anie.202110084,AZ
445,227,CCC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,6.43,1.0,0.3,10.1002/anie.202110084,AZ
499,255,CC(C)[C@H](C#C)C(=C)C(=O)OCc1ccccc1,5.49,1.0,0.01,10.1021/jacs.7b08207,AZ
500,255,CC(C)[C@@H](C#C)C(=C)C(=O)OCc1ccccc1,6.64,1.0,0.01,10.1021/jacs.7b08207,AZ
528,271,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1cscc1,5.36,1.0,0.3,10.1021/jacs.1c06535,AZ
529,271,CC(C)(C)C(=O)O[C@@H](CCCC#N)\C=C\c1cscc1,6.76,1.0,0.3,10.1021/jacs.1c06535,AZ
530,272,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cscc1,5.47,1.0,0.3,10.1002/anie.202110084,AZ
531,272,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1cscc1,6.77,1.0,0.3,10.1002/anie.202110084,AZ
568,292,CC1(CCCCC1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,5.38,1.0,0.3,10.1002/anie.202110084,AZ
569,292,CC1(CCCCC1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,6.93,1.0,0.3,10.1002/anie.202110084,AZ
574,295,CC(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,5.81,1.0,0.3,10.1002/anie.202110084,AZ
575,295,CC(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,6.96,1.0,0.3,10.1002/anie.202110084,AZ
677,350,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cccc(Cl)c1,5.27,1.0,0.3,10.1002/anie.202110084,AZ
678,350,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1cccc(Cl)c1,7.34,1.0,0.3,10.1002/anie.202110084,AZ
832,433,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.21,1.0,0.2,10.1021/jacs.1c06535,AZ
833,433,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,7.9,1.0,0.2,10.1021/jacs.1c06535,AZ
834,434,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cocc1,6.22,1.0,0.2,10.1002/anie.202110084,AZ
835,434,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1cocc1,7.9,1.0,0.2,10.1002/anie.202110084,AZ
846,440,COc1cccc(/C=C/[C@@H](CCCC#N)OC(=O)C(C)(C)C)c1,6.23,1.0,0.3,10.1021/jacs.1c06535,AZ
847,440,COc1cccc(/C=C/[C@H](CCCC#N)OC(=O)C(C)(C)C)c1,7.93,1.0,0.3,10.1021/jacs.1c06535,AZ
854,445,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1Br,6.88,1.0,0.2,10.1002/anie.202110084,AZ
855,445,CC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1Br,7.96,1.0,0.2,10.1002/anie.202110084,AZ
870,454,C=CCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.56,1.0,0.3,10.1002/anie.202110084,AZ
871,454,C=CCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.03,1.0,0.3,10.1002/anie.202110084,AZ
880,459,CCCCCCCCC/C=C/CCCCCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.17,1.0,0.1,10.1002/anie.202110084,AZ
881,459,CCCCCCCCC/C=C/CCCCCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.09,1.0,0.1,10.1002/anie.202110084,AZ
900,469,CCCCCCCC/C=C/CCCCCCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.19,1.0,0.1,10.1021/jacs.1c06535,AZ
901,469,CCCCCCCC/C=C/CCCCCCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.11,1.0,0.1,10.1021/jacs.1c06535,AZ
906,472,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C2CCCC2,6.46,1.0,0.3,10.1002/anie.202110084,AZ
907,472,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C2CCCC2,8.17,1.0,0.3,10.1002/anie.202110084,AZ
908,473,C=CCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.65,1.0,0.3,10.1021/jacs.1c06535,AZ
909,473,C=CCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.17,1.0,0.3,10.1021/jacs.1c06535,AZ
935,488,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C2CCC2,6.75,1.0,0.3,10.1002/anie.202110084,AZ
936,488,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C2CCC2,8.23,1.0,0.3,10.1002/anie.202110084,AZ
977,509,CC1(CC1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,8.34,1.0,0.3,10.1002/anie.202110084,AZ
1010,527,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C2CCCCC2,6.46,1.0,0.3,10.1002/anie.202110084,AZ
1011,527,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C2CCCCC2,8.44,1.0,0.3,10.1002/anie.202110084,AZ
1083,564,CCCCC[C@@H](C#N)c1ccccc1,9.35,0.5,0.05,10.1002/cjoc.202000309,AZ
1084,564,CCCCC[C@H](C#N)c1ccccc1,8.64,0.5,0.05,10.1002/cjoc.202000309,AZ
1085,565,O=C(CCC1CCCCC1)O[C@H](CCCCC#N)\C=C\c2ccccc2,6.44,1.0,0.3,10.1002/anie.202110084,AZ
1086,565,O=C(CCC1CCCCC1)O[C@@H](CCCCC#N)\C=C\c2ccccc2,8.65,1.0,0.3,10.1002/anie.202110084,AZ
1090,568,CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(=O)O[C@H](CCCCC#N)\C=C\c3ccccc3,6.18,1.0,0.3,10.1021/jacs.1c06535,AZ
1091,568,CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(=O)O[C@@H](CCCCC#N)\C=C\c3ccccc3,8.66,1.0,0.3,10.1021/jacs.1c06535,AZ
1125,588,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2)c1,6.22,1.0,0.2,10.1002/anie.202110084,AZ
1126,588,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2)c1,8.72,1.0,0.2,10.1002/anie.202110084,AZ
1131,591,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2)c1,6.22,1.0,0.3,10.1021/jacs.1c06535,AZ
1132,591,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2)c1,8.76,1.0,0.3,10.1021/jacs.1c06535,AZ
1194,624,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1ccc2ccccc2c1,6.09,1.0,0.3,10.1021/jacs.1c06535,AZ
1195,624,CC(C)(C)C(=O)O[C@@H](CCCC#N)\C=C\c1ccc2ccccc2c1,8.93,1.0,0.3,10.1021/jacs.1c06535,AZ
1196,625,CCCCC/C=C\C\C=C/CCCCCCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.7,1.0,0.1,10.1002/anie.202110084,AZ
1197,625,CCCCC/C=C\C\C=C/CCCCCCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.93,1.0,0.1,10.1002/anie.202110084,AZ
1198,626,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.71,1.0,0.1,10.1002/anie.202110084,AZ
1199,626,CCCCCCCCCCCCCCCCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.93,1.0,0.1,10.1002/anie.202110084,AZ
1201,628,FC1(F)CCC(CC1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,7.35,1.0,0.3,10.1002/anie.202110084,AZ
1202,628,FC1(F)CCC(CC1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,8.94,1.0,0.3,10.1002/anie.202110084,AZ
1209,632,CCCCC/C=C\C\C=C/CCCCCCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,6.79,1.0,0.1,10.1021/jacs.1c06535,AZ
1210,632,CCCCC/C=C\C\C=C/CCCCCCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,8.96,1.0,0.1,10.1021/jacs.1c06535,AZ
1406,737,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C2(CC2)c3ccccc3,7.18,1.0,0.3,10.1002/anie.202110084,AZ
1407,737,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C2(CC2)c3ccccc3,9.55,1.0,0.3,10.1002/anie.202110084,AZ
1486,780,Cc1ccc(/C=C/[C@@H](CCCC#N)OC(=O)C(C)(C)C)cc1,7.65,1.0,0.1,10.1021/jacs.1c06535,AZ
1487,780,Cc1ccc(/C=C/[C@H](CCCC#N)OC(=O)C(C)(C)C)cc1,9.86,1.0,0.1,10.1021/jacs.1c06535,AZ
1544,809,CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(=O)O[C@H](CCCCC#N)\C=C\c3ccccc3,7.52,1.0,0.3,10.1002/anie.202110084,AZ
1545,809,CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(=O)O[C@@H](CCCCC#N)\C=C\c3ccccc3,10.03,1.0,0.3,10.1002/anie.202110084,AZ
1789,937,O=C(CCCC#C)O[C@H](CCCCC#N)\C=C\c1ccccc1,8.11,1.0,0.3,10.1002/anie.202110084,AZ
1790,937,O=C(CCCC#C)O[C@@H](CCCCC#N)\C=C\c1ccccc1,10.73,1.0,0.3,10.1002/anie.202110084,AZ
1892,989,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1ccccc1,7.96,1.0,0.1,10.1021/jacs.1c06535,AZ
1893,989,CC(C)(C)C(=O)O[C@@H](CCCC#N)\C=C\c1ccccc1,11.01,1.0,0.1,10.1021/jacs.1c06535,AZ
1955,1021,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C2CCCCC2,8.2,1.0,0.2,10.1021/jacs.1c06535,AZ
1956,1021,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C2CCCCC2,11.16,1.0,0.2,10.1021/jacs.1c06535,AZ
1961,1024,Cc1ccccc1C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,8.25,1.0,0.3,10.1021/jacs.1c06535,AZ
1962,1024,Cc1ccccc1C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,11.18,1.0,0.3,10.1021/jacs.1c06535,AZ
1983,1035,Fc1ccc(cc1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,9.17,1.0,0.3,10.1002/anie.202110084,AZ
1984,1035,Fc1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,11.21,1.0,0.3,10.1002/anie.202110084,AZ
1985,1036,CC(C)(C[C@H](C#N)c1ccc(cc1)c2ccccc2)C(=O)C(C)(C)C#N,13.42,1.0,0.2,10.1038/s41467/021/22127/x,AZ
1986,1036,CC(C)(C[C@@H](C#N)c1ccc(cc1)c2ccccc2)C(=O)C(C)(C)C#N,11.21,1.0,0.2,10.1038/s41467/021/22127/x,AZ
2102,1097,Cc1ccc(cc1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2C,10.49,1.0,0.3,10.1021/jacs.1c06535,AZ
2103,1097,Cc1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2C,11.62,1.0,0.3,10.1021/jacs.1c06535,AZ
2282,1191,COCCCC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,9.84,1.0,0.3,10.1002/anie.202110084,AZ
2283,1191,COCCCC(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,12.13,1.0,0.3,10.1002/anie.202110084,AZ
2320,1211,Clc1cccc(Cl)c1Nc2ccccc2CC(=O)O[C@H](CCCCC#N)\C=C\c3ccccc3,9.24,1.0,0.3,10.1021/jacs.1c06535,AZ
2321,1211,Clc1cccc(Cl)c1Nc2ccccc2CC(=O)O[C@@H](CCCCC#N)\C=C\c3ccccc3,12.25,1.0,0.3,10.1021/jacs.1c06535,AZ
2526,1318,Cc1ccc(cc1)C(=O)O[C@H](CC(C)(C)CC(C)(C)C#N)\C=C\c2ccccc2,9.58,1.0,0.2,10.1021/jacs.1c06535,AZ
2527,1318,Cc1ccc(cc1)C(=O)O[C@@H](CC(C)(C)CC(C)(C)C#N)\C=C\c2ccccc2,12.94,1.0,0.2,10.1021/jacs.1c06535,AZ
2549,1330,Clc1ccc(cc1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,10.34,1.0,0.3,10.1002/anie.202110084,AZ
2550,1330,Clc1ccc(cc1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,13.02,1.0,0.3,10.1002/anie.202110084,AZ
2598,1355,CC(C)(O)C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,11.67,1.0,0.3,10.1002/anie.202110084,AZ
2599,1355,CC(C)(O)C(=O)O[C@@H](CCCCC#N)\C=C\c1ccccc1,13.24,1.0,0.3,10.1002/anie.202110084,AZ
2603,1358,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)C23CC4CC(CC(C4)C2)C3,8.65,1.0,0.2,10.1021/jacs.1c06535,AZ
2604,1358,O=C(O[C@@H](CCCCC#N)\C=C\c1ccccc1)C23CC4CC(CC(C4)C2)C3,13.28,1.0,0.2,10.1021/jacs.1c06535,AZ
2655,1384,Cc1cccc(c1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,10.02,1.0,0.3,10.1002/anie.202110084,AZ
2656,1384,Cc1cccc(c1)C(=O)O[C@@H](CCCCC#N)\C=C\c2ccccc2,13.44,1.0,0.3,10.1002/anie.202110084,AZ
