Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
836,435,CCOC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(C)cc4,8.6,1.0,0.5,10.1039/C6QO00018E,IAH
837,435,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(C)cc4,7.9,1.0,0.5,10.1039/C6QO00018E,IAH
1245,651,CCOC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(OC)cc4,10.1,1.0,0.5,10.1039/C6QO00018E,IAH
1246,651,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(OC)cc4,9.1,1.0,0.5,10.1039/C6QO00018E,IAH
1285,672,CCOC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(Br)cc4,10.2,1.0,0.5,10.1039/C6QO00018E,IAH
1286,672,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccc(Br)cc4,9.2,1.0,0.5,10.1039/C6QO00018E,IAH
3418,1779,O=C1N[C@H](C2CCCC2)c3ccccc3N1,17.7,1.0,0.1,10.1039/D1QO01598B,IAH
3419,1779,O=C1N[C@@H](C2CCCC2)c3ccccc3N1,15.9,1.0,0.1,10.1039/D1QO01598B,IAH
7162,3730,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc(C)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,9.07,1.0,0.3,10.1021/ol200652j,IAH
7163,3730,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc(C)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,10.54,1.0,0.3,10.1021/ol200652j,IAH
7492,3912,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc(F)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,9.13,1.0,0.3,10.1021/ol200652j,IAH
7493,3912,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc(F)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,10.87,1.0,0.3,10.1021/ol200652j,IAH
7750,4059,COC(=O)c1ccc(cc1)[C@@H]2C[C@H](NC(=O)OCc3ccccc3)c4cccc5CC[C@@H](N2c45)c6ccccc6,7.69,1.0,0.3,10.1021/ol1006086,IAH
7936,4161,C[C@H]1C=C[C@@H](C)N(N1C(=O)Nc2ccc(Cl)cc2)C(=O)OC(C)(C)C,5.3,1.0,0.1,10.1021/ja3110472,IAH
8316,4375,O=C(O[C@H]1C[C@@H](C2=CC=CC([N+]([O-])=O)=C2)N3C4=C1C=CC=C4CC[C@@H]3C5=CC=CC=C5)NCC6=CC=CC=C6,7.22,1.0,0.3,10.1021/ol1006086,IAH
8328,4382,O=C(O[C@H]1C[C@@H](C2=CC=C([N+]([O-])=O)C=C2)N3C4=C1C=CC=C4CC[C@@H]3C5=CC=CC=C5)NCC6=CC=CC=C6,7.56,1.0,0.3,10.1021/ol1006086,IAH
8666,4566,CCC(COC(=O)[C@H](NC(=O)c1ccc(cc1)C(C)(C)C)c2ccc(F)cc2)(c3ccccc3)c4ccccc4,13.3,1.0,0.3,10.1055/s/0030/1259711,IAH
8667,4566,CCC(COC(=O)[C@@H](NC(=O)c1ccc(cc1)C(C)(C)C)c2ccc(F)cc2)(c3ccccc3)c4ccccc4,11.86,1.0,0.3,10.1055/s/0030/1259711,IAH
8670,4568,O=C(O[C@H]1C[C@@H](C2=CC=C(Br)C=C2)N3C4=C1C=C(Cl)C=C4CC[C@@H]3C5=CC=CC=C5)NCC6=CC=CC=C6,10.94,1.0,0.1,10.1021/ol1006086,IAH
10788,5727,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc3ccccc3c2)(C(=O)OC)c4ccccc4[N+]([O-])=O)C(=O)OCC,15.36,1.0,0.15,10.1021/ol200652j,IAH
10789,5727,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc3ccccc3c2)(C(=O)OC)c4ccccc4[N+]([O-])=O)C(=O)OCC,14.1,1.0,0.15,10.1021/ol200652j,IAH
11256,5983,Cc1ccccc1[S](=O)(=O)N2[C@@H](C=C)c3ccccc3N(Cc4ccccc4)C2=O,18.89,1.0,0.15,10.1002/ange.201709681,IAH
11257,5983,Cc1ccccc1[S](=O)(=O)N2[C@H](C=C)c3ccccc3N(Cc4ccccc4)C2=O,14.62,1.0,0.15,10.1002/ange.201709681,IAH
11484,6111,CC1=CC=C([C@H](P(OC(C)C)(OC(C)C)=O)NS(=O)(C2=CC=C(C)C=C2)=O)C=C1,24.2,0.7,0.35,10.1016/j.tetlet.2018.06.037,IAH
11485,6111,CC1=CC=C([C@@H](P(OC(C)C)(OC(C)C)=O)NS(=O)(C2=CC=C(C)C=C2)=O)C=C1,14.9,0.7,0.35,10.1016/j.tetlet.2018.06.037,IAH
12020,6401,O=C(O[C@H]1C[C@@H](CCC2=CC=CC=C2)N3C4=C1C=CC=C4CC[C@H]3C5=CC=CC=C5)NCC6=CC=CC=C6,14.1,1.0,0.03,10.1021/ol1006086,IAH
12225,6516,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc(OC)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,10.64,1.0,0.3,10.1021/ol200652j,IAH
12226,6516,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc(OC)cc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,15.86,1.0,0.3,10.1021/ol200652j,IAH
12539,6685,O=S(N[C@@H](P(OC(C)C)(OC(C)C)=O)C1=CC=C(F)C=C1)(C2=CC=C(C)C=C2)=O,25.1,0.7,0.35,10.1016/j.tetlet.2018.06.037,IAH
12540,6685,O=S(N[C@H](P(OC(C)C)(OC(C)C)=O)C1=CC=C(F)C=C1)(C2=CC=C(C)C=C2)=O,16.2,0.7,0.35,10.1016/j.tetlet.2018.06.037,IAH
12752,6801,CCOC(=O)C1(C[C@]([C@H](N1)c2cccc(Cl)c2Cl)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,14.76,1.0,0.15,10.1021/ol200652j,IAH
12753,6801,CCOC(=O)C1(C[C@@]([C@H](N1)c2cccc(Cl)c2Cl)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,16.51,1.0,0.15,10.1021/ol200652j,IAH
12937,6902,CC(C)(C)OC(=O)N1[C@@H](CCc2ccccc2)C=CCN1C(=O)Nc3ccc(Cl)cc3,20.4,1.0,0.1,10.1021/ol503047s,IAH
12938,6902,CC(C)(C)OC(=O)N1[C@H](CCc2ccccc2)C=CCN1C(=O)Nc3ccc(Cl)cc3,16.8,1.0,0.1,10.1021/ol503047s,IAH
13051,6964,CCC(COC(=O)[C@H](NC(=O)c1ccc(cc1)C(C)(C)C)c2cccc(Cl)c2)(c3ccccc3)c4ccccc4,14.75,1.0,0.15,10.1055/s/0030/1259711,IAH
13052,6964,CCC(COC(=O)[C@@H](NC(=O)c1ccc(cc1)C(C)(C)C)c2cccc(Cl)c2)(c3ccccc3)c4ccccc4,16.94,1.0,0.15,10.1055/s/0030/1259711,IAH
13407,7154,CCOC(=O)C1(C[C@]([C@H](N1)C2CCCCC2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,13.5,1.0,0.05,10.1021/ol200652j,IAH
13408,7154,CCOC(=O)C1(C[C@@]([C@H](N1)C2CCCCC2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,17.42,1.0,0.05,10.1021/ol200652j,IAH
13423,7162,CCOC(=O)C1(C[C@]([C@H](N1)c2cccc(Cl)c2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,14.09,1.0,0.15,10.1021/ol200652j,IAH
13424,7162,CCOC(=O)C1(C[C@@]([C@H](N1)c2cccc(Cl)c2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,17.48,1.0,0.15,10.1021/ol200652j,IAH
14835,7938,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc(cc2)C(F)(F)F)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,16.2,1.0,0.15,10.1021/ol200652j,IAH
14836,7938,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc(cc2)C(F)(F)F)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,19.74,1.0,0.15,10.1021/ol200652j,IAH
14892,7967,O=S(N[C@@H](P(OC(C)C)(OC(C)C)=O)C1=CC=C(Cl)C=C1)(C2=CC=C(C)C=C2)=O,30.6,0.7,0.35,10.1016/j.tetlet.2018.06.037,IAH
14893,7967,O=S(N[C@H](P(OC(C)C)(OC(C)C)=O)C1=CC=C(Cl)C=C1)(C2=CC=C(C)C=C2)=O,19.8,0.7,0.35,10.1016/j.tetlet.2018.06.037,IAH
15448,8279,CCOC(=O)C1(C[C@]([C@H](N1)c2ccc(cc2)C#N)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,23.23,1.0,0.3,10.1021/ol200652j,IAH
15449,8279,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccc(cc2)C#N)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,20.98,1.0,0.3,10.1021/ol200652j,IAH
15495,8304,O=S(N[C@@H](P(OC(C)C)(OC(C)C)=O)C1=CC=C(Br)C=C1)(C2=CC=C(C)C=C2)=O,34.4,0.7,0.35,10.1016/j.tetlet.2018.06.037,IAH
15496,8304,O=S(N[C@H](P(OC(C)C)(OC(C)C)=O)C1=CC=C(Br)C=C1)(C2=CC=C(C)C=C2)=O,21.0,0.7,0.35,10.1016/j.tetlet.2018.06.037,IAH
15948,8553,CCOC(=O)C1(C[C@]([C@H](N1)c2ccccc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,13.28,1.0,0.15,10.1021/ol200652j,IAH
15949,8553,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccccc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,21.98,1.0,0.15,10.1021/ol200652j,IAH
16566,8899,CCOC(=O)C1(C[C@]([C@H](N1)c2ccccc2)(C(=O)OC)c3ccc(Br)cc3[N+]([O-])=O)C(=O)OCC,20.94,1.0,0.1,10.1021/ol200652j,IAH
16567,8899,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccccc2)(C(=O)OC)c3ccc(Br)cc3[N+]([O-])=O)C(=O)OCC,23.46,1.0,0.1,10.1021/ol200652j,IAH
16986,9134,CCOC(=O)C1(C[C@]([C@H](N1)c2sccc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,15.3,1.0,0.15,10.1021/ol200652j,IAH
16987,9134,CCOC(=O)C1(C[C@@]([C@H](N1)c2sccc2)(C(=O)OC)c3ccccc3[N+]([O-])=O)C(=O)OCC,24.6,1.0,0.15,10.1021/ol200652j,IAH
19424,10522,C[C@H]1C=CCN(N1C(=O)OC(C)(C)C)C(=O)Nc2ccc(Cl)cc2,29.2,0.3,0.15,10.1021/ol503047s,IAH
19425,10522,C[C@@H]1C=CCN(N1C(=O)OC(C)(C)C)C(=O)Nc2ccc(Cl)cc2,34.7,0.3,0.15,10.1021/ol503047s,IAH
19544,10591,CCOC(=O)C1(C[C@]([C@H](N1)c2ccccc2)(C(=O)OC)c3cc(F)ccc3[N+]([O-])=O)C(=O)OCC,25.97,1.0,0.15,10.1021/ol200652j,IAH
19545,10591,CCOC(=O)C1(C[C@@]([C@H](N1)c2ccccc2)(C(=O)OC)c3cc(F)ccc3[N+]([O-])=O)C(=O)OCC,35.5,1.0,0.15,10.1021/ol200652j,IAH
19670,10658,CCOC(=O)C1(C[C@]([C@H](N1)c2ccccc2)(C(=O)OC)c3ccc(Cl)cc3[N+]([O-])=O)C(=O)OCC,31.95,1.0,0.05,10.1021/ol200652j,IAH
