Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
11,6,COc1cc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc(OC)c1OC,3.09,0.5,0.2,10.1039/C9SC04534A,IAU
12,6,COc1cc(C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc(OC)c1OC,2.67,0.5,0.2,10.1039/C9SC04534A,IAU
21,11,CC(C)C[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.36,0.5,0.05,10.1039/C9SC04534A,IAU
22,11,CC(C)C[C@@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.1,0.5,0.05,10.1039/C9SC04534A,IAU
23,12,CCCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.46,0.5,0.05,10.1039/C9SC04534A,IAU
24,12,CCCC[C@@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.12,0.5,0.05,10.1039/C9SC04534A,IAU
33,17,CCCCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.66,0.5,0.05,10.1039/C9SC04534A,IAU
34,17,CCCCC[C@@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.46,0.5,0.05,10.1039/C9SC04534A,IAU
35,18,CCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.74,0.5,0.05,10.1039/C9SC04534A,IAU
36,18,CCC[C@@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.5,0.5,0.05,10.1039/C9SC04534A,IAU
41,21,Cc1ccccc1C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O,3.81,0.5,0.05,10.1039/C9SC04534A,IAU
42,21,Cc1ccccc1C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O,3.6,0.5,0.05,10.1039/C9SC04534A,IAU
59,30,CC1(C)OB(OC1(C)C)[C@@H](CC2CCCCC2)N3CCOC3=O,4.87,0.5,0.05,10.1039/C9SC04534A,IAU
60,30,CC1(C)OB(OC1(C)C)[C@H](CC2CCCCC2)N3CCOC3=O,3.91,0.5,0.05,10.1039/C9SC04534A,IAU
69,35,CC(C)c1ccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc1,4.31,0.5,0.05,10.1039/C9SC04534A,IAU
70,35,CC(C)c1ccc(C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc1,4.04,0.5,0.05,10.1039/C9SC04534A,IAU
71,36,Cc1cccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)c1,4.42,0.5,0.05,10.1039/C9SC04534A,IAU
72,36,Cc1cccc(C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)c1,4.07,0.5,0.05,10.1039/C9SC04534A,IAU
131,67,Cc1ccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc1,5.11,0.5,0.05,10.1039/C9SC04534A,IAU
132,67,Cc1ccc(C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc1,4.65,0.5,0.05,10.1039/C9SC04534A,IAU
160,82,CC1(C)OB(OC1(C)C)[C@@H](CCCc2ccccc2)N3CCOC3=O,5.85,0.5,0.05,10.1039/C9SC04534A,IAU
161,82,CC1(C)OB(OC1(C)C)[C@H](CCCc2ccccc2)N3CCOC3=O,4.98,0.5,0.05,10.1039/C9SC04534A,IAU
170,87,CC1(C)OB(OC1(C)C)[C@@H](Cc2cccc(F)c2)N3CCOC3=O,5.58,0.5,0.05,10.1039/C9SC04534A,IAU
171,87,CC1(C)OB(OC1(C)C)[C@H](Cc2cccc(F)c2)N3CCOC3=O,5.04,0.5,0.05,10.1039/C9SC04534A,IAU
355,182,CC1(C)OB(OC1(C)C)[C@@H](Cc2ccc(Cl)cc2)N3CCOC3=O,7.12,0.5,0.1,10.1039/C9SC04534A,IAU
356,182,CC1(C)OB(OC1(C)C)[C@H](Cc2ccc(Cl)cc2)N3CCOC3=O,6.06,0.5,0.1,10.1039/C9SC04534A,IAU
373,191,COc1cccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)c1,7.45,0.5,0.05,10.1039/C9SC04534A,IAU
374,191,COc1cccc(C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)c1,6.12,0.5,0.05,10.1039/C9SC04534A,IAU
2561,1336,CC[C@@H]1NC(=O)c2[nH]c3ccccc3c2c4ccccc14,14.3,0.5,0.1,10.1021/acs.orglett.0c02282,IAU
2562,1336,CC[C@H]1NC(=O)c2[nH]c3ccccc3c2c4ccccc14,13.1,0.5,0.1,10.1021/acs.orglett.0c02282,IAU
7339,3828,Fc1cc(F)c2c(c1)N(Cc3ccccc3)C(=O)[C@]24OC(=O)c5cc6ccccc6n45,13.3,0.3,0.1,10.1002/anie.201912160,IAU
7340,3828,Fc1cc(F)c2c(c1)N(Cc3ccccc3)C(=O)[C@@]24OC(=O)c5cc6ccccc6n45,10.7,0.3,0.1,10.1002/anie.201912160,IAU
7362,3841,Clc1cccc2c1N(Cc3ccccc3)C(=O)[C@]24OC(=O)c5cc6ccccc6n45,7.1,0.3,0.1,10.1002/anie.201912160,IAU
7363,3841,Clc1cccc2c1N(Cc3ccccc3)C(=O)[C@@]24OC(=O)c5cc6ccccc6n45,10.7,0.3,0.1,10.1002/anie.201912160,IAU
9360,4946,Fc1cc2N(Cc3ccccc3)C(=O)[C@]4(OC(=O)c5cc6ccccc6n45)c2cc1F,15.1,0.3,0.1,10.1002/anie.201912160,IAU
9361,4946,Fc1cc2N(Cc3ccccc3)C(=O)[C@@]4(OC(=O)c5cc6ccccc6n45)c2cc1F,12.5,0.3,0.1,10.1002/anie.201912160,IAU
11968,6369,CC(C)(C)C1=NC(=O)C[C@H](S1)c2ccccc2,13.5,0.5,0.05,10.1021/acs.orglett.9b03685,IAU
11969,6369,CC(C)(C)C1=NC(=O)C[C@@H](S1)c2ccccc2,15.5,0.5,0.05,10.1021/acs.orglett.9b03685,IAU
12252,6531,COc1ccc2N(Cc3ccccc3)C(=O)[C@]4(OC(=O)c5cc6ccccc6n45)c2c1,13.0,0.3,0.2,10.1002/anie.201912160,IAU
12253,6531,COc1ccc2N(Cc3ccccc3)C(=O)[C@@]4(OC(=O)c5cc6ccccc6n45)c2c1,15.9,0.3,0.2,10.1002/anie.201912160,IAU
13453,7177,Clc1ccc2cc3n(c2c1)[C@]4(OC3=O)C(=O)N(Cc5ccccc5)c6ccccc46,19.9,0.3,0.1,10.1002/anie.201912160,IAU
13454,7177,Clc1ccc2cc3n(c2c1)[C@@]4(OC3=O)C(=O)N(Cc5ccccc5)c6ccccc46,17.5,0.3,0.1,10.1002/anie.201912160,IAU
14227,7608,Brc1cccc2c1N(Cc3ccccc3)C(=O)[C@]24OC(=O)c5cc6ccccc6n45,12.2,0.3,0.1,10.1002/anie.201912160,IAU
14228,7608,Brc1cccc2c1N(Cc3ccccc3)C(=O)[C@@]24OC(=O)c5cc6ccccc6n45,18.8,0.3,0.1,10.1002/anie.201912160,IAU
15425,8266,Cc1ccc2cc3n(c2c1)[C@]4(OC3=O)C(=O)N(Cc5ccccc5)c6ccccc46,23.7,0.3,0.05,10.1002/anie.201912160,IAU
15426,8266,Cc1ccc2cc3n(c2c1)[C@@]4(OC3=O)C(=O)N(Cc5ccccc5)c6ccccc46,20.9,0.3,0.05,10.1002/anie.201912160,IAU
19843,10751,COc1ccc2n3c(cc2c1)C(=O)O[C@]34C(=O)N(Cc5ccccc5)c6ccccc46,41.2,0.3,0.1,10.1002/anie.201912160,IAU
19844,10751,COc1ccc2n3c(cc2c1)C(=O)O[C@@]34C(=O)N(Cc5ccccc5)c6ccccc46,38.0,0.3,0.1,10.1002/anie.201912160,IAU
20814,11300,CCOC(=O)[C@@H]1c2ccccc2C(=O)N3[C@]1(C(=O)OCC)c4ccc5ccccc5c4[S]3(=O)=O,41.8,0.8,0.05,10.1021/acs.orglett.1c02676,IAU
20956,11379,Brc1cn2c(c1)C(=O)O[C@@]23C(=O)N(c4ccccc34)C(c5ccccc5)(c6ccccc6)c7ccccc7,5.7,0.3,0.05,10.1002/anie.201912160,IAU
20957,11379,Brc1cn2c(c1)C(=O)O[C@]23C(=O)N(c4ccccc34)C(c5ccccc5)(c6ccccc6)c7ccccc7,5.2,0.3,0.05,10.1002/anie.201912160,IAU
21145,11489,CCOC(=O)[C@@H]1c2cc(C)c(C)cc2C(=O)N3[C@]1(C(=O)OCC)c4ccccc4[S]3(=O)=O,4.9,0.5,0.09,10.1021/acs.orglett.1c02676,IAU
21920,11939,Clc1cccc(c1)C2=NC(=O)C[C@H](S2)c3ccccc3,5.5,0.5,0.1,10.1021/acs.orglett.9b03685,IAU
21921,11939,Clc1cccc(c1)C2=NC(=O)C[C@@H](S2)c3ccccc3,6.2,0.5,0.1,10.1021/acs.orglett.9b03685,IAU
23243,12685,Cc1ccc(cc1)[C@@H]2CC(=O)N=C(S2)c3ccccc3,8.6,0.5,0.1,10.1021/acs.orglett.9b03685,IAU
23244,12685,Cc1ccc(cc1)[C@H]2CC(=O)N=C(S2)c3ccccc3,7.6,0.5,0.1,10.1021/acs.orglett.9b03685,IAU
