Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
61,31,Cc1ccc(cc1)[S](=O)(=O)C[C@H]2CCCc3ccccc23,3.27,0.5,0.1,10.1039/C8QO01291A,IB
62,31,Cc1ccc(cc1)[S](=O)(=O)C[C@@H]2CCCc3ccccc23,3.93,0.5,0.1,10.1039/C8QO01291A,IB
93,47,COC(=O)CC[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2,3.56,0.5,0.3,10.1039/C8QO01291A,IB
94,47,COC(=O)CC[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2,4.2,0.5,0.3,10.1039/C8QO01291A,IB
129,66,C(C[C@@H](C#Cc1ccccc1)c2ccccc2)Cc3ccccc3,6.81,1.0,0.01,10.1038/s41557/019/0346/2,IB
130,66,C(C[C@H](C#Cc1ccccc1)c2ccccc2)Cc3ccccc3,4.65,1.0,0.01,10.1038/s41557/019/0346/2,IB
178,91,CC(C)OC(=O)c1ccc(c(c1)C#C[Si](C(C)C)(C(C)C)C(C)C)[S@@](=O)c2ccccn2,4.8,1.0,0.3,10.1021/acs.orglett.1c02918,IB
179,91,CC(C)OC(=O)c1ccc(c(c1)C#C[Si](C(C)C)(C(C)C)C(C)C)[S@](=O)c2ccccn2,5.1,1.0,0.3,10.1021/acs.orglett.1c02918,IB
491,251,C\C(=C/[C@@H]1CC(CN1C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,9.44,1.0,0.05,10.1002/anie.201900955,IB
492,251,C\C(=C/[C@H]1CC(CN1C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,6.62,1.0,0.05,10.1002/anie.201900955,IB
606,312,CC(C)OC(=O)c1ccc(cc1)[S@](=O)c2ccccn2,6.4,1.0,0.3,10.1021/acs.orglett.1c02918,IB
607,312,CC(C)OC(=O)c1ccc(cc1)[S@@](=O)c2ccccn2,7.1,1.0,0.3,10.1021/acs.orglett.1c02918,IB
1026,535,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3cc(I)ccc23)c4cccc5cccnc45)C1=O,8.1,1.0,0.4,10.1002/anie.202108853,IB
1027,535,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3cc(I)ccc23)c4cccc5cccnc45)C1=O,8.5,1.0,0.4,10.1002/anie.202108853,IB
1797,941,CCOC(=O)C[C@H](C#CC)c1ccc(OCc2cccc(c2)c3ccc(cc3)C(F)(F)F)cc1,11.98,1.0,0.02,10.1038/s41557/019/0346/2,IB
1798,941,CCOC(=O)C[C@@H](C#CC)c1ccc(OCc2cccc(c2)c3ccc(cc3)C(F)(F)F)cc1,10.77,1.0,0.02,10.1038/s41557/019/0346/2,IB
1904,995,Cc1cccc(c1)C(/C)=C/[C@@H]2CC(CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)(c4ccccc4)c5ccccc5,8.66,0.7,0.2,10.1002/anie.201900955,IB
1905,995,Cc1cccc(c1)C(/C)=C/[C@H]2CC(CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)(c4ccccc4)c5ccccc5,11.08,0.7,0.2,10.1002/anie.201900955,IB
1922,1004,CC(C)(NC(=O)C[C@@H]1CCc2ccccc12)c3ccccn3,9.4,0.8,0.1,10.1021/acs.orglett.0c03775,IB
1923,1004,CC(C)(NC(=O)C[C@H]1CCc2ccccc12)c3ccccn3,11.1,0.8,0.1,10.1021/acs.orglett.0c03775,IB
1957,1022,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(C=C)c5,7.25,1.0,0.15,10.1002/anie.201900955,IB
1958,1022,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(C=C)c5,11.17,1.0,0.15,10.1002/anie.201900955,IB
1993,1040,CC(C)(NC(=O)C[C@@H]1CCCc2ccccc12)c3ccccn3,8.9,0.8,0.1,10.1021/acs.orglett.0c03775,IB
1994,1040,CC(C)(NC(=O)C[C@H]1CCCc2ccccc12)c3ccccn3,11.3,0.8,0.1,10.1021/acs.orglett.0c03775,IB
1995,1041,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3ccccc23)c4cccc5cccnc45)C1=O,8.9,1.0,0.4,10.1002/anie.202108853,IB
1996,1041,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3ccccc23)c4cccc5cccnc45)C1=O,11.3,1.0,0.4,10.1002/anie.202108853,IB
2380,1243,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(c5)C6OCC(C)(C)CO6,7.87,1.0,0.15,10.1002/anie.201900955,IB
2381,1243,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(c5)C6OCC(C)(C)CO6,12.48,1.0,0.15,10.1002/anie.201900955,IB
3354,1747,Cc1ccc(cc1)[S](=O)(=O)N2CC[C@@H](CC(=O)NC(C)(C)c3ccccn3)c4cc(Br)ccc24,17.3,1.0,0.15,10.1039/D1QO00302J,IB
3355,1747,Cc1ccc(cc1)[S](=O)(=O)N2CC[C@H](CC(=O)NC(C)(C)c3ccccn3)c4cc(Br)ccc24,15.7,1.0,0.15,10.1039/D1QO00302J,IB
3730,1939,CC1(C)COC(CC[C@@H](C#Cc2ccccc2)c3ccccc3)OC1,18.52,1.0,0.005,10.1038/s41557/019/0346/2,IB
3731,1939,CC1(C)COC(CC[C@H](C#Cc2ccccc2)c3ccccc3)OC1,17.29,1.0,0.005,10.1038/s41557/019/0346/2,IB
3915,2035,CC(C)O[P](=O)(OC(C)C)C(=[N+]=[N-])[C@@H](NC(=O)OC(C)(C)C)c1ccccc1,15.6,0.5,0.01,10.1021/ol300664d,IB
3916,2035,CC(C)O[P](=O)(OC(C)C)C(=[N+]=[N-])[C@H](NC(=O)OC(C)(C)C)c1ccccc1,18.2,0.5,0.01,10.1021/ol300664d,IB
4045,2102,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(F)c5,14.76,0.6,0.1,10.1002/anie.201900955,IB
4046,2102,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(F)c5,18.85,0.6,0.1,10.1002/anie.201900955,IB
4785,2484,CC(C)(C)c1ccc(S[C@H](C[N+]([O-])=O)c2ccc(Br)cc2)cc1,33.3,0.5,0.02,10.1002/adsc.201700109,IB
4786,2484,CC(C)(C)c1ccc(S[C@@H](C[N+]([O-])=O)c2ccc(Br)cc2)cc1,23.0,0.5,0.02,10.1002/adsc.201700109,IB
4791,2487,CNc1ccccc1[C@]2(NC(=O)OC(C)(C)C)C(=O)NN=C2[P](=O)(OC)OC,14.217,0.5,0.3,10.1021/acs.orglett.6b02095,IB
4792,2487,CNc1ccccc1[C@@]2(NC(=O)OC(C)(C)C)C(=O)NN=C2[P](=O)(OC)OC,23.021,0.5,0.3,10.1021/acs.orglett.6b02095,IB
5614,2912,Clc1ccc2[C@H]3OC(=O)C[C@H]3Cc2c1,28.0,1.0,0.05,10.1039/C9QO01047E,IB
