Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
258,132,Cc1cc(C)cc(c1)[C@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccc(Br)cc23,6.1,1.0,0.05,10.1002/adsc.201501155,ICH
259,132,Cc1cc(C)cc(c1)[C@@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccc(Br)cc23,5.6,1.0,0.05,10.1002/adsc.201501155,ICH
260,133,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3ccc(Br)cc13,6.5,1.0,0.1,10.1002/adsc.201501155,ICH
261,133,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3ccc(Br)cc13,5.6,1.0,0.1,10.1002/adsc.201501155,ICH
262,134,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3cc(F)ccc13,6.6,1.0,0.1,10.1002/adsc.201501155,ICH
263,134,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3cc(F)ccc13,5.6,1.0,0.1,10.1002/adsc.201501155,ICH
288,147,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3cc(Br)ccc13,6.6,1.0,0.1,10.1002/adsc.201501155,ICH
289,147,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3cc(Br)ccc13,5.7,1.0,0.1,10.1002/adsc.201501155,ICH
319,163,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3ccc(Cl)cc13,6.7,1.0,0.1,10.1002/adsc.201501155,ICH
320,163,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3ccc(Cl)cc13,5.9,1.0,0.1,10.1002/adsc.201501155,ICH
436,223,Cc1ccc(cc1)[C@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccccc23,9.5,1.0,0.1,10.1002/adsc.201501155,ICH
437,223,Cc1ccc(cc1)[C@@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccccc23,6.4,1.0,0.1,10.1002/adsc.201501155,ICH
464,237,Cc1ccc2N(C(=O)OC(C)(C)C)C(=O)[C@@](CC=C)(c3ccccc3)c2c1,8.7,1.0,0.1,10.1002/adsc.201501155,ICH
465,237,Cc1ccc2N(C(=O)OC(C)(C)C)C(=O)[C@](CC=C)(c3ccccc3)c2c1,6.5,1.0,0.1,10.1002/adsc.201501155,ICH
543,279,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc12)c3cccc4ccccc34,8.2,1.0,0.1,10.1002/adsc.201501155,ICH
544,279,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc12)c3cccc4ccccc34,6.8,1.0,0.1,10.1002/adsc.201501155,ICH
638,329,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccc(cc2)C(F)(F)F)c3ccccc13,7.9,1.0,0.05,10.1002/adsc.201501155,ICH
639,329,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccc(cc2)C(F)(F)F)c3ccccc13,7.2,1.0,0.05,10.1002/adsc.201501155,ICH
1944,1015,CC(C)(C)OC(=O)N1CC=C[C@@H]1c2ccccc2,10.389,1.0,0.1,10.1039/C4CC03920C,ICH
1945,1015,CC(C)(C)OC(=O)N1CC=C[C@H]1c2ccccc2,11.107,1.0,0.1,10.1039/C4CC03920C,ICH
2254,1176,NC[C@@](O)(c1ccccc1)C(F)(F)F,9.91,0.7,0.1,10.1039/C3OB42329H,ICH
2255,1176,NC[C@](O)(c1ccccc1)C(F)(F)F,12.04,0.7,0.1,10.1039/C3OB42329H,ICH
2635,1374,CC(C)[C@H]1NC(=O)Nc2ccccc12,14.4,1.0,0.1,10.1039/D1QO01598B,ICH
2948,1538,CN1C(=O)[C@@](CC=C)(c2ccc(C)cc2)c3ccccc13,41.6,1.0,0.1,10.1002/adsc.201501155,ICH
2949,1538,CN1C(=O)[C@](CC=C)(c2ccc(C)cc2)c3ccccc13,14.4,1.0,0.1,10.1002/adsc.201501155,ICH
3230,1682,CC[C@H]1NC(=O)Nc2ccccc12,16.5,1.0,0.1,10.1039/D1QO01598B,ICH
3231,1682,CC[C@@H]1NC(=O)Nc2ccccc12,15.3,1.0,0.1,10.1039/D1QO01598B,ICH
5490,2848,C[C@H](CCCCOc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3CCc2c1)c5cc6c(F)cccc6n5c7ccc(cc7)c8cc(cc(c8)C(F)(F)F)C(F)(F)F,27.38,0.6,0.2,10.1021/jacs.1c08562,ICH
6727,3489,COc1ccc(cc1)[C@@](c2[nH]c(C)cc2)(c3ccc(O)cc3)c4ccccc4OC,8.7,1.0,0.05,10.1038/s41929/020/00535/4,ICH
6728,3489,COc1ccc(cc1)[C@](c2[nH]c(C)cc2)(c3ccc(O)cc3)c4ccccc4OC,10.1,1.0,0.05,10.1038/s41929/020/00535/4,ICH
7004,3639,C[C@@](C/C=C/c1ccc(Cl)cc1)(C=O)c2ccccc2,9.68,1.0,0.03,10.1002/anie.201408199,ICH
7005,3639,C[C@](C/C=C/c1ccc(Cl)cc1)(C=O)c2ccccc2,10.39,1.0,0.03,10.1002/anie.201408199,ICH
7110,3697,CC[C@@H]1[C@H](F)c2ccccc2CN1C(=O)c3ccc(Br)cc3,11.3,0.8,0.2,10.1039/C3CC45341C,ICH
7129,3709,CO[C@H]1[C@@H](NC(C)=O)c2cc(F)ccc2c3ccccc13,13.1,0.7,0.3,10.1021/acs.orglett.7b04060,ICH
