Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
154,79,C[C@H](C[S](C)(=O)=O)c1ccccc1,4.61,0.5,0.3,10.1039/C8QO01291A,IC
155,79,C[C@@H](C[S](C)(=O)=O)c1ccccc1,4.91,0.5,0.3,10.1039/C8QO01291A,IC
266,136,C1CC(C1)[C@@H](C#Cc2ccccc2)c3ccccc3,5.15,1.0,0.002,10.1038/s41557/019/0346/2,IC
267,136,C1CC(C1)[C@H](C#Cc2ccccc2)c3ccccc3,5.62,1.0,0.002,10.1038/s41557/019/0346/2,IC
272,139,F[C@H]1CCO[C@]1(C(=O)c2ccc(F)cc2)c3ccc(F)cc3,6.53,1.0,0.1,10.1002/chem.201202444,IC
273,139,F[C@@H]1CCO[C@]1(C(=O)c2ccc(F)cc2)c3ccc(F)cc3,5.67,1.0,0.1,10.1002/chem.201202444,IC
278,142,CC(C)(C)NC(=O)[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c4cc(Br)cc(Br)c4,6.7,1.0,0.3,10.1021/jacs.5b09117,IC
279,142,CC(C)(C)NC(=O)[C@@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c4cc(Br)cc(Br)c4,5.7,1.0,0.3,10.1021/jacs.5b09117,IC
410,210,CC(C)C[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,4.5,1.0,0.3,10.1021/jacs.5b09117,IC
411,210,CC(C)C[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,6.3,1.0,0.3,10.1021/jacs.5b09117,IC
430,220,CCCC[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)CC(C)(C)C,5.0,1.0,0.3,10.1021/jacs.5b09117,IC
431,220,CCCC[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)CC(C)(C)C,6.4,1.0,0.3,10.1021/jacs.5b09117,IC
474,242,F[C@@H]1CCO[C@@]1(C(=O)c2ccc(F)cc2)c3ccc(F)cc3,5.67,1.0,0.1,10.1002/chem.201202444,IC
572,294,Cc1cc(C)cc(c1)C(=O)[C@]2(OCCC[C@H]2Br)c3cc(C)cc(C)c3,8.64,1.0,0.05,10.1021/ja201794v,IC
573,294,Cc1cc(C)cc(c1)C(=O)[C@@]2(OCCC[C@H]2Br)c3cc(C)cc(C)c3,6.96,1.0,0.05,10.1021/ja201794v,IC
656,339,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(Cl)c5,4.87,1.0,0.1,10.1002/anie.201900955,IC
