Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
282,144,CCCCC[C@H]1CC(=O)N1C(C)(C)c2ccccn2,6.6,1.2,0.2,10.1002/cjoc.201900533,ID
283,144,CCCCC[C@@H]1CC(=O)N1C(C)(C)c2ccccn2,5.7,1.2,0.2,10.1002/cjoc.201900533,ID
315,161,CC(C)(N1[C@@H](CC(c2ccc(F)cc2)c3ccc(F)cc3)CC1=O)c4ccccn4,9.4,1.2,0.2,10.1002/cjoc.201900533,ID
316,161,CC(C)(N1[C@H](CC(c2ccc(F)cc2)c3ccc(F)cc3)CC1=O)c4ccccn4,5.9,1.2,0.2,10.1002/cjoc.201900533,ID
582,299,C[S](=O)(=O)c1ccc(C[C@@]2(CC3(CCCCC3)CN2C(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c5ccccc5)cc1,5.8,1.0,0.2,10.6023/A18100413,ID
583,299,C[S](=O)(=O)c1ccc(C[C@]2(CC3(CCCCC3)CN2C(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c5ccccc5)cc1,7.0,1.0,0.2,10.6023/A18100413,ID
690,358,CC(C)(C)NC(=O)[C@H](OC(=O)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c2cccc(c2)[N+]([O-])=O,6.6,1.0,0.1,10.1021/jacs.5b09117,ID
691,358,CC(C)(C)NC(=O)[C@@H](OC(=O)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c2cccc(c2)[N+]([O-])=O,7.4,1.0,0.1,10.1021/jacs.5b09117,ID
822,427,Clc1cccc2[C@@H]3CC(=O)C=C[C@H]3[C@@H](Nc12)c4ccccc4,8.62,1.0,0.2,10.1021/acs.orglett.7b03330,ID
848,441,C[C@@H]1Nc2cc(Cl)cc(Cl)c2[C@H]3CC(=O)C=C[C@@H]13,7.24,1.0,0.453493,10.1021/acs.orglett.7b03330,ID
913,476,Clc1cc(Cl)c2[C@H]3CC(=O)C=C[C@H]3[C@@H](Nc2c1)c4ccccc4,7.58,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1009,526,CC1=C[C@@H]2[C@@H](CC1=O)c3ccccc3N[C@H]2c4ccccc4,8.8,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1161,606,CC(C)O[P](=O)(OC(C)C)[C@@]1(C[C@H](CO[Si](C)(C)C(C)(C)C)N(N1C(=O)OC(C)(C)C)C(=O)OCc2ccccc2)c3ccccc3,11.598,0.5,0.3,10.1002/adsc.201900679,ID
1231,643,Cc1cccc2N[C@H]([C@@H]3C=CC(=O)C[C@@H]3c12)c4ccccc4,9.54,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1275,667,CC(C)(C)NC(=O)[C@H](OC(=O)C1CCCCC1)c2cccc(c2)[N+]([O-])=O,7.3,1.0,0.2,10.1021/jacs.5b09117,ID
1276,667,CC(C)(C)NC(=O)[C@@H](OC(=O)C1CCCCC1)c2cccc(c2)[N+]([O-])=O,9.2,1.0,0.2,10.1021/jacs.5b09117,ID
1293,676,Clc1cccc2N[C@H]([C@@H]3C=CC(=O)C[C@@H]3c12)c4ccccc4,8.57,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1313,688,Brc1cc(Br)c2N[C@H]([C@@H]3C=CC(=O)C[C@H]3c2c1)c4ccccc4,10.48,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1356,711,O=C(CC1=C[C@H](c2ccccc2)C3=C(O1)C(=O)N(Cc4ccccc4)C3)c5ccccc5,7.8,1.0,0.494949,10.1021/acs.joc.5b00961,ID
1357,711,O=C(CC1=C[C@@H](c2ccccc2)C3=C(O1)C(=O)N(Cc4ccccc4)C3)c5ccccc5,9.4,1.0,0.494949,10.1021/acs.joc.5b00961,ID
1367,717,CC1(C)Nc2cc(Cl)ccc2[C@@H]3CC(=O)C=C[C@@H]13,9.74,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1440,756,Brc1cccc2N[C@H]([C@@H]3C=CC(=O)C[C@@H]3c12)c4ccccc4,9.14,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1627,852,Clc1cccc2N[C@H]([C@@H]3C=CC(=O)C[C@@H]3c12)c4occc4,11.57,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1676,877,Fc1ccc2[C@@H]3CC(=O)C=C[C@H]3[C@@H](Nc2c1)c4ccccc4,9.39,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1718,899,C[C@]1(CCO)CCCn2cccc12,8.94,1.0,0.1,10.1016/j.tetlet.2018.09.061,ID
1719,899,C[C@@]1(CCO)CCCn2cccc12,10.51,1.0,0.1,10.1016/j.tetlet.2018.09.061,ID
1725,903,Fc1ccc(cc1)[C@@H]2Nc3ccccc3[C@@H]4CC(=O)C=C[C@@H]24,11.36,1.0,0.2,10.1021/acs.orglett.7b03330,ID
1734,908,CC(C)(N1[C@H](CC1=O)c2ccc(Br)cc2)c3ccccn3,14.6,1.2,0.2,10.1002/cjoc.201900533,ID
1735,908,CC(C)(N1[C@@H](CC1=O)c2ccc(Br)cc2)c3ccccn3,10.6,1.2,0.2,10.1002/cjoc.201900533,ID
