Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
143,73,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc(F)c(Cl)c3,5.28,1.0,0.2,10.1002/anie.201907115,IE
144,73,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(F)c(Cl)c3,4.8,1.0,0.2,10.1002/anie.201907115,IE
156,80,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc(cc3)C(F)(F)F,6.49,1.0,0.1,10.1002/anie.201907115,IE
157,80,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(cc3)C(F)(F)F,4.94,1.0,0.1,10.1002/anie.201907115,IE
166,85,CCc1ccccc1SC[C@@]2(CCCC2=O)c3ccccc3,5.84,1.0,0.2,10.1002/anie.201907115,IE
167,85,CCc1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,5.01,1.0,0.2,10.1002/anie.201907115,IE
172,88,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccccc3,6.46,1.0,0.3,10.1002/anie.201907115,IE
173,88,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,5.05,1.0,0.3,10.1002/anie.201907115,IE
174,89,Cc1cccc(c1)[C@]2(CCCC2=O)CSc3ccccc3C,5.4,1.0,0.2,10.1002/anie.201907115,IE
175,89,Cc1cccc(c1)[C@@]2(CCCC2=O)CSc3ccccc3C,5.07,1.0,0.2,10.1002/anie.201907115,IE
182,93,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc(F)cc3,6.83,1.0,0.2,10.1002/anie.201907115,IE
183,93,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(F)cc3,5.13,1.0,0.2,10.1002/anie.201907115,IE
193,99,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc(Cl)cc3,8.25,1.0,0.2,10.1002/anie.201907115,IE
194,99,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(Cl)cc3,5.25,1.0,0.2,10.1002/anie.201907115,IE
286,146,Cc1ccc(cc1)[C@]2(CCCC2=O)CSc3ccccc3C,7.62,1.0,0.2,10.1002/anie.201907115,IE
287,146,Cc1ccc(cc1)[C@@]2(CCCC2=O)CSc3ccccc3C,5.7,1.0,0.2,10.1002/anie.201907115,IE
349,179,CC(C)c1ccccc1SC[C@@]2(CCCC2=O)c3ccccc3,6.35,1.0,0.05,10.1002/anie.201907115,IE
350,179,CC(C)c1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,6.01,1.0,0.05,10.1002/anie.201907115,IE
351,180,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccc4ccccc4c3,8.08,1.0,0.3,10.1002/anie.201907115,IE
352,180,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc4ccccc4c3,6.02,1.0,0.3,10.1002/anie.201907115,IE
380,195,Cc1ccccc1SC[C@@]2(CCCC2=O)CCc3ccccc3,7.2,1.0,0.1,10.1002/anie.201907115,IE
381,195,Cc1ccccc1SC[C@]2(CCCC2=O)CCc3ccccc3,6.19,1.0,0.1,10.1002/anie.201907115,IE
420,215,COc1ccc(cc1)[C@]2(CCCC2=O)CSc3ccccc3C,8.26,1.0,0.3,10.1002/anie.201907115,IE
421,215,COc1ccc(cc1)[C@@]2(CCCC2=O)CSc3ccccc3C,6.37,1.0,0.3,10.1002/anie.201907115,IE
495,253,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,5.1,1.0,0.3,10.1002/anie.201907115,IE
496,253,Cc1ccccc1SC[C@@]2(CCCC2=O)c3ccccc3,6.64,1.0,0.3,10.1002/anie.201907115,IE
622,320,O=C1CC[C@@]12[C@H](Cc3ccccc23)Sc4ccccc4,6.47,1.0,0.3,10.1002/anie.201907115,IE
648,334,Cc1ccccc1S[C@H]2Cc3ccccc3[C@]24CCCC4=O,6.12,1.0,0.2,10.1002/anie.201907115,IE
649,334,Cc1ccccc1S[C@@H]2Cc3ccccc3[C@]24CCCC4=O,7.22,1.0,0.2,10.1002/anie.201907115,IE
