Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
137,70,C[C@H](CCCCCCCCBr)c1cc2c(F)cccc2n1c3ccc(cn3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,5.12,0.6,0.05,10.1021/jacs.1c08562,IF
138,70,C[C@@H](CCCCCCCCBr)c1cc2c(F)cccc2n1c3ccc(cn3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,4.73,0.6,0.05,10.1021/jacs.1c08562,IF
151,77,CCCCCCCCCC[C@@H]1OCCc2ccccc12,4.6,0.8,0.01,10.1002/anie.201916677,IF
164,84,CCCC[C@@H]1OCCc2ccccc12,4.7,0.8,0.01,10.1002/anie.201916677,IF
165,84,CCCC[C@H]1OCCc2ccccc12,5.0,0.8,0.01,10.1002/anie.201916677,IF
227,116,C[C@@H]1OCCc2ccc(C)cc12,5.1,1.0,0.01,10.1002/anie.201916677,IF
228,116,C[C@H]1OCCc2ccc(C)cc12,5.4,1.0,0.01,10.1002/anie.201916677,IF
229,117,C[C@@H]1OCCc2ccccc12,5.1,0.8,0.01,10.1002/anie.201916677,IF
230,117,C[C@H]1OCCc2ccccc12,5.4,0.8,0.01,10.1002/anie.201916677,IF
264,135,C[C@@H]1OCCc2c(C)cccc12,5.3,0.8,0.01,10.1002/anie.201916677,IF
265,135,C[C@H]1OCCc2c(C)cccc12,5.6,0.8,0.01,10.1002/anie.201916677,IF
612,315,C(CC[C@@H]1OCCc2ccccc12)COCc3ccccc3,6.5,0.8,0.01,10.1002/anie.201916677,IF
613,315,C(CC[C@H]1OCCc2ccccc12)COCc3ccccc3,7.1,0.8,0.01,10.1002/anie.201916677,IF
808,419,C1Cc2ccccc2[C@@H](O1)c3ccccc3,6.9,0.8,0.01,10.1002/anie.201916677,IF
809,419,C1Cc2ccccc2[C@H](O1)c3ccccc3,7.8,0.8,0.01,10.1002/anie.201916677,IF
2152,1124,CCCCCCC1=Cc2ccccc2[C@@H](N1c3ccc(OC(C)C)cc3)[P](=O)(OC)OC,10.547,0.5,0.3,10.1021/acs.orglett.0c02487,IF
2153,1124,CCCCCCC1=Cc2ccccc2[C@H](N1c3ccc(OC(C)C)cc3)[P](=O)(OC)OC,11.735,0.5,0.3,10.1021/acs.orglett.0c02487,IF
2190,1144,CO[P](=O)(OC)[C@@H]1N(c2ccc(OC(C)C)cc2)C(=Cc3ccccc13)c4ccccc4C,13.353,0.5,0.4,10.1021/acs.orglett.0c02487,IF
2191,1144,CO[P](=O)(OC)[C@H]1N(c2ccc(OC(C)C)cc2)C(=Cc3ccccc13)c4ccccc4C,11.801,0.5,0.4,10.1021/acs.orglett.0c02487,IF
2374,1239,CO[P](=O)(OC)[C@@H]1N(c2ccc(OC(C)C)cc2)C(=C(Br)c3ccccc13)c4ccccc4,10.847,0.5,0.4,10.1021/acs.orglett.0c02487,IF
2375,1239,CO[P](=O)(OC)[C@H]1N(c2ccc(OC(C)C)cc2)C(=C(Br)c3ccccc13)c4ccccc4,12.44,0.5,0.4,10.1021/acs.orglett.0c02487,IF
