Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
139,71,CCOC(OCC)C#C[C@@H](C)c1ccc(C)cc1,5.71,1.0,0.02,10.1038/s41557/019/0346/2,IG
140,71,CCOC(OCC)C#C[C@H](C)c1ccc(C)cc1,4.74,1.0,0.02,10.1038/s41557/019/0346/2,IG
311,159,CCOC(OCC)C#C[C@H](C)c1ccc(C)cc1,4.82,1.0,0.02,10.1038/s41557/019/0346/2,IG
312,159,CCOC(OCC)C#C[C@@H](C)c1ccc(C)cc1,5.86,1.0,0.02,10.1038/s41557/019/0346/2,IG
741,384,CCCCCC[C@@H](C)c1cc(c(C)n1c2ccc(cn2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C(=O)OCC,8.27,0.6,0.1,10.1021/jacs.1c08562,IG
742,384,CCCCCC[C@H](C)c1cc(c(C)n1c2ccc(cn2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C(=O)OCC,7.55,0.6,0.1,10.1021/jacs.1c08562,IG
1024,534,CC[C@@H](C#Cc1ccc(C=C)cc1)c2ccccc2,7.88,0.5,0.01,10.1038/s41557/019/0346/2,IG
1025,534,CC[C@H](C#Cc1ccc(C=C)cc1)c2ccccc2,8.5,0.5,0.01,10.1038/s41557/019/0346/2,IG
2204,1151,C#C[C@H](CCCC#N)c1ccccc1,12.52,0.5,0.15,10.1038/s41557/019/0346/2,IG
2205,1151,C#C[C@@H](CCCC#N)c1ccccc1,11.88,0.5,0.15,10.1038/s41557/019/0346/2,IG
2774,1445,CCOC(OCC)C#C[C@@H](C)c1ccc(C)c(OC)c1,15.32,0.4,0.01,10.1038/s41557/019/0346/2,IG
2775,1445,CCOC(OCC)C#C[C@H](C)c1ccc(C)c(OC)c1,13.79,0.4,0.01,10.1038/s41557/019/0346/2,IG
3134,1633,CCOC(OCC)C#C[C@H](C)c1ccc(C)c(OC)c1,13.59,0.4,0.01,10.1038/s41557/019/0346/2,IG
3135,1633,CCOC(OCC)C#C[C@@H](C)c1ccc(C)c(OC)c1,14.94,0.4,0.01,10.1038/s41557/019/0346/2,IG
3350,1745,CC[C@@H](C#Cc1ccc(cc1)C(F)(F)F)c2ccccc2,17.38,0.3,0.0,10.1038/s41557/019/0346/2,IG
3351,1745,CC[C@H](C#Cc1ccc(cc1)C(F)(F)F)c2ccccc2,15.7,0.3,0.0,10.1038/s41557/019/0346/2,IG
3860,2006,CC[C@@H](C#CC1CC1)c2ccccc2,22.16,0.3,0.0,10.1038/s41557/019/0346/2,IG
3861,2006,CC[C@H](C#CC1CC1)c2ccccc2,17.83,0.3,0.0,10.1038/s41557/019/0346/2,IG
4760,2471,CCOC(OCC)C#C[C@H](CC)c1ccccc1,16.7,0.3,0.01,10.1038/s41557/019/0346/2,IG
4761,2471,CCOC(OCC)C#C[C@@H](CC)c1ccccc1,22.81,0.3,0.01,10.1038/s41557/019/0346/2,IG
4844,2514,CC[C@@H](C#CCn1c2ccccc2c3ccccc13)C(=O)N(C)c4ccccc4,20.76,0.8,0.1,10.1038/s41557/019/0346/2,IG
4845,2514,CC[C@H](C#CCn1c2ccccc2c3ccccc13)C(=O)N(C)c4ccccc4,23.44,0.8,0.1,10.1038/s41557/019/0346/2,IG
5175,2686,CC[C@@H](C#CCn1c2ccccc2c3ccccc13)c4ccccc4,34.75,0.3,0.01,10.1038/s41557/019/0346/2,IG
5176,2686,CC[C@H](C#CCn1c2ccccc2c3ccccc13)c4ccccc4,26.12,0.3,0.01,10.1038/s41557/019/0346/2,IG
5761,2988,CC[C@@H](C#CCCCC(=O)Nc1ccc(OC)cc1)c2ccccc2,44.03,0.5,0.05,10.1038/s41557/019/0346/2,IG
5762,2988,CC[C@H](C#CCCCC(=O)Nc1ccc(OC)cc1)c2ccccc2,32.97,0.5,0.05,10.1038/s41557/019/0346/2,IG
6245,3235,O=C1C[C@@]2(N(C(=O)c3ccccc23)c4cccc5cccnc45)C(=O)N1C6CCCCC6,25.8,1.0,0.4,10.1002/anie.202108853,IG
6246,3235,O=C1C[C@]2(N(C(=O)c3ccccc23)c4cccc5cccnc45)C(=O)N1C6CCCCC6,46.2,1.0,0.4,10.1002/anie.202108853,IG
6249,3237,O=C1C[C@@]2(N(C(=O)c3ccccc23)c4cccc5cccnc45)C(=O)N1Cc6ccccc6,35.4,1.0,0.4,10.1002/anie.202108853,IG
6250,3237,O=C1C[C@]2(N(C(=O)c3ccccc23)c4cccc5cccnc45)C(=O)N1Cc6ccccc6,46.4,1.0,0.4,10.1002/anie.202108853,IG
6996,3634,CCN(CC)[C@H]([C@@H](C=C)c1ccccc1)C(=O)OC,10.935,0.5,0.05,10.1039/C9SC06342K,IG
7092,3687,CN1C(=O)[C@]2(O[C@]1(C)[C@]3([C@@H]2C(=O)OC(C)(C)C)C(=O)N(C(=O)OC(C)(C)C)c4cc(Br)ccc34)C(C)=O,8.76,1.0,0.2,10.1039/D1CC03685H,IG
7093,3688,COc1ccc2c(c1)N(C(=O)OC(C)(C)C)C(=O)[C@]23[C@H](C(=O)OC(C)(C)C)[C@@]4(O[C@@]3(C)N(C)C4=O)C(C)=O,8.76,1.0,0.2,10.1039/D1CC03685H,IG
7197,3749,CCCCC[C@H](C=C)n1ccc2cc(Cl)ccc12,11.2,0.4,0.001,10.1002/chem.202004613,IG
7198,3749,CCCCC[C@@H](C=C)n1ccc2cc(Cl)ccc12,10.6,0.4,0.001,10.1002/chem.202004613,IG
7301,3807,CN1C(=O)[C@]2(O[C@]1(c3ccccc3Cl)[C@]4([C@@H]2C(=O)OC(C)(C)C)C(=O)N(C(=O)OC(C)(C)C)c5ccccc45)C(C)=O,6.8,1.0,0.2,10.1039/D1CC03685H,IG
7406,3866,Cc1cc(C)cc(c1)C(=O)[C@H](COCc2ccccc2)c3ccccc3,9.29,1.0,0.05,10.1002/anie.201903007,IG
7407,3866,Cc1cc(C)cc(c1)C(=O)[C@@H](COCc2ccccc2)c3ccccc3,10.79,1.0,0.05,10.1002/anie.201903007,IG
7467,3899,C\C=C/1C[C@](CC#CC)(C(=O)O1)c2ccccc2,14.49,1.0,0.02,10.1016/j.tetlet.2020.152106,IG
7468,3899,C\C=C/1C[C@@](CC#CC)(C(=O)O1)c2ccccc2,10.83,1.0,0.02,10.1016/j.tetlet.2020.152106,IG
8091,4250,C[C@H](NCCCc1cccc(c1)C(F)(F)F)c2cccc3ccccc23,12.91,0.5,0.02,10.1021/jacs.1c07726,IG
8092,4250,C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c2cccc3ccccc23,11.33,0.5,0.02,10.1021/jacs.1c07726,IG
8149,4284,O=C([C@](CCC1=C2C=CC=C1)(C3(C=C)CCC3)C2=O)OCC,12.2,0.8,0.01,10.1021/acs.orglett.8b04030,IG
8150,4284,O=C([C@@](CCC1=C2C=CC=C1)(C3(C=C)CCC3)C2=O)OCC,11.4,0.8,0.01,10.1021/acs.orglett.8b04030,IG
8235,4332,CN(Cc1ccccc1)[C@H](\C=C\C(=O)n2nc(C)c(C)c2C)c3ccccc3,7.757,1.0,0.02,10.1021/jacs.1c04367,IG
8236,4332,CN(Cc1ccccc1)[C@@H](\C=C\C(=O)n2nc(C)c(C)c2C)c3ccccc3,11.484,1.0,0.02,10.1021/jacs.1c04367,IG
8293,4362,CC(C)(C)OC(=O)[C@]1(Cc2cc(Br)ccc2C1=O)C(C)(C)C=C,6.8,1.0,0.01,10.1021/acs.orglett.8b04030,IG
8294,4362,CC(C)(C)OC(=O)[C@@]1(Cc2cc(Br)ccc2C1=O)C(C)(C)C=C,11.5,1.0,0.01,10.1021/acs.orglett.8b04030,IG
8477,4466,CC(C)(C=C)[C@@]1(CCc2ccccc2C1=O)C(=O)OC3C4CC5CC(C4)CC3C5,10.1,1.0,0.01,10.1021/acs.orglett.8b04030,IG
8478,4466,CC(C)(C=C)[C@]1(CCc2ccccc2C1=O)C(=O)OC3C4CC5CC(C4)CC3C5,11.7,1.0,0.01,10.1021/acs.orglett.8b04030,IG
8488,4472,CCCCC[C@H](C=C)n1ccc2cc(ccc12)[N+]([O-])=O,12.7,1.0,0.01,10.1002/chem.202004613,IG
8489,4472,CCCCC[C@@H](C=C)n1ccc2cc(ccc12)[N+]([O-])=O,11.7,1.0,0.01,10.1002/chem.202004613,IG
8562,4511,C=C1C[C@](CC#C)(C(=O)O1)c2ccccc2,12.71,1.0,0.02,10.1016/j.tetlet.2020.152106,IG
8563,4511,C=C1C[C@@](CC#C)(C(=O)O1)c2ccccc2,11.79,1.0,0.02,10.1016/j.tetlet.2020.152106,IG
8678,4573,CN1C(=O)[C@]2(O[C@]1(C)[C@]3([C@@H]2C(=O)OC(C)(C)C)C(=O)N(C(=O)OC(C)(C)C)c4ccc(C)cc34)C(C)=O,9.21,1.0,0.2,10.1039/D1CC03685H,IG
9029,4767,CC(C)(C)OC(=O)[C@]1(CCc2ccc(Cl)cc2C1=O)C(C)(C)C=C,12.8,0.5,0.005,10.1021/acs.orglett.8b04030,IG
9030,4767,CC(C)(C)OC(=O)[C@@]1(CCc2ccc(Cl)cc2C1=O)C(C)(C)C=C,12.2,0.5,0.005,10.1021/acs.orglett.8b04030,IG
9080,4793,O[C@@H]1CCCC[C@]1(O)c2ccccc2,14.64,1.0,0.1,10.1021/acs.orglett.0c01626,IG
9168,4843,CC[C@](CCC(=O)n1nc(C)cc1C)(C#N)c2ccccc2,10.32,1.0,0.1,10.1021/jacs.1c08382,IG
9169,4843,CC[C@@](CCC(=O)n1nc(C)cc1C)(C#N)c2ccccc2,12.33,1.0,0.1,10.1021/jacs.1c08382,IG
9208,4865,CC(C)(C)OC(=O)[C@]1(Cc2ccccc2C1=O)C(C)(C)C=C,11.0,0.6,0.01,10.1021/acs.orglett.8b04030,IG
9209,4865,CC(C)(C)OC(=O)[C@@]1(Cc2ccccc2C1=O)C(C)(C)C=C,12.4,0.6,0.01,10.1021/acs.orglett.8b04030,IG
9257,4892,C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c2cccc3ccccc23,10.97,0.5,0.02,10.1021/jacs.1c07726,IG
9258,4892,C[C@H](NCCCc1cccc(c1)C(F)(F)F)c2cccc3ccccc23,12.41,0.5,0.02,10.1021/jacs.1c07726,IG
9392,4964,CCC[C@H](C=C)N1C(=O)c2ccccc2C1=O,11.496,1.0,0.005,10.1021/acscatal.0c00712,IG
