Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
5,3,Fc1cccc(c1)[C@@H]2NCc3ccccc3c4ccccc24,2.0,0.5,0.2,10.1039/C8SC04482A,OD3
6,3,Fc1cccc(c1)[C@H]2NCc3ccccc3c4ccccc24,2.3,0.5,0.2,10.1039/C8SC04482A,OD3
7,4,Fc1ccc2c(CN[C@@H](c3ccccc3)c4ccccc24)c1,2.0,0.5,0.2,10.1039/C8SC04482A,OD3
8,4,Fc1ccc2c(CN[C@H](c3ccccc3)c4ccccc24)c1,2.5,0.5,0.2,10.1039/C8SC04482A,OD3
9,5,Clc1ccc2[C@@H](NCc3ccccc3c2c1)c4ccccc4,2.0,0.5,0.2,10.1039/C8SC04482A,OD3
10,5,Clc1ccc2[C@H](NCc3ccccc3c2c1)c4ccccc4,2.6,0.5,0.2,10.1039/C8SC04482A,OD3
17,9,Cc1ccccc1[C@@H]2NCc3ccccc3c4ccccc24,1.8,0.5,0.2,10.1039/C8SC04482A,OD3
18,9,Cc1ccccc1[C@H]2NCc3ccccc3c4ccccc24,2.9,0.5,0.2,10.1039/C8SC04482A,OD3
19,10,C1N[C@@H](c2ccccc2)c3ccccc3c4ccccc14,2.0,0.5,0.2,10.1039/C8SC04482A,OD3
20,10,C1N[C@H](c2ccccc2)c3ccccc3c4ccccc14,2.9,0.5,0.2,10.1039/C8SC04482A,OD3
25,13,CCCCCCCCCC[C@@H]1NC(=O)c2ccccc2O1,2.92,0.5,0.05,10.1002/chem.202002930,OD3
26,13,CCCCCCCCCC[C@H]1NC(=O)c2ccccc2O1,3.21,0.5,0.05,10.1002/chem.202002930,OD3
27,14,C[C@@H]1NC(=O)c2cc(F)ccc2O1,2.65,0.5,0.1,10.1002/chem.202002930,OD3
28,14,C[C@H]1NC(=O)c2cc(F)ccc2O1,3.32,0.5,0.1,10.1002/chem.202002930,OD3
29,15,Fc1ccc2c(CN[C@@H](c3ccccc3)c4ccccc24)c1,2.1,0.5,0.2,10.1039/C8SC04482A,OD3
30,15,Fc1ccc2c(CN[C@H](c3ccccc3)c4ccccc24)c1,3.4,0.5,0.2,10.1039/C8SC04482A,OD3
39,20,C[C@@H]1NC(=O)c2cccc(C)c2O1,2.92,0.5,0.1,10.1002/chem.202002930,OD3
40,20,C[C@H]1NC(=O)c2cccc(C)c2O1,3.54,0.5,0.1,10.1002/chem.202002930,OD3
43,22,C[C@H]1Oc2ccccc2C(=O)N1C,3.21,0.5,0.1,10.1002/chem.202002930,OD3
44,22,C[C@@H]1Oc2ccccc2C(=O)N1C,3.6,0.5,0.1,10.1002/chem.202002930,OD3
49,25,C[C@@H]1NC(=O)c2cc(Br)ccc2O1,2.86,0.5,0.1,10.1002/chem.202002930,OD3
50,25,C[C@H]1NC(=O)c2cc(Br)ccc2O1,3.69,0.5,0.1,10.1002/chem.202002930,OD3
51,26,CCCC[C@@H]1NC(=O)c2ccccc2O1,3.47,0.5,0.1,10.1002/chem.202002930,OD3
52,26,CCCC[C@H]1NC(=O)c2ccccc2O1,3.72,0.5,0.1,10.1002/chem.202002930,OD3
53,27,C[C@@H]1NC(=O)c2cc(F)ccc2O1,3.06,0.5,0.1,10.1002/chem.202002930,OD3
54,27,C[C@H]1NC(=O)c2cc(F)ccc2O1,3.74,0.5,0.1,10.1002/chem.202002930,OD3
65,33,C[C@@H]1NC(=O)c2ccccc2O1,3.18,0.5,0.1,10.1002/chem.202002930,OD3
66,33,C[C@H]1NC(=O)c2ccccc2O1,3.98,0.5,0.1,10.1002/chem.202002930,OD3
75,38,C[C@@H]1NC(=O)c2ccc(C)cc2O1,3.39,0.5,0.1,10.1002/chem.202002930,OD3
76,38,C[C@H]1NC(=O)c2ccc(C)cc2O1,4.12,0.5,0.1,10.1002/chem.202002930,OD3
95,48,C[C@@H]1NC(=O)c2ccc(Cl)cc2O1,3.32,0.5,0.1,10.1002/chem.202002930,OD3
96,48,C[C@H]1NC(=O)c2ccc(Cl)cc2O1,4.21,0.5,0.1,10.1002/chem.202002930,OD3
100,51,C[C@@H]1NC(=O)c2cc(C)ccc2O1,3.17,0.5,0.1,10.1002/chem.202002930,OD3
101,51,C[C@H]1NC(=O)c2cc(C)ccc2O1,4.29,0.5,0.1,10.1002/chem.202002930,OD3
106,54,CCOC(OCC)[C@@H](N)c1sccc1,3.9,0.5,0.05,10.1039/D1CC06601C,OD3
107,54,CCOC(OCC)[C@H](N)c1sccc1,4.4,0.5,0.05,10.1039/D1CC06601C,OD3
145,74,C[C@@H](C#Cc1ccccc1)c2ccc3ccccc3c2,5.08,1.0,0.03,10.1038/s41557/019/0346/2,OD3
146,74,C[C@H](C#Cc1ccccc1)c2ccc3ccccc3c2,4.82,1.0,0.03,10.1038/s41557/019/0346/2,OD3
