Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
185,95,CCOC(=O)[C@](CNC(C)=O)(Sc1ccc(C)cc1)c2ccccc2,5.83,1.0,0.3,10.1021/ol901572x,OD
186,95,CCOC(=O)[C@@](CNC(C)=O)(Sc1ccc(C)cc1)c2ccccc2,5.14,1.0,0.3,10.1021/ol901572x,OD
375,192,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,6.88,1.0,0.01,10.1021/jacs.7b08207,OD
376,192,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,6.15,1.0,0.01,10.1021/jacs.7b08207,OD
628,324,OCC(=C)[C@@H](C#C)c1ccccc1,8.48,1.0,0.1,10.1021/jacs.7b08207,OD
629,324,OCC(=C)[C@H](C#C)c1ccccc1,7.19,1.0,0.1,10.1021/jacs.7b08207,OD
751,389,Fc1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,8.15,1.0,0.02,10.1021/jacs.7b08207,OD
752,389,Fc1ccc(cc1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,7.6,1.0,0.02,10.1021/jacs.7b08207,OD
812,421,Clc1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,8.33,1.0,0.02,10.1021/jacs.7b08207,OD
813,421,Clc1ccc(cc1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,7.82,1.0,0.02,10.1021/jacs.7b08207,OD
933,487,FC(F)(F)c1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,9.02,1.0,0.01,10.1021/jacs.7b08207,OD
934,487,FC(F)(F)c1ccc(cc1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,8.22,1.0,0.01,10.1021/jacs.7b08207,OD
970,506,Brc1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,8.85,1.0,0.02,10.1021/jacs.7b08207,OD
