Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
0,0,O=C(OC)N(C)[C@@H](B1OC(C)(C)C(C)(C)O1)CC2=CC=CC=C2,2.14,0.5,0.05,10.1039/C9SC04534A,OJ3
1,0,O=C(OC)N(C)[C@H](B1OC(C)(C)C(C)(C)O1)CC2=CC=CC=C2,1.81,0.5,0.05,10.1039/C9SC04534A,OJ3
292,149,CC(C)[C@H](C(O)=O)c1ccc(cc1)C(C)C,8.5,0.8,0.03,10.1002/anie.202016705,OJ3
293,149,CC(C)[C@@H](C(O)=O)c1ccc(cc1)C(C)C,5.7,0.8,0.03,10.1002/anie.202016705,OJ3
424,217,CN(C)C(=O)[C@H](N)c1cc(C)cc(C)c1,7.05,1.0,0.05,10.1002/anie.202202552,OJ3
425,217,CN(C)C(=O)[C@@H](N)c1cc(C)cc(C)c1,6.38,1.0,0.05,10.1002/anie.202202552,OJ3
902,470,C[C@H](C(O)=O)c1ccc(cc1)C(F)(F)F,9.67,0.8,0.03,10.1021/acs.orglett.2c00852,OJ3
903,470,C[C@@H](C(O)=O)c1ccc(cc1)C(F)(F)F,8.12,0.8,0.03,10.1021/acs.orglett.2c00852,OJ3
965,503,Cc1cccc(c1)C2=C[C@H](O)CCC2,7.4,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
966,503,Cc1cccc(c1)C2=C[C@@H](O)CCC2,8.3,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
1052,548,CN(C)C(=O)[C@H](N)c1cccc(C)c1,9.24,1.0,0.05,10.1002/anie.202202552,OJ3
1053,548,CN(C)C(=O)[C@@H](N)c1cccc(C)c1,8.56,1.0,0.05,10.1002/anie.202202552,OJ3
1114,581,O[C@@H]1CCCC(=C1Br)C2CC2,7.4,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
1115,581,O[C@H]1CCCC(=C1Br)C2CC2,8.7,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
1116,582,C[C@@H](Cc1ccccc1Br)C(O)=O,9.2,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1117,582,C[C@H](Cc1ccccc1Br)C(O)=O,8.7,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1155,603,C[C@H]1CCc2ccc(OCCCCBr)cc2N1,7.1,0.5,0.35,10.1039/C8CC03586E,OJ3
1156,603,C[C@@H]1CCc2ccc(OCCCCBr)cc2N1,8.8,0.5,0.35,10.1039/C8CC03586E,OJ3
1229,642,CN(C)C(=O)[C@H](N)c1sccc1,10.32,1.0,0.1,10.1002/anie.202202552,OJ3
1230,642,CN(C)C(=O)[C@@H](N)c1sccc1,9.05,1.0,0.1,10.1002/anie.202202552,OJ3
1271,665,CN(C)C(=O)[C@H](N)c1ccc(I)cc1,10.82,1.0,0.1,10.1002/anie.202202552,OJ3
1272,665,CN(C)C(=O)[C@@H](N)c1ccc(I)cc1,9.19,1.0,0.1,10.1002/anie.202202552,OJ3
1372,720,CN(C)C(=O)[C@H](N)c1ccc(C)cc1,10.84,1.0,0.05,10.1002/anie.202202552,OJ3
1373,720,CN(C)C(=O)[C@@H](N)c1ccc(C)cc1,9.48,1.0,0.05,10.1002/anie.202202552,OJ3
1396,732,C[C@@H](Cc1ccccc1)C(O)=O,10.5,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1397,732,C[C@H](Cc1ccccc1)C(O)=O,9.5,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1536,805,COc1ccccc1C[C@H](C)C(O)=O,11.1,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1537,805,COc1ccccc1C[C@@H](C)C(O)=O,10.0,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1548,811,CN(C)C(=O)[C@H](N)c1ccccc1Cl,11.04,1.0,0.06,10.1002/anie.202202552,OJ3
1549,811,CN(C)C(=O)[C@@H](N)c1ccccc1Cl,10.04,1.0,0.06,10.1002/anie.202202552,OJ3
1572,823,C[C@@H](Cc1ccc(Cl)cc1)C(O)=O,10.5,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1573,823,C[C@H](Cc1ccc(Cl)cc1)C(O)=O,10.1,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1756,919,CCOC(OCC)[C@@H](N)c1ccc(OC)c(OC)c1,13.9,0.8,0.1,10.1039/D1CC06601C,OJ3
1757,919,CCOC(OCC)[C@H](N)c1ccc(OC)c(OC)c1,10.6,0.8,0.1,10.1039/D1CC06601C,OJ3
1785,935,C[C@@H](Cc1ccc(F)cc1)C(O)=O,12.1,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1786,935,C[C@H](Cc1ccc(F)cc1)C(O)=O,10.7,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
1884,985,O[C@@H]1CCCC(=C1)c2ccccc2,8.9,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
1885,985,O[C@H]1CCCC(=C1)c2ccccc2,11.0,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
1953,1020,C[C@@H](Cc1ccccc1)C(O)=O,12.46,0.8,0.03,10.1021/acs.orglett.2c00852,OJ3
1954,1020,C[C@H](Cc1ccccc1)C(O)=O,11.12,0.8,0.03,10.1021/acs.orglett.2c00852,OJ3
2015,1051,C[C@H](C(O)=O)c1ccc(Cl)cc1,13.33,0.8,0.03,10.1021/acs.orglett.2c00852,OJ3
2016,1051,C[C@@H](C(O)=O)c1ccc(Cl)cc1,11.32,0.8,0.03,10.1021/acs.orglett.2c00852,OJ3
2074,1082,C[C@@H](Cc1sccc1)C(O)=O,14.0,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
2075,1082,C[C@H](Cc1sccc1)C(O)=O,11.5,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
2242,1170,O[C@@H]1CCCC(=C1Br)Cc2ccccc2,9.7,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
2243,1170,O[C@H]1CCCC(=C1Br)Cc2ccccc2,12.0,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
2275,1187,CC#CC1=C(Br)[C@H](O)CCC1,13.6,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
2276,1187,CC#CC1=C(Br)[C@@H](O)CCC1,12.1,0.8,0.1,10.1021/acs.orglett.1c01744,OJ3
2277,1188,CC[C@H](Oc1ccccc1)C(O)=O,16.5,1.0,0.03,10.1038/s41467/020/17057/z,OJ3
2278,1188,CC[C@@H](Oc1ccccc1)C(O)=O,12.1,1.0,0.03,10.1038/s41467/020/17057/z,OJ3
2431,1270,C[C@@H](C(O)=O)c1ccccc1,11.1,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
2432,1270,C[C@H](C(O)=O)c1ccccc1,12.6,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
2485,1297,C[C@@H](Cc1ccc(C)cc1)C(O)=O,13.9,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
