Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
85,43,O=C1N[C@H](C2CCCCC2)c3ccccc3N1,4.9,1.0,0.2,10.1039/D1QO01598B,OJH
86,43,O=C1N[C@@H](C2CCCCC2)c3ccccc3N1,4.2,1.0,0.2,10.1039/D1QO01598B,OJH
191,98,Cc1ccc(cc1)[S@](=O)c2ccc(cn2)C(F)(F)F,4.6,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
192,98,Cc1ccc(cc1)[S@@](=O)c2ccc(cn2)C(F)(F)F,5.2,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
237,121,FC(F)(F)c1ccc(cc1)[S@](=O)c2ccccn2,6.4,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
238,121,FC(F)(F)c1ccc(cc1)[S@@](=O)c2ccccn2,5.5,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
301,154,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(F)(F)F,4.6,1.0,0.1,10.1039/D1CC01690C,OJH
302,154,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(F)(F)F,5.8,1.0,0.1,10.1039/D1CC01690C,OJH
317,162,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(C)cc2,4.4,1.0,0.3,10.1039/D1CC01690C,OJH
318,162,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(C)cc2,5.9,1.0,0.3,10.1039/D1CC01690C,OJH
345,177,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(Br)cc2,4.6,1.0,0.3,10.1039/D1CC01690C,OJH
346,177,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(Br)cc2,6.0,1.0,0.3,10.1039/D1CC01690C,OJH
368,188,Cc1ccc(cc1)[S@@](=O)c2ccccn2,6.1,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
386,198,Cc1ccc(cc1)[S@](=O)c2ccccn2,6.7,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
387,198,Cc1ccc(cc1)[S@@](=O)c2ccccn2,6.2,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
432,221,Cc1ccc(cc1)[S@](=O)c2ccccn2,7.1,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
433,221,Cc1ccc(cc1)[S@@](=O)c2ccccn2,6.4,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
489,250,C[C@H]1CCc2cccc(F)c2N1,6.2,0.8,0.05,10.1039/C8CC03586E,OJH
490,250,C[C@@H]1CCc2cccc(F)c2N1,6.6,0.8,0.05,10.1039/C8CC03586E,OJH
510,261,Cc1ccc(cc1)[S@](=O)c2ccccn2,7.4,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
511,261,Cc1ccc(cc1)[S@@](=O)c2ccccn2,6.7,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
522,267,C[C@@H](O)c1cccnc1,8.6,1.0,0.1,10.1021/acscatal.0c04206,OJH
523,267,C[C@H](O)c1cccnc1,6.7,1.0,0.1,10.1021/acscatal.0c04206,OJH
534,274,CCCCC[C@H]1CCc2ccccc2N1,6.8,1.0,0.1,10.1039/C4CY00418C,OJH
590,303,CC(C)OC(=O)[C@H]1CC[C@@H](C1)C#N,8.2,1.0,0.03,10.1002/anie.201906111,OJH
646,333,C[C@@H](O)c1ccc(C)cc1,8.0,1.0,0.1,10.1021/acscatal.0c04206,OJH
647,333,C[C@H](O)c1ccc(C)cc1,7.2,1.0,0.1,10.1021/acscatal.0c04206,OJH
666,344,Clc1ccc(cc1)[S@](=O)c2ccccn2,6.8,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
667,344,Clc1ccc(cc1)[S@@](=O)c2ccccn2,7.3,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
707,367,FC(F)(F)C[C@]1(CC2(CCCC2)CO1)c3cccc(c3)C#Cc4ccccc4,5.88,1.0,0.1,10.1002/anie.201702925,OJH
708,367,FC(F)(F)C[C@@]1(CC2(CCCC2)CO1)c3cccc(c3)C#Cc4ccccc4,7.44,1.0,0.1,10.1002/anie.201702925,OJH
713,370,CCCC[C@H]1Nc2ccccc2NC1=O,6.6,1.0,0.2,10.1039/D1QO01598B,OJH
714,370,CCCC[C@@H]1Nc2ccccc2NC1=O,7.5,1.0,0.2,10.1039/D1QO01598B,OJH
743,385,O=C1Nc2ccccc2N[C@@H]1C3CCCCC3,6.3,1.0,0.2,10.1039/D1QO01598B,OJH
744,385,O=C1Nc2ccccc2N[C@H]1C3CCCCC3,7.6,1.0,0.2,10.1039/D1QO01598B,OJH
745,386,CCCC[C@@H]1CCc2ccccc2N1,8.7,1.0,0.1,10.1039/C4CY00418C,OJH
746,386,CCCC[C@H]1CCc2ccccc2N1,7.6,1.0,0.1,10.1039/C4CY00418C,OJH
802,416,O=[S@@](c1ccccc1)c2ccccn2,8.2,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
803,416,O=[S@](c1ccccc1)c2ccccn2,7.8,1.0,0.3,10.1021/acs.orglett.1c02918,OJH
916,478,COc1ccc2N[C@@H](C)CCc2c1,9.0,1.0,0.1,10.1039/C4CY00418C,OJH
917,478,COc1ccc2N[C@H](C)CCc2c1,8.2,1.0,0.1,10.1039/C4CY00418C,OJH
920,480,Fc1ccc(cc1)[S@](=O)c2ccccn2,9.7,1.0,0.2,10.1021/acs.orglett.1c02918,OJH
