Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
83,42,CC(C)CC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,8.69,1.0,0.1,10.1039/C1SC00295C,OJ
84,42,CC(C)CC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,4.18,1.0,0.1,10.1039/C1SC00295C,OJ
98,50,CCCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,6.16,1.0,0.2,10.1039/C1SC00295C,OJ
99,50,CCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,4.27,1.0,0.2,10.1039/C1SC00295C,OJ
135,69,CCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,6.02,1.0,0.1,10.1039/C1SC00295C,OJ
136,69,CCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,4.68,1.0,0.1,10.1039/C1SC00295C,OJ
162,83,COCCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,7.56,1.0,0.3,10.1039/C1SC00295C,OJ
163,83,COCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,5.0,1.0,0.3,10.1039/C1SC00295C,OJ
276,141,COCOCCC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,12.65,1.0,0.3,10.1039/C1SC00295C,OJ
277,141,COCOCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,5.69,1.0,0.3,10.1039/C1SC00295C,OJ
493,252,Cc1cccc(c1)C(=O)[C@@](C)(CBr)c2cccc(C)c2,7.25,1.0,0.01,10.1039/C1SC00295C,OJ
494,252,Cc1cccc(c1)C(=O)[C@](C)(CBr)c2cccc(C)c2,6.62,1.0,0.01,10.1039/C1SC00295C,OJ
672,347,CC[C@@](CBr)(C(=O)c1ccccc1)c2ccccc2,9.15,1.0,0.01,10.1039/C1SC00295C,OJ
673,347,CC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,7.31,1.0,0.01,10.1039/C1SC00295C,OJ
828,431,OC1(CCCCC1)C[C@@H]2CCc3ccccc3N2,5.1,1.0,0.15,10.1002/adsc.200900870,OJ
829,431,OC1(CCCCC1)C[C@H]2CCc3ccccc3N2,7.9,1.0,0.15,10.1002/adsc.200900870,OJ
