Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
737,382,CC(C)(C)NC(=O)c1ccccc1\C=C\C[C@@H](C#Cc2ccccc2)c3ccccc3,11.43,0.8,0.2,10.1038/s41467/019/13705/1,OZ3
738,382,CC(C)(C)NC(=O)c1ccccc1\C=C\C[C@H](C#Cc2ccccc2)c3ccccc3,7.53,0.8,0.2,10.1038/s41467/019/13705/1,OZ3
5610,2910,C[S](=O)(=O)c1ccc(C[C@@]2(CC3(CCCC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,47.8,0.7,0.15,10.6023/A18100413,OZ3
5611,2910,C[S](=O)(=O)c1ccc(C[C@]2(CC3(CCCC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,30.8,0.7,0.15,10.6023/A18100413,OZ3
6168,3196,COc1cc2[C@@H](C)C[C@@H](O)C(=O)c2cc1C,37.34,0.5,0.05,10.1038/s41557/019/0346/2,OZ3
6317,3273,Cc1cccc(c1)[C@@]2(Cc3ccc(cc3)[S](C)(=O)=O)CC(C)(C)CN2C(=O)Nc4cccc(Br)c4,56.6,0.7,0.15,10.6023/A18100413,OZ3
6318,3273,Cc1cccc(c1)[C@]2(Cc3ccc(cc3)[S](C)(=O)=O)CC(C)(C)CN2C(=O)Nc4cccc(Br)c4,50.5,0.7,0.15,10.6023/A18100413,OZ3
6385,3308,C[S](=O)(=O)c1ccc(C[C@@]2(CC3(CC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,73.8,0.7,0.15,10.6023/A18100413,OZ3
6386,3308,C[S](=O)(=O)c1ccc(C[C@]2(CC3(CC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,55.4,0.7,0.15,10.6023/A18100413,OZ3
6723,3487,CCOC(=O)[C@H](CC(=O)C1CCCCC1)C(=C)C(C)=O,7.7,1.0,0.2,10.1002/anie.201508108,OZ3
6724,3487,CCOC(=O)[C@@H](CC(=O)C1CCCCC1)C(=C)C(C)=O,10.1,1.0,0.2,10.1002/anie.201508108,OZ3
6922,3594,CC(=O)C[C@@H](C(C)=O)C(=C)C(C)=O,8.1,1.0,0.2,10.1002/anie.201508108,OZ3
6923,3594,CC(=O)C[C@H](C(C)=O)C(=C)C(C)=O,10.3,1.0,0.2,10.1002/anie.201508108,OZ3
7872,4126,CC(=C)[C@@H]1CN(C(=C1)c2ccc(cc2)C(C)(C)C)[S](=O)(=O)c3ccc(C)cc3,8.91,0.8,0.1,10.1021/jacs.6b00386,OZ3
7873,4126,CC(=C)[C@H]1CN(C(=C1)c2ccc(cc2)C(C)(C)C)[S](=O)(=O)c3ccc(C)cc3,11.17,0.8,0.1,10.1021/jacs.6b00386,OZ3
7882,4132,CC(=C)[C@@H](CN[S](=O)(=O)c1ccc(C)cc1)c2c(O)cc(c3ccccc3)c4ccccc24,17.23,0.8,0.2,10.1021/acs.orglett.7b01136,OZ3
7883,4132,CC(=C)[C@H](CN[S](=O)(=O)c1ccc(C)cc1)c2c(O)cc(c3ccccc3)c4ccccc24,11.19,0.8,0.2,10.1021/acs.orglett.7b01136,OZ3
7943,4165,CC(=O)C(=C)[C@@H](CC(=O)c1ccccc1)C(=O)c2ccccc2,7.3,1.0,0.2,10.1002/anie.201508108,OZ3
7944,4165,CC(=O)C(=C)[C@H](CC(=O)c1ccccc1)C(=O)c2ccccc2,11.2,1.0,0.2,10.1002/anie.201508108,OZ3
7977,4183,CC(=C)[C@@H]1CN(C(=C1C)[Si](C)(C)C)[S](=O)(=O)c2ccc(C)cc2,9.72,0.8,0.1,10.1021/jacs.6b00386,OZ3
7978,4183,CC(=C)[C@H]1CN(C(=C1C)[Si](C)(C)C)[S](=O)(=O)c2ccc(C)cc2,11.25,0.8,0.1,10.1021/jacs.6b00386,OZ3
8049,4226,CC(=O)[C@H](CC(=O)c1ccccc1)C(=C)C(C)=O,8.0,1.0,0.2,10.1002/anie.201508108,OZ3
8050,4226,CC(=O)[C@@H](CC(=O)c1ccccc1)C(=C)C(C)=O,11.3,1.0,0.2,10.1002/anie.201508108,OZ3
8051,4227,CC(=O)C(=C)[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)c2ccc(Br)cc2,8.1,1.0,0.2,10.1002/anie.201508108,OZ3
8052,4227,CC(=O)C(=C)[C@H](CC(=O)c1ccc(Br)cc1)C(=O)c2ccc(Br)cc2,11.3,1.0,0.2,10.1002/anie.201508108,OZ3
8223,4325,CC(C)OC(=O)[C@@H](CC(=O)c1ccccc1)C(=C)C=O,10.41,0.8,0.15,10.1039/C6CC02742C,OZ3
8224,4325,CC(C)OC(=O)[C@H](CC(=O)c1ccccc1)C(=C)C=O,11.47,0.8,0.15,10.1039/C6CC02742C,OZ3
8231,4330,CCCCC(=C)[C@@H]1CN(C(=C1)c2ccccc2)[S](=O)(=O)c3ccc(C)cc3,11.04,0.8,0.1,10.1021/jacs.6b00386,OZ3
8232,4330,CCCCC(=C)[C@H]1CN(C(=C1)c2ccccc2)[S](=O)(=O)c3ccc(C)cc3,11.48,0.8,0.1,10.1021/jacs.6b00386,OZ3
8679,4574,CCOC(=O)[C@H](CC(=O)c1ccccc1)C(=C)C(=O)CC,10.0,1.0,0.2,10.1002/anie.201508108,OZ3
8680,4574,CCOC(=O)[C@@H](CC(=O)c1ccccc1)C(=C)C(=O)CC,11.9,1.0,0.2,10.1002/anie.201508108,OZ3
8774,4625,Cc1ccc(cc1)[S](=O)(=O)NC[C@H](\C=C\c2ccccc2)c3c(O)ccc4ccccc34,14.94,0.8,0.3,10.1021/acs.orglett.7b01136,OZ3
8775,4625,Cc1ccc(cc1)[S](=O)(=O)NC[C@@H](\C=C\c2ccccc2)c3c(O)ccc4ccccc34,11.97,0.8,0.3,10.1021/acs.orglett.7b01136,OZ3
8877,4683,Clc1ccc(cc1)C(=O)C[C@@H](C(=C)C=O)C(=O)c2ccc(Cl)cc2,10.23,0.8,0.2,10.1039/C6CC02742C,OZ3
8878,4683,Clc1ccc(cc1)C(=O)C[C@H](C(=C)C=O)C(=O)c2ccc(Cl)cc2,12.03,0.8,0.2,10.1039/C6CC02742C,OZ3
9063,4784,CC(=C)[C@@H]1CN(C(=C1)c2ccccc2C)[S](=O)(=O)c3ccc(C)cc3,11.58,0.8,0.1,10.1021/jacs.6b00386,OZ3
9064,4784,CC(=C)[C@H]1CN(C(=C1)c2ccccc2C)[S](=O)(=O)c3ccc(C)cc3,12.21,0.8,0.1,10.1021/jacs.6b00386,OZ3
9468,5007,CCOC(=O)[C@@H](CC(=O)c1cccc(Br)c1)C(=C)C=O,11.37,1.0,0.1,10.1039/C6CC02742C,OZ3
9469,5007,CCOC(=O)[C@H](CC(=O)c1cccc(Br)c1)C(=C)C=O,12.64,1.0,0.1,10.1039/C6CC02742C,OZ3
9567,5059,CCOC(=O)[C@@H](CC(=O)c1ccc(Cl)cc1Cl)C(=C)C=O,11.08,1.0,0.1,10.1039/C6CC02742C,OZ3
9568,5059,CCOC(=O)[C@H](CC(=O)c1ccc(Cl)cc1Cl)C(=C)C=O,12.74,1.0,0.1,10.1039/C6CC02742C,OZ3
9790,5179,CC(C)C(=C)[C@@H]1CN(C(=C1)c2ccccc2)[S](=O)(=O)c3ccc(C)cc3,11.59,0.8,0.1,10.1021/jacs.6b00386,OZ3
9791,5179,CC(C)C(=C)[C@H]1CN(C(=C1)c2ccccc2)[S](=O)(=O)c3ccc(C)cc3,12.99,0.8,0.1,10.1021/jacs.6b00386,OZ3
9899,5241,CC(=C)[C@@H]1CN(/C(C1)=C/c2ccc(cc2)C(C)(C)C)[S](=O)(=O)c3ccc(C)cc3,19.12,0.8,0.1,10.1002/anie.201605530,OZ3
9900,5241,CC(=C)[C@H]1CN(/C(C1)=C/c2ccc(cc2)C(C)(C)C)[S](=O)(=O)c3ccc(C)cc3,13.07,0.8,0.1,10.1002/anie.201605530,OZ3
9958,5273,CC(=C)[C@@H]1CN(C(=C1)c2cccc(C)c2)[S](=O)(=O)c3ccc(C)cc3,11.53,0.8,0.1,10.1021/jacs.6b00386,OZ3
9959,5273,CC(=C)[C@H]1CN(C(=C1)c2cccc(C)c2)[S](=O)(=O)c3ccc(C)cc3,13.13,0.8,0.1,10.1021/jacs.6b00386,OZ3
10257,5434,CCOC(=O)[C@@H](CC(=O)C1CCCCC1)C(=C)C=O,11.67,0.8,0.1,10.1039/C6CC02742C,OZ3
10258,5434,CCOC(=O)[C@H](CC(=O)C1CCCCC1)C(=C)C=O,13.51,0.8,0.1,10.1039/C6CC02742C,OZ3
10454,5543,COc1ccc2ccc(O)c([C@H](CN[S](=O)(=O)c3ccc(C)cc3)C(C)=C)c2c1,16.03,0.8,0.2,10.1021/acs.orglett.7b01136,OZ3
10455,5543,COc1ccc2ccc(O)c([C@@H](CN[S](=O)(=O)c3ccc(C)cc3)C(C)=C)c2c1,13.71,0.8,0.2,10.1021/acs.orglett.7b01136,OZ3
10723,5693,CC(=C)[C@@H]1CN(C(=C1)c2ccc(Cl)cc2)[S](=O)(=O)c3ccc(C)cc3,11.54,0.8,0.1,10.1021/jacs.6b00386,OZ3
