Epoch,Train Loss,Valid MSE,Valid R2
100,28.317047119140625,67.65574,tensor(0.3488)
200,17.567481994628906,60.78178,tensor(0.4150)
300,12.26126766204834,45.951225,tensor(0.5577)
400,8.530403137207031,42.197014,tensor(0.5938)
500,5.917734622955322,37.551407,tensor(0.6386)
600,4.141936302185059,37.26699,tensor(0.6413)
700,3.701063871383667,30.858866,tensor(0.7030)
800,2.638300895690918,32.310703,tensor(0.6890)
900,2.910982608795166,32.97301,tensor(0.6826)
1000,2.3944590091705322,39.94546,tensor(0.6155)
1100,1.5692371129989624,30.879265,tensor(0.7028)
1200,1.3970012664794922,34.386814,tensor(0.6690)
1300,1.6052361726760864,33.57205,tensor(0.6769)
1400,1.099284052848816,31.227478,tensor(0.6994)
1500,1.0147446393966675,31.142344,tensor(0.7002)
